,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,loadFromY,loadFromY,loadFromY,loadFromY,loadFromY,,meanTriesPerRequest,meanTriesPerRequest,meanTriesPerRequest,meanTriesPerRequest,meanTriesPerRequest,,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,
,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,,A - Naive,F - AsyncCacheLoading,H - Retries,I - AsyncRetries,J - InfiniteRetries,
50000,0.526595744680851,0.025,0.9340659340659341,0.015,0.045,,200,200,333,333,344,,1,1,1.507936507936508,1.607717041800643,1.7530864197530864,,0.5223880597014925,0.014925373134328358,0.9180327868852459,0,0.056338028169014086,,0.5517241379310345,0.04054054054054054,0.8888888888888888,0.015625,0.028169014084507043,,0.5079365079365079,0.01694915254237288,1,0.02857142857142857,0.05172413793103448,
100000,0.5124378109452736,0.09,0.9128205128205128,0.16,0.175,,200,200,344,364,352,,1,1,1.5398230088495575,1.6703601108033241,1.7988826815642458,,0.5294117647058824,0.13846153846153847,0.9666666666666667,0.14492753623188406,0.14516129032258066,,0.46774193548387094,0.09859154929577464,0.873015873015873,0.16071428571428573,0.2537313432835821,,0.5352112676056338,0.03125,0.9027777777777778,0.17333333333333334,0.1267605633802817,
150000,0.575,0.12,0.937799043062201,0.21,0.19,,200,200,295,326,328,,1,1,1.4342105263157894,1.6996996996996998,1.632716049382716,,0.5633802816901409,0.08695652173913043,0.8769230769230769,0.234375,0.15384615384615385,,0.6557377049180327,0.11290322580645161,0.9459459459459459,0.21333333333333335,0.18666666666666668,,0.5147058823529411,0.15942028985507245,0.9857142857142858,0.18032786885245902,0.23333333333333334,
200000,0.6231155778894473,0.175,0.9384615384615385,0.295,0.28,,200,200,295,335,298,,1,1,1.3862068965517242,1.6279761904761905,1.5,,0.5833333333333334,0.1917808219178082,0.8805970149253731,0.28378378378378377,0.3142857142857143,,0.7,0.16666666666666666,0.9830508474576272,0.27941176470588236,0.2459016393442623,,0.5797101449275363,0.16363636363636364,0.9565217391304348,0.3275862068965517,0.2753623188405797,
250000,0.6865671641791045,0.245,0.9658536585365853,0.385,0.4,,200,200,286,282,290,,1,1,1.3848797250859106,1.4753521126760563,1.4186851211072664,,0.7391304347826086,0.208955223880597,0.9855072463768116,0.359375,0.410958904109589,,0.6712328767123288,0.3064516129032258,0.9571428571428572,0.4,0.47368421052631576,,0.6440677966101694,0.22535211267605634,0.9545454545454546,0.39436619718309857,0.32857142857142857,
300000,0.6834170854271356,0.295,0.9794871794871794,0.455,0.395,,200,200,274,268,275,,1,1,1.3197026022304832,1.3094339622641509,1.3870967741935485,,0.703125,0.25757575757575757,0.9846153846153847,0.46153846153846156,0.4864864864864865,,0.7402597402597403,0.3333333333333333,0.972972972972973,0.45588235294117646,0.3709677419354839,,0.5862068965517241,0.288135593220339,0.9821428571428571,0.44776119402985076,0.3125,
350000,0.7562189054726368,0.33,0.9901960784313726,0.545,0.485,,200,200,268,280,257,,1,1,1.3051470588235294,1.387900355871886,1.2589641434262948,,0.7407407407407407,0.3230769230769231,1,0.56,0.46153846153846156,,0.7962962962962963,0.3384615384615385,0.9850746268656716,0.5161290322580645,0.4107142857142857,,0.7424242424242424,0.32857142857142857,0.9846153846153847,0.5555555555555556,0.5757575757575758,
400000,0.7277227722772277,0.42,0.9900497512437811,0.55,0.56,,200,200,257,250,274,,1,1,1.251937984496124,1.2834645669291338,1.3843416370106763,,0.7361111111111112,0.4852941176470588,1,0.5373134328358209,0.65625,,0.676056338028169,0.43661971830985913,0.9846153846153847,0.5616438356164384,0.5846153846153846,,0.7796610169491526,0.32786885245901637,0.9866666666666667,0.55,0.4507042253521127,
450000,0.7777777777777778,0.44,0.9899497487437185,0.52,0.495,,200,200,262,249,256,,1,1,1.2796934865900382,1.2208835341365463,1.2885375494071147,,0.7903225806451613,0.43661971830985913,0.9848484848484849,0.5138888888888888,0.4520547945205479,,0.7571428571428571,0.4406779661016949,0.984375,0.46153846153846156,0.5614035087719298,,0.7878787878787878,0.44285714285714284,1,0.5873015873015873,0.4857142857142857,
500000,0.8442211055276382,0.49,0.9902439024390244,0.475,0.485,,200,200,232,235,235,,1,1,1.1645569620253164,1.1752136752136753,1.1779661016949152,,0.8787878787878788,0.46875,1,0.49333333333333335,0.49230769230769234,,0.8333333333333334,0.5362318840579711,0.9753086419753086,0.44680851063829785,0.4307692307692308,,0.821917808219178,0.4626865671641791,1,0.47435897435897434,0.5285714285714286,
550000,0.835,0.545,0.9948979591836735,0.545,0.575,,200,200,235,223,229,,1,1,1.1601731601731602,1.12,1.1601731601731602,,0.8333333333333334,0.6119402985074627,0.9838709677419355,0.5333333333333333,0.5714285714285714,,0.8225806451612904,0.49295774647887325,1,0.5483870967741935,0.5076923076923077,,0.8472222222222222,0.532258064516129,1,0.5512820512820513,0.6388888888888888,
600000,0.8910891089108911,0.57,1,0.555,0.555,,200,200,217,218,222,,1,1,1.082191780821918,1.095890410958904,1.1390134529147982,,0.9482758620689655,0.5294117647058824,1,0.5,0.5942028985507246,,0.8840579710144928,0.5757575757575758,1,0.5409836065573771,0.5161290322580645,,0.8533333333333334,0.6060606060606061,1,0.6268656716417911,0.5507246376811594,
650000,0.9393939393939394,0.52,1,0.51,0.54,,200,200,223,213,215,,1,1,1.1205357142857142,1.0613207547169812,1.0657276995305165,,0.9545454545454546,0.5588235294117647,1,0.5211267605633803,0.5555555555555556,,0.9154929577464789,0.4090909090909091,1,0.5217391304347826,0.6176470588235294,,0.9508196721311475,0.5909090909090909,1,0.48333333333333334,0.46153846153846156,
700000,0.96,0.535,1,0.52,0.515,,200,200,211,212,212,,1,1,1.0526315789473684,1.0568720379146919,1.0610328638497653,,0.9333333333333333,0.5079365079365079,1,0.5789473684210527,0.5285714285714286,,0.971830985915493,0.5151515151515151,1,0.48333333333333334,0.3870967741935484,,0.9710144927536232,0.5774647887323944,1,0.484375,0.6176470588235294,
750000,0.9303482587064676,0.495,1,0.54,0.59,,200,200,207,209,209,,1,1,1.0382775119617225,1.0476190476190477,1.0432692307692308,,0.9315068493150684,0.5333333333333333,1,0.5396825396825397,0.6176470588235294,,0.9242424242424242,0.5294117647058824,1,0.547945205479452,0.5357142857142857,,0.9354838709677419,0.4305555555555556,1,0.53125,0.6052631578947368,
800000,0.9597989949748744,0.48,1,0.56,0.53,,200,200,207,205,211,,1,1,1.0338164251207729,1.0245098039215685,1.0518867924528301,,0.9871794871794872,0.4594594594594595,1,0.5616438356164384,0.6129032258064516,,0.96,0.44642857142857145,1,0.578125,0.4492753623188406,,0.9130434782608695,0.5285714285714286,1,0.5396825396825397,0.5362318840579711,
850000,0.975,0.545,1,0.59,0.5,,200,200,204,203,202,,1,1,1.0196078431372548,1.0147058823529411,1.0147783251231528,,0.9682539682539683,0.5522388059701493,1,0.5857142857142857,0.47692307692307695,,1,0.5967741935483871,1,0.5882352941176471,0.44594594594594594,,0.9552238805970149,0.49295774647887325,1,0.5967741935483871,0.5901639344262295,
900000,0.9748743718592965,0.52,1,0.53,0.535,,200,200,202,200,203,,1,1,1.0099502487562189,1,1.0147783251231528,,0.9836065573770492,0.4594594594594595,1,0.5645161290322581,0.45614035087719296,,0.95,0.5074626865671642,1,0.5263157894736842,0.5714285714285714,,0.9871794871794872,0.6101694915254238,1,0.5,0.5606060606060606,
950000,0.9850746268656716,0.525,1,0.565,0.455,,200,200,201,200,200,,1,1,1.004950495049505,1,1,,1,0.43243243243243246,1,0.5802469135802469,0.46875,,0.9753086419753086,0.6461538461538462,1,0.6,0.45,,0.9824561403508771,0.5081967213114754,1,0.5084745762711864,0.44642857142857145,
1000000,0.995049504950495,0.525,1,0.515,0.52,,200,200,200,200,200,,1,1,1,1,1,,1,0.6029411764705882,1,0.55,0.45901639344262296,,1,0.45454545454545453,1,0.5769230769230769,0.6231884057971014,,0.9827586206896551,0.5151515151515151,1,0.4032258064516129,0.4714285714285714,
1050000,1,0.51,1,0.51,0.485,,200,200,200,200,200,,1,1,1,1,1,,1,0.5189873417721519,1,0.5873015873015873,0.46875,,1,0.574468085106383,1,0.4714285714285714,0.5454545454545454,,1,0.4594594594594595,1,0.47761194029850745,0.423728813559322,
1100000,1,0.54,1,0.575,0.56,,200,200,201,200,202,,1,1,1.005,1,1.0099502487562189,,1,0.5507246376811594,1,0.6285714285714286,0.5873015873015873,,1,0.47540983606557374,1,0.6153846153846154,0.6056338028169014,,1,0.5857142857142857,1,0.47692307692307695,0.48484848484848486,
1150000,0.99,0.57,1,0.535,0.555,,200,200,202,202,202,,1,1,1.0098522167487685,1.01,1.0099502487562189,,1,0.7090909090909091,1,0.6,0.6153846153846154,,0.9655172413793104,0.4647887323943662,1,0.47692307692307695,0.5616438356164384,,1,0.5675675675675675,1,0.5230769230769231,0.4838709677419355,
1200000,0.9753694581280788,0.515,1,0.465,0.535,,200,200,202,206,206,,1,1,1.00990099009901,1.0287081339712918,1.0288461538461537,,0.9672131147540983,0.515625,1,0.4246575342465753,0.5,,0.9876543209876543,0.49206349206349204,1,0.559322033898305,0.5223880597014925,,0.9672131147540983,0.5342465753424658,1,0.4264705882352941,0.5846153846153846,
1250000,0.9695431472081218,0.565,1,0.515,0.59,,200,200,205,208,208,,1,1,1.024390243902439,1.0341463414634147,1.0341463414634147,,0.9655172413793104,0.578125,1,0.582089552238806,0.5735294117647058,,0.9344262295081968,0.547945205479452,1,0.53125,0.6153846153846154,,1,0.5714285714285714,1,0.43478260869565216,0.582089552238806,
1300000,0.9651741293532339,0.58,1,0.52,0.515,,200,200,210,208,208,,1,1,1.0528846153846154,1.0424528301886793,1.0384615384615385,,0.9661016949152542,0.582089552238806,1,0.4657534246575342,0.5084745762711864,,0.9861111111111112,0.5588235294117647,1,0.6,0.5641025641025641,,0.9428571428571428,0.6,1,0.5194805194805194,0.4603174603174603,
1350000,0.9601990049751243,0.64,1,0.52,0.51,,200,200,219,218,216,,1,1,1.1081081081081081,1.0883720930232559,1.0787037037037037,,0.9682539682539683,0.6666666666666666,1,0.5666666666666667,0.48,,0.9861111111111112,0.6956521739130435,1,0.5416666666666666,0.49295774647887325,,0.9242424242424242,0.5483870967741935,1,0.45588235294117646,0.5740740740740741,
1400000,0.8838383838383839,0.55,1,0.51,0.59,,200,200,222,216,219,,1,1,1.087557603686636,1.0825688073394495,1.091324200913242,,0.9264705882352942,0.609375,1,0.5625,0.5945945945945946,,0.8513513513513513,0.47297297297297297,1,0.42592592592592593,0.6666666666666666,,0.875,0.5806451612903226,1,0.5151515151515151,0.5,
1450000,0.9054726368159204,0.57,1,0.47,0.52,,200,200,216,229,219,,1,1,1.087962962962963,1.1160714285714286,1.095890410958904,,0.8571428571428571,0.6101694915254238,1,0.5,0.4444444444444444,,0.9444444444444444,0.5068493150684932,1,0.390625,0.5217391304347826,,0.9152542372881356,0.6029411764705882,1,0.5147058823529411,0.5714285714285714,
1500000,0.91,0.555,0.9950980392156863,0.55,0.535,,200,200,228,227,232,,1,1,1.1422413793103448,1.1359649122807018,1.1888412017167382,,0.8524590163934426,0.4482758620689655,1,0.5573770491803278,0.5641025641025641,,0.9523809523809523,0.5972222222222222,1,0.49295774647887325,0.6140350877192983,,0.9210526315789473,0.6,0.9841269841269841,0.6029411764705882,0.4307692307692308,
1550000,0.795,0.51,1,0.47,0.485,,200,200,240,244,239,,1,1,1.200836820083682,1.2016460905349795,1.2016806722689075,,0.7692307692307693,0.46551724137931033,1,0.47619047619047616,0.4857142857142857,,0.8,0.6363636363636364,1,0.4225352112676056,0.4307692307692308,,0.8153846153846154,0.4342105263157895,1,0.5151515151515151,0.5384615384615384,
1600000,0.8,0.44,0.9948453608247423,0.505,0.56,,200,200,259,240,254,,1,1,1.2450592885375493,1.205020920502092,1.2480314960629921,,0.7808219178082192,0.35443037974683544,0.9859154929577465,0.5263157894736842,0.5394736842105263,,0.7894736842105263,0.5833333333333334,1,0.45454545454545453,0.5714285714285714,,0.8285714285714286,0.4098360655737705,1,0.5217391304347826,0.5740740740740741,
1650000,0.735,0.505,0.9852941176470589,0.54,0.595,,200,200,264,256,260,,1,1,1.3097014925373134,1.2705882352941176,1.306201550387597,,0.6984126984126984,0.4626865671641791,0.9759036144578314,0.5538461538461539,0.5588235294117647,,0.7384615384615385,0.4861111111111111,0.9824561403508771,0.43283582089552236,0.6031746031746031,,0.7638888888888888,0.5737704918032787,1,0.6323529411764706,0.6231884057971014,
1700000,0.7638190954773869,0.53,0.9849246231155779,0.51,0.565,,200,200,262,268,260,,1,1,1.2873563218390804,1.3431734317343174,1.314176245210728,,0.8026315789473685,0.6268656716417911,0.9846153846153847,0.5555555555555556,0.6376811594202898,,0.6666666666666666,0.4507042253521127,0.9836065573770492,0.5,0.5,,0.8166666666666667,0.5161290322580645,0.9863013698630136,0.4810126582278481,0.5466666666666666,
1750000,0.6934673366834171,0.485,0.9795918367346939,0.51,0.55,,200,200,285,286,294,,1,1,1.3487544483985765,1.4330985915492958,1.4109589041095891,,0.6486486486486487,0.4,1,0.5441176470588235,0.5972222222222222,,0.6714285714285714,0.45714285714285713,0.9841269841269841,0.4915254237288136,0.559322033898305,,0.7818181818181819,0.5857142857142857,0.9558823529411765,0.4931506849315068,0.4927536231884058,
1800000,0.675,0.54,0.9644670050761421,0.535,0.52,,200,200,302,290,290,,1,1,1.4280936454849498,1.4775086505190311,1.4275862068965517,,0.6438356164383562,0.6097560975609756,0.9322033898305084,0.6229508196721312,0.5263157894736842,,0.7333333333333333,0.4482758620689655,1,0.5217391304347826,0.5555555555555556,,0.6567164179104478,0.5333333333333333,0.9538461538461539,0.4714285714285714,0.4788732394366197,
1850000,0.6435643564356436,0.51,0.955,0.575,0.585,,200,200,291,310,342,,1,1,1.395189003436426,1.49185667752443,1.714705882352941,,0.647887323943662,0.4925373134328358,0.9661016949152542,0.6086956521739131,0.6307692307692307,,0.6031746031746031,0.5466666666666666,0.9733333333333334,0.5925925925925926,0.5352112676056338,,0.6764705882352942,0.4827586206896552,0.9242424242424242,0.5324675324675324,0.59375,
1900000,0.595,0.5,0.9414634146341463,0.52,0.495,,200,200,304,333,318,,1,1,1.4368932038834952,1.6865671641791045,1.5440251572327044,,0.5822784810126582,0.5074626865671642,0.9402985074626866,0.5333333333333333,0.42028985507246375,,0.6190476190476191,0.453125,0.9333333333333333,0.4909090909090909,0.4126984126984127,,0.5862068965517241,0.5362318840579711,0.9523809523809523,0.5285714285714286,0.6470588235294118,
1950000,0.5808080808080808,0.525,0.9040404040404041,0.52,0.51,,200,200,320,372,358,,1,1,1.4937106918238994,1.829268292682927,1.747191011235955,,0.5555555555555556,0.5,0.9322033898305084,0.48484848484848486,0.576271186440678,,0.6212121212121212,0.4626865671641791,0.9333333333333333,0.5076923076923077,0.46153846153846156,,0.5652173913043478,0.6119402985074627,0.8607594936708861,0.5652173913043478,0.5,
2000000,0.5024630541871922,0.52,0.9108910891089109,0.465,0.525,,200,200,331,348,383,,1,1,1.5075075075075075,1.7134670487106016,1.8426666666666667,,0.5735294117647058,0.5303030303030303,0.9538461538461539,0.45,0.5384615384615384,,0.3972602739726027,0.5138888888888888,0.9078947368421053,0.4305555555555556,0.4647887323943662,,0.5483870967741935,0.5161290322580645,0.8688524590163934,0.5147058823529411,0.578125,
2050000,0.542713567839196,0.515,0.8469387755102041,0.6,0.495,,200,200,358,420,419,,1,1,1.5875706214689265,2.024154589371981,2.107398568019093,,0.5833333333333334,0.5079365079365079,0.8266666666666667,0.6349206349206349,0.5737704918032787,,0.5428571428571428,0.5396825396825397,0.8235294117647058,0.618421052631579,0.5079365079365079,,0.49122807017543857,0.5,0.8857142857142857,0.5409836065573771,0.42105263157894735,
2100000,0.45226130653266333,0.555,0.8163265306122449,0.49,0.535,,200,200,380,444,470,,1,1,1.6356382978723405,2.128668171557562,2.2717622080679405,,0.4722222222222222,0.5555555555555556,0.7972972972972973,0.5142857142857142,0.5,,0.4444444444444444,0.625,0.8461538461538461,0.4307692307692308,0.5333333333333333,,0.43636363636363634,0.4482758620689655,0.8142857142857143,0.5230769230769231,0.5714285714285714,
2150000,0.4321608040201005,0.55,0.7908163265306123,0.565,0.465,,200,200,391,487,464,,1,1,1.6589147286821706,2.2162162162162162,2.3714902807775378,,0.4939759036144578,0.5,0.7605633802816901,0.6612903225806451,0.4461538461538462,,0.41818181818181815,0.5277777777777778,0.7846153846153846,0.47058823529411764,0.4117647058823529,,0.36065573770491804,0.6,0.8333333333333334,0.5714285714285714,0.5373134328358209,
2200000,0.32338308457711445,0.5,0.7246376811594203,0.54,0.53,,200,200,413,483,470,,1,1,1.730952380952381,2.2644628099173554,2.6723404255319148,,0.3333333333333333,0.509090909090909,0.6935483870967742,0.5797101449275363,0.5142857142857142,,0.38571428571428573,0.4864864864864865,0.7540983606557377,0.5294117647058824,0.5230769230769231,,0.2535211267605634,0.5070422535211268,0.7261904761904762,0.5079365079365079,0.5538461538461539,
2250000,0.32663316582914576,0.605,0.6989795918367347,0.575,0.505,,200,200,431,591,469,,1,1,1.740046838407494,2.5648464163822524,2.884861407249467,,0.2413793103448276,0.5,0.6266666666666667,0.5342465753424658,0.5492957746478874,,0.24615384615384617,0.6875,0.7551020408163265,0.5714285714285714,0.45454545454545453,,0.4605263157894737,0.6451612903225806,0.7361111111111112,0.631578947368421,0.5079365079365079,
