,loadFromY,loadFromY,loadFromY,,poolSize,poolSize,poolSize,,zCapacity,zCapacity,zCapacity,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,
,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,
50000,400,400,400,,Infinity,28,28,,28,28,28,,0.9893617021276596,1,0.9946808510638298,
100000,400,400,400,,Infinity,32,28,,32,32,32,,1,1,1,
150000,400,400,400,,Infinity,35,29,,35,35,35,,1,1,1,
200000,400,400,400,,Infinity,37,31,,37,37,37,,1,1,1,
250000,400,400,400,,Infinity,39,34,,39,39,39,,1,1,1,
300000,400,400,400,,Infinity,39,36,,39,39,39,,1,1,1,
350000,400,400,400,,Infinity,39,39,,39,39,39,,1,1,1,
400000,400,400,400,,Infinity,38,41,,38,38,38,,1,1,1,
450000,400,400,400,,Infinity,36,42,,36,36,36,,1,1,1,
500000,400,400,400,,Infinity,33,44,,33,33,33,,1,1,1,
550000,400,400,400,,Infinity,30,45,,30,30,30,,1,1,1,
600000,400,400,400,,Infinity,27,47,,27,27,27,,1,1,1,
650000,400,397,400,,Infinity,23,46,,23,23,23,,0.9774436090225563,1,0.9649122807017544,
700000,400,359,400,,Infinity,19,44,,19,19,19,,0.8641975308641975,1,0.8712871287128713,
750000,400,301,400,,Infinity,16,40,,16,16,16,,0.7333333333333333,1,0.7358024691358025,
800000,400,244,400,,Infinity,13,36,,13,13,13,,0.6025,1,0.6,
850000,400,204,400,,Infinity,11,27,,11,11,11,,0.5086848635235732,1,0.5099502487562189,
900000,400,177,400,,Infinity,10,19,,10,10,10,,0.4375,1,0.44139650872817954,
950000,400,169,261,,Infinity,10,10,,10,10,10,,0.4164588528678304,1,0.648854961832061,
1000000,400,174,166,,Infinity,10,10,,10,10,10,,0.41353383458646614,1,1,
1050000,400,184,169,,Infinity,12,11,,12,12,12,,0.4475,1,1,
1100000,400,216,182,,Infinity,14,11,,14,14,14,,0.5328282828282829,1,1,
1150000,400,262,211,,Infinity,17,12,,17,17,17,,0.6365914786967418,1,1,
1200000,400,315,211,,Infinity,20,12,,20,20,20,,0.769620253164557,1,1,
1250000,400,379,228,,Infinity,24,13,,24,24,24,,0.8869346733668342,1,1,
1300000,400,434,240,,Infinity,28,15,,28,28,28,,0.9924812030075187,1,1,
1350000,400,495,288,,Infinity,31,18,,31,31,31,,1,1,1,
1400000,400,554,325,,Infinity,34,20,,34,34,34,,1,1,1,
1450000,400,607,336,,Infinity,37,21,,37,37,37,,1,1,1,
1500000,400,645,349,,Infinity,39,21,,39,39,39,,1,1,1,
1550000,400,655,391,,Infinity,39,24,,39,39,39,,1,1,1,
1600000,400,664,425,,Infinity,39,26,,39,39,39,,1,1,1,
1650000,400,653,443,,Infinity,38,27,,38,38,38,,1,1,1,
1700000,400,634,477,,Infinity,36,29,,36,36,36,,1,1,1,
1750000,400,478,524,,Infinity,34,32,,34,34,34,,1,1,1,
1800000,400,400,1974,,Infinity,31,34,,31,31,31,,1,1,0.256811301715439,
1850000,400,400,400,,Infinity,27,32,,27,27,27,,1,1,1,
1900000,400,398,400,,Infinity,23,34,,23,23,23,,0.9674185463659147,1,0.9748110831234257,
1950000,400,363,400,,Infinity,20,31,,20,20,20,,0.8719211822660099,1,0.8817733990147784,
2000000,400,302,400,,Infinity,16,29,,16,16,16,,0.7475,1,0.7475,
2050000,400,249,400,,Infinity,13,23,,13,13,13,,0.6268656716417911,1,0.6197530864197531,
2100000,400,210,400,,Infinity,11,16,,11,11,11,,0.5135802469135803,1,0.5125,
2150000,400,176,178,,Infinity,10,10,,10,10,10,,0.44611528822055135,1,1,
2200000,400,167,168,,Infinity,10,10,,10,10,10,,0.42,1,1,
2250000,400,169,169,,Infinity,10,9,,10,10,10,,0.42144638403990026,1,1,
2300000,400,178,174,,Infinity,11,11,,11,11,11,,0.4472361809045226,1,1,
2350000,400,209,183,,Infinity,14,12,,14,14,14,,0.5100502512562815,1,1,
2400000,400,255,208,,Infinity,16,12,,16,16,16,,0.6130653266331658,1,1,
2450000,400,310,237,,Infinity,20,15,,20,20,20,,0.7437185929648241,1,1,
2500000,400,367,262,,Infinity,23,15,,24,24,24,,0.8838383838383839,1,1,
2550000,400,434,286,,Infinity,27,18,,27,27,27,,0.9899749373433584,1,1,
2600000,400,496,322,,Infinity,31,20,,31,31,31,,1,1,1,
2650000,400,549,359,,Infinity,34,21,,34,34,34,,1,1,1,
2700000,400,597,382,,Infinity,37,23,,37,37,37,,1,1,1,
2750000,400,633,421,,Infinity,38,26,,38,38,38,,1,1,1,
2800000,400,663,457,,Infinity,39,28,,39,39,39,,1,1,1,
2850000,400,663,500,,Infinity,39,31,,39,39,39,,1,1,1,
2900000,400,659,543,,Infinity,39,33,,39,39,39,,1,1,1,
2950000,400,639,593,,Infinity,37,36,,37,37,37,,1,1,1,
3000000,400,514,1181,,Infinity,34,35,,34,34,34,,1,1,0.5169204737732657,
3050000,400,400,977,,Infinity,31,33,,31,31,31,,1,1,0.5435222672064778,
3100000,400,400,400,,Infinity,28,30,,28,28,28,,1,1,1,
3150000,400,399,400,,Infinity,24,31,,24,24,24,,0.9875,1,0.9925373134328358,
3200000,400,371,400,,Infinity,20,29,,20,20,20,,0.8955223880597015,1,0.9027431421446384,
3250000,400,308,400,,Infinity,17,25,,17,17,17,,0.7753086419753087,1,0.7593052109181141,
