,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,
,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,
50000,5205.675977653631,4857.880434782609,2,2983.3829787234044,,1,1,0.025,0.047872340425531915,,,NaN,,0.014705882352941176,,,NaN,,0.05084745762711865,,,NaN,,0.08196721311475409,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3505,
100000,5836.65306122449,5041.29797979798,2,2974.772277227723,,1,1,0.16,0.1188118811881188,,,NaN,,0.15789473684210525,,,NaN,,0.06557377049180328,,,NaN,,0.12307692307692308,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9692307692308,
150000,6351.469696969697,4593.7360406091375,2,3034.8282828282827,,1,1,0.245,0.22727272727272727,,,NaN,,0.2727272727272727,,,NaN,,0.2,,,NaN,,0.22058823529411764,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9411764705883,
200000,6839,4722.584158415842,2,2994.5,,1,1,0.32,0.315,,,NaN,,0.3387096774193548,,,NaN,,0.26582278481012656,,,NaN,,0.3559322033898305,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9491525423728,
250000,7196.462311557789,4310.788177339901,2,3032.1507537688444,,1,1,0.36,0.3869346733668342,,,NaN,,0.29508196721311475,,,NaN,,0.36923076923076925,,,NaN,,0.4794520547945205,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.945205479452,
300000,7395.959798994975,4619.2709359605915,2,3014.3762376237623,,1,1,0.445,0.4752475247524752,,,NaN,,0.4927536231884058,,,NaN,,0.5084745762711864,,,NaN,,0.43243243243243246,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.945945945946,
350000,7424.782178217822,3411.431472081218,2,2992,,1,1,0.39,0.495,,,NaN,,0.5396825396825397,,,NaN,,0.5,,,NaN,,0.4406779661016949,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.8813559322034,
400000,7399.954545454545,4037.3414634146343,2,2989.373737373737,,1,1,0.475,0.5656565656565656,,,NaN,,0.6164383561643836,,,NaN,,0.631578947368421,,,NaN,,0.45588235294117646,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9824561403507,,NaN,NaN,NaN,3504.926470588235,
450000,7181.114427860696,3335.661616161616,2,3031.70297029703,,1,1,0.51,0.5445544554455446,,,NaN,,0.4827586206896552,,,NaN,,0.5675675675675675,,,NaN,,0.5714285714285714,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9864864864867,,NaN,NaN,NaN,3504.9142857142856,
