,loadFromY,loadFromY,loadFromY,loadFromY,,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,
,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,
50000,432,431,431,431,,2950.479012345679,2927.5555555555557,2997.1761786600496,2941.6666666666665,,0.9975308641975309,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
100000,492,475,468,473,,2748.0224032586557,3461.30866807611,3549.980769230769,3323.543524416136,,0.9307535641547862,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
150000,545,472,473,472,,2529.0767824497257,6931.237288135593,7781.556025369979,6008.563559322034,,0.8427787934186471,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
200000,592,474,475,480,,2352.97623089983,14888.552742616033,14927.326530612245,10042.512396694216,,0.7826825127334465,1,0.9693877551020408,0.9917355371900827,,NaN,NaN,NaN,0.963302752293578,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
250000,625,476,473,481,,2248.37898089172,24941.41176470588,17560.341894060995,7755.735668789809,,0.7563694267515924,1,0.7592295345104334,0.7659235668789809,,NaN,NaN,NaN,0.2722772277227723,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
300000,644,479,474,470,,2181.157076205288,36572.23382045929,17608.743788819876,7925.49766718507,,0.7247278382581649,1,0.7360248447204969,0.7309486780715396,,NaN,NaN,NaN,0.16826923076923078,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
350000,649,474,475,471,,2132.2484567901233,49263.41139240506,17603.764252696456,10229.75,,0.7160493827160493,1,0.7318952234206472,0.7268518518518519,,NaN,NaN,NaN,0.15714285714285714,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
400000,638,473,479,474,,2205.357927786499,62781.46088794926,17659.80465116279,14962.62441314554,,0.7299843014128728,1,0.7426356589147287,0.7417840375586855,,NaN,NaN,NaN,0.2028985507246377,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
450000,612,471,469,472,,2292.6323529411766,76425.16560509554,18452.583881578947,26181.647058823528,,0.7630718954248366,1,0.7713815789473685,0.7712418300653595,,NaN,NaN,NaN,0.32038834951456313,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
