tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,432,432,432,2940.6129032258063,2938.377171215881,1,1,Infinity,Infinity,-1,0.23842592592592593,-1,432,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,492,2957.893660531697,2955.678936605317,1,1,Infinity,Infinity,-1,0.21951219512195122,-1,492,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,545,545,545,2949.5819521178637,2947.394106813996,1,1,Infinity,Infinity,-1,0.20550458715596331,-1,545,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,592,592,592,2944.6118644067797,2942.423728813559,1,1,Infinity,Infinity,-1,0.21621621621621623,-1,592,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,625,2938.8224,2936.6112,1,1,Infinity,Infinity,-1,0.1952,-1,625,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,644,2976.3121118012423,2974.1242236024846,1,1,Infinity,Infinity,-1,0.2080745341614907,-1,644,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,649,2943.8284389489954,2941.627511591963,1,1,Infinity,Infinity,-1,0.20801232665639446,-1,649,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,638,2958.4009360374416,2956.1934477379095,1,1,Infinity,Infinity,-1,0.21316614420062696,-1,638,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,612,2970.5597381342063,2968.346972176759,1,1,Infinity,Infinity,-1,0.21241830065359477,-1,612,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,573,2946.3148788927338,2944.081314878893,1,1,Infinity,Infinity,-1,0.19022687609075042,-1,573,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,524,524,523,2928.254752851711,2926.0380228136883,1,1,Infinity,Infinity,-1,0.18929254302103252,-1,524,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,465,465,466,2951.972340425532,2949.7744680851065,1,1,Infinity,Infinity,-1,0.2167381974248927,-1,465,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,404,404,404,2933.031862745098,2930.8382352941176,1,1,Infinity,Infinity,-1,0.2202970297029703,-1,404,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,343,343,343,2955.2573099415204,2953.0672514619882,1,1,Infinity,Infinity,-1,0.18658892128279883,-1,343,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,284,284,284,2968.593103448276,2966.3206896551724,1,1,Infinity,Infinity,-1,0.22183098591549297,-1,284,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,233,233,233,2924.415254237288,2922.2542372881358,1,1,Infinity,Infinity,-1,0.1630901287553648,-1,233,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,193,193,193,2989.6649484536083,2987.4484536082473,1,1,Infinity,Infinity,-1,0.19689119170984457,-1,193,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,165,165,165,2934.8192771084337,2932.5843373493976,1,1,Infinity,Infinity,-1,0.23030303030303031,-1,165,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,151,151,151,2931.5359477124184,2929.300653594771,1,1,Infinity,Infinity,-1,0.18543046357615894,-1,151,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,154,154,154,2988.3486842105262,2986.1118421052633,1,1,Infinity,Infinity,-1,0.24025974025974026,-1,154,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,172,172,172,2909.4,2907.1823529411763,1,1,Infinity,Infinity,-1,0.2441860465116279,-1,172,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,203,203,203,2985.8069306930693,2983.608910891089,1,1,Infinity,Infinity,-1,0.24630541871921183,-1,203,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
