tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,431,431,431,2970.0397022332504,2956.4317617866004,1,1,28,28,-1,11.2830626450116,0,431,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,474,3397.200421940928,2928.8776371308018,1,1,28,28,-1,566.5379746835443,18,492,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,546,546,477,7012.423480083858,2931.2578616352203,1,1,28,28,-1,4418.819706498952,87,546,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,591,591,472,14480.572033898305,2956.5741525423728,1,1,28,28,-1,12064.91313559322,206,591,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,476,24560.067226890755,2927.128151260504,1,1,28,28,-1,22268.355042016807,355,625,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,481,36216.72765072765,2931.037422037422,1,1,28,28,-1,34000.806652806656,518,644,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,473,48617.87949260042,2945.0380549682877,1,1,28,28,-1,46447.809725158564,694,649,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,475,62349.835789473684,2961.4842105263156,1,1,28,28,-1,60193.124210526315,857,638,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,469,75941.2473347548,2985.7014925373132,1,1,28,28,-1,73772.4328358209,1000,612,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,472,89324.125,2958.9025423728813,1,1,28,28,-1,87111.47669491525,1101,573,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
