tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,431,431,431,2932.8861386138615,2926.0643564356437,1,1,28,28,-1,4.450116009280743,0,431,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,471,3256.7404255319148,2939.5148936170212,1,1,28,28,-1,407.343949044586,21,492,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,546,546,475,7398.503157894736,2974.955789473684,1,1,28,28,-1,4803.101052631579,92,546,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,591,591,474,14741,2963.940928270042,0.9713114754098361,1,28,28,-1,12760.14135021097,195,577,14,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,473,17689.324193548386,2937.00422832981,0.7629032258064516,1,28,28,-1,20443.14799154334,200,478,147,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,476,17494.285714285714,2927.7563025210084,0.7391304347826086,1,28,28,-1,20745.712184873948,200,476,168,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,480,17502.382488479263,2935.452083333333,0.7373271889400922,1,28,28,-1,20809.44375,198,478,171,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,476,17780.8703125,2938.266806722689,0.74375,1,28,28,-1,20955.363445378152,196,474,164,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,472,18481.11001642036,2959.9639830508477,0.7750410509031199,1,28,28,-1,20899.51906779661,199,475,137,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,472,19689.048526863084,2967.1673728813557,0.8180242634315424,1,28,28,-1,21101.26694915254,195,468,105,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,524,524,478,21717.147509578543,2921.165271966527,0.9157088122605364,1,28,28,-1,20762.412133891212,197,480,44,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,465,465,476,23473.037578288102,2936.5693277310925,0.9937369519832986,1,28,28,-1,20670.882352941175,183,462,3,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,405,405,474,21787.630801687763,2966.6856540084386,1,1,28,28,-1,18514.48523206751,114,405,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,342,342,456,11595.627155172413,2955.7866379310344,1,1,28,28,-1,7852.208333333333,0,342,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,284,284,284,2974.78892733564,2971.8304498269895,1,1,28,28,-1,0.8943661971830986,0,284,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,233,233,233,2987.7542372881358,2984.8771186440677,1,1,28,28,-1,0.871244635193133,0,233,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,193,193,193,2952.2,2949.1692307692306,1,1,28,28,-1,0.9015544041450777,0,193,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,165,165,165,2986.193939393939,2983.1272727272726,1,1,28,28,-1,0.9212121212121213,0,165,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,151,151,151,2961.8104575163397,2958.797385620915,1,1,28,28,-1,0.9205298013245033,0,151,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,154,154,154,2953.326797385621,2950.2875816993464,1,1,28,28,-1,0.9025974025974026,0,154,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,172,172,172,2978.2619047619046,2975.2261904761904,1,1,28,28,-1,0.8837209302325582,0,172,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,203,203,203,2973.2843137254904,2970.357843137255,1,1,28,28,-1,0.8916256157635468,0,203,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,247,247,247,2908.4814814814813,2905.4238683127573,1,1,28,28,-1,0.9149797570850202,0,247,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,301,301,301,2978.3892617449665,2975.3355704697988,1,1,28,28,-1,0.9169435215946844,0,301,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,361,361,361,2949.64606741573,2946.6853932584268,1,1,28,28,-1,0.8947368421052632,0,361,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,423,423,423,2962.7814726840857,2957.4061757719714,1,1,28,28,-1,3.3333333333333335,0,423,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,483,483,465,3399.6976241900647,2981.526997840173,1,1,28,28,-1,513.6172043010753,18,483,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,539,539,475,6738.248421052632,2947.604210526316,1,1,28,28,-1,4110.6652631578945,82,539,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,586,586,474,13941.200421940928,2954.2194092827003,1,1,28,28,-1,11503.41983122363,194,586,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500000,622,622,472,17280.4512987013,2966.9661016949153,0.7662337662337663,1,28,28,-1,19903.072033898305,199,478,144,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550000,642,642,479,17683.93157076205,2922.1649269311065,0.744945567651633,1,28,28,-1,20790.837160751566,199,478,164,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600000,650,650,474,17511.67026194145,2948.10970464135,0.7303543913713405,1,28,28,-1,21017.755274261603,200,475,175,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1650000,640,640,475,17660.53042121685,2939.4,0.7410296411856474,1,28,28,-1,20893.688421052633,199,474,166,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1700000,616,616,478,18411.608130081302,2926.3933054393306,0.7772357723577236,1,28,28,-1,20758.46652719665,200,479,137,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750000,579,579,472,19545.393103448278,2976.7076271186443,0.8137931034482758,1,28,28,-1,21059.366525423728,199,471,108,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1800000,530,530,473,21358.033898305086,2953.0528541226217,0.8907721280602636,1,28,28,-1,20996.20930232558,198,472,58,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
