tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,431,431,431,2948.9604938271605,2942.893827160494,1,1,Infinity,28,-1,5.104408352668213,-1,431,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2970.6710526315787,2930.4586466165415,2950.625
100000,492,492,473,3370.67940552017,2935.868365180467,1,1,Infinity,28,-1,521.3995771670191,-1,492,0,1,-1,-1,-1,-1,0,NaN,1,1,1,4028.7432432432433,3091.91875,3054.2208588957055
150000,546,546,477,5936.123689727463,2945.0712788259957,1,1,Infinity,28,-1,3123.4654088050315,-1,546,0,1,-1,-1,-1,-1,0,NaN,1,1,1,13705.700787401574,3182.64375,3067.952631578947
200000,591,591,474,9818.693110647182,2944.9135021097045,0.9895615866388309,1,Infinity,28,-1,7053.303797468355,-1,586,5,1,-1,-1,-1,-1,0,NaN,0.9797979797979798,0.9945652173913043,0.9897959183673469,35279.181818181816,3322.0489130434785,3063.8010204081634
250000,625,625,473,14858.3664,2960.245243128964,0.7568,1,Infinity,28,-1,17253.754756871036,-1,473,152,1,-1,-1,-1,-1,0,NaN,0.7524752475247525,0.7767857142857143,0.7386934673366834,40993.09900990099,2463.84375,2289.6331658291456
300000,644,644,473,16706.561919504646,2968.050739957717,0.7321981424148607,1,Infinity,28,-1,20699.676532769558,-1,471,173,1,-1,-1,-1,-1,0,NaN,0.7272727272727273,0.7300884955752213,0.7387387387387387,49297.57575757576,2335.592920353982,2276.4864864864867
350000,649,649,469,18931.81635802469,2975.234541577825,0.7237654320987654,1,Infinity,28,-1,22324.1236673774,-1,470,179,1,-1,-1,-1,-1,0,NaN,0.7276595744680852,0.7115384615384616,0.7317073170731707,48207.96170212766,2278.264423076923,2276.9756097560976
400000,638,638,477,17544.7640625,2955.5639412997903,0.7453125,1,Infinity,28,-1,20951.100628930817,-1,475,163,1,-1,-1,-1,-1,0,NaN,0.7685185185185185,0.7348837209302326,0.7320574162679426,47488.12962962963,2331.9767441860463,2256.186602870813
450000,612,612,470,18568.778325123152,2957.627659574468,0.7717569786535303,1,Infinity,28,-1,21047.65319148936,-1,473,139,1,-1,-1,-1,-1,0,NaN,0.7619047619047619,0.75,0.8087431693989071,49263.723809523806,2354.847222222222,2491.72131147541
500000,573,573,475,18553.53135888502,2949.244210526316,0.8275261324041812,1,Infinity,28,-1,19379.610526315788,-1,474,99,1,-1,-1,-1,-1,0,NaN,0.8228571428571428,0.7962085308056872,0.8670212765957447,54971.817142857144,2511.872037914692,2665.7127659574467
550000,524,524,473,21510.706106870228,2953.4693446088795,0.9026717557251909,1,Infinity,28,-1,20769.54756871036,-1,473,51,1,-1,-1,-1,-1,0,NaN,0.8734939759036144,0.9293478260869565,0.9022988505747126,61687.27108433735,3006.3478260869565,2756.9597701149423
600000,465,465,478,25388.8115942029,2933.2824267782426,0.989648033126294,1,Infinity,28,-1,23039.29079497908,-1,460,5,1,-1,-1,-1,-1,0,NaN,0.9754601226993865,1,0.9929577464788732,69193.30061349693,3107.1516853932585,3045.507042253521
650000,405,405,472,25952.81779661017,2968.8283898305085,1,1,Infinity,28,-1,22662.14194915254,-1,405,0,1,-1,-1,-1,-1,0,NaN,1,1,1,54703.181818181816,3116.8828125,3103.874074074074
700000,342,342,456,14697.513918629551,2931.6723768736615,1,1,Infinity,28,-1,10984.877192982456,-1,342,0,1,-1,-1,-1,-1,0,NaN,1,1,1,24614.722222222223,3056.814432989691,3097.5423728813557
750000,284,284,284,2988.7604166666665,2985.8854166666665,1,1,Infinity,28,-1,0.8802816901408451,-1,284,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2984.61,2967.766666666667,3019.969387755102
800000,233,233,233,2938.7063829787235,2935.8808510638296,1,1,Infinity,28,-1,0.8583690987124464,-1,233,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2969.654761904762,2977.08,2874.8552631578946
850000,193,193,193,2978.8041237113403,2975.8453608247423,1,1,Infinity,28,-1,0.8911917098445595,-1,193,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2969.107692307692,3038.7377049180327,2941.4411764705883
900000,165,165,165,2897.2060606060604,2894.2727272727275,1,1,Infinity,28,-1,0.9393939393939394,-1,165,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2864.2264150943397,2929.3333333333335,2901.8653846153848
950000,151,151,151,2955.0789473684213,2952.125,1,1,Infinity,28,-1,0.9271523178807947,-1,151,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2974.9423076923076,2968.409836065574,2917.948717948718
1000000,154,154,154,2937.5844155844156,2934.681818181818,1,1,Infinity,28,-1,0.9155844155844156,-1,154,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2862.25,2941.548387096774,3009.6666666666665
1050000,172,172,172,2926.829411764706,2923.9117647058824,1,1,Infinity,28,-1,0.8953488372093024,-1,172,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2874.296296296296,3004.3333333333335,2902.339285714286
1100000,203,203,203,2926.9850746268658,2924.134328358209,1,1,Infinity,28,-1,0.9014778325123153,-1,203,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2962.2363636363634,2942.844155844156,2888.8840579710145
1150000,247,247,247,2938.4146341463415,2935.459349593496,1,1,Infinity,28,-1,0.9068825910931174,-1,247,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2921.896103896104,2967.2022471910113,2930.1875
