tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,194,2885.1798941798943,2975.710382513661,1,1,Infinity,Infinity,-1,0.9948453608247423,-1,194,0,1,23905.049723756907,-1,-1,-1,473.7142857142857,14922,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,173,2565.6069651741295,2959.4080459770116,1,1,Infinity,Infinity,-1,1,-1,173,0,1,50667.087818696884,-1,-1,-1,5178.203980099503,38548.851851851854,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,151,2251.0882352941176,2958.090322580645,1,1,Infinity,Infinity,-1,1,-1,151,0,1,77535.63385826771,-1,-1,-1,15154.916666666666,63093.93877551021,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,138,2015.8832487309644,2936.777777777778,1,1,Infinity,Infinity,-1,1,-1,138,0,1,106147.58255451714,-1,-1,-1,30849.30964467005,98021.19354838709,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,116,1733.5951219512194,2931.694214876033,1,1,Infinity,Infinity,-1,1,-1,116,0,1,135208.41677588466,-1,-1,-1,56673.40487804878,138310.09523809524,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,122,1770.3756345177665,2925.4789915966385,1,1,Infinity,Infinity,-1,1,-1,122,0,1,163712.48072562358,-1,-1,-1,64495.25888324873,162891.87179487178,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,99,1430.8557213930349,2870,1,1,Infinity,Infinity,-1,1,-1,99,0,1,194751.28105906313,-1,-1,-1,81470.63184079602,162134.62376237623,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,99,1437.6180904522614,2913.183673469388,1,1,Infinity,Infinity,-1,1,-1,99,0,1,212198.2,-1,-1,-1,97871.59296482411,192836.10891089108,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,94,1395.407960199005,2946.157894736842,1,1,Infinity,Infinity,-1,1,-1,94,0,1,225817.75,-1,-1,-1,124306.37810945274,235713.03773584907,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,87,1301.23,2984.735632183908,1,1,Infinity,Infinity,-1,1,-1,87,0,1,239552.1,-1,-1,-1,139056.305,246117.35398230088,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,105,1563.08,2971.4857142857145,1,1,Infinity,Infinity,-1,1,-1,105,0,1,244008.35,-1,-1,-1,113280.325,238484.8947368421,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,84,1250.7326732673268,2931.0697674418607,1,1,Infinity,Infinity,-1,1,-1,84,0,1,254652.75,-1,-1,-1,144852.23762376237,252242.6896551724,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,96,1411.4422110552764,2950.4105263157894,1,1,Infinity,Infinity,-1,1,-1,96,0,1,259911.9,-1,-1,-1,129663.25628140704,248105.65384615384,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,96,1415.38,2942.5416666666665,1,1,Infinity,Infinity,-1,1,-1,96,0,1,262610.6,-1,-1,-1,131625.19,253125.36538461538,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,94,1389.6919191919192,2984.554347826087,1,1,Infinity,Infinity,-1,1,-1,94,0,1,266102.2,-1,-1,-1,127997.1313131313,239088.98113207548,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,100,1495.6354679802955,2941.766990291262,1,1,Infinity,Infinity,-1,1,-1,100,0,1,262893.4,-1,-1,-1,136573.39901477832,277244,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,101,1486.3080808080808,2966.6161616161617,1,1,Infinity,Infinity,-1,1,-1,101,0,1,261523.85,-1,-1,-1,130557.84343434343,261115.68686868687,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,106,1571.4221105527638,2972.4285714285716,1,1,Infinity,Infinity,-1,1,-1,106,0,1,256991,-1,-1,-1,123636.52261306533,261741.1489361702,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,100,1484.6980198019803,2934.323529411765,1,1,Infinity,Infinity,-1,1,-1,100,0,1,253715.65,-1,-1,-1,121071.0396039604,244563.5,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,102,1489.688775510204,2973.377551020408,1,1,Infinity,Infinity,-1,1,-1,102,0,1,253567.3,-1,-1,-1,121808.95918367348,243617.91836734695,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,95,1416.7821782178219,2944.2474226804125,0.8415841584158416,0.6701030927835051,Infinity,Infinity,-1,1,-1,95,0,1,269563.7,-1,-1,-1,137994.91176470587,223420.33333333334,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,95,1326.0959595959596,2817.043010752688,0.8434343434343434,0.6666666666666666,Infinity,Infinity,-1,1,-1,95,0,1,286042.8,-1,-1,-1,165191.5269461078,262733.1904761905,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,98,1487.8878048780489,2955.349514563107,0.7853658536585366,0.5728155339805825,Infinity,Infinity,-1,1,-1,98,0,1,303010.35,-1,-1,-1,181861.14285714287,287055.3333333333,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,93,1369.6633165829146,2956.3152173913045,0.8090452261306532,0.5869565217391305,Infinity,Infinity,-1,1,-1,93,0,1,322487.35,-1,-1,-1,221060.42857142858,332623.6355140187,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,101,1468.005,2900.980198019802,0.84,0.6831683168316832,Infinity,Infinity,-1,1,-1,101,0,1,331200.75,-1,-1,-1,199234.54166666666,338094.9797979798,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,111,1615.3775510204082,2953.345794392523,0.7653061224489796,0.5700934579439252,Infinity,Infinity,-1,1,-1,111,0,1,344852.65,-1,-1,-1,185029.88666666666,311848.1235955056,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,96,1475.8058252427184,2974.5098039215686,0.8446601941747572,0.6862745098039216,Infinity,Infinity,-1,1,-1,96,0,1,351680.75,-1,-1,-1,221464.2988505747,370526.8076923077,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,98,1420.825641025641,2972.956989247312,0.7846153846153846,0.5483870967741935,Infinity,Infinity,-1,1,-1,98,0,1,368677.25,-1,-1,-1,225515.64705882352,338273.4705882353,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,101,1498.0940594059407,2932.0873786407765,0.7920792079207921,0.5922330097087378,Infinity,Infinity,-1,1,-1,101,0,1,378250,-1,-1,-1,240495.95625,388680.3333333333,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,99,1475.95,2975.6767676767677,0.75,0.494949494949495,Infinity,Infinity,-1,1,-1,99,0,1,395259.55,-1,-1,-1,267508.31333333335,397289.57425742573,NaN,NaN,NaN,NaN,NaN,NaN
1550000,200,200,99,1463.030303030303,2980.3092783505153,0.8282828282828283,0.6494845360824743,Infinity,Infinity,-1,1,-1,99,0,1,400395,-1,-1,-1,252067.05487804877,409297,NaN,NaN,NaN,NaN,NaN,NaN
