tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,200,2.005,1486.5641025641025,0.06,1,Infinity,Infinity,-1,0.995,-1,200,0,1,-1,-1,-1,-1,17672,17672,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,2,1496.945,0.17,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,35632.294117647056,35632.294117647056,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,2,1429.89,0.185,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,51710.51351351351,51710.51351351351,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,2,1477.8291457286432,0.325,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,94738.53846153847,94738.53846153847,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,2,1505.9253731343283,0.455,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,105039.30769230769,105039.30769230769,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,2,1441.945,0.47,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,116822.53191489361,116822.53191489361,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,2,1454.4747474747476,0.475,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,143205.94736842104,143205.94736842104,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,2,1461.129353233831,0.49,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,162635.26530612246,162635.26530612246,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,2,1484.465,0.565,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,160818.2389380531,160818.2389380531,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,2,1496.4676616915424,0.56,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,148948.3392857143,148948.3392857143,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,200,2,1430.2222222222222,0.61,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,134526.09836065574,134526.09836065574,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,200,2,1487.0891089108911,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,168629.52427184465,168629.52427184465,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,200,2,1517.955,0.51,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,137116.60784313726,137116.60784313726,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,200,2,1484.3366834170854,0.565,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,168836.82300884955,168836.82300884955,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,200,2,1438.7412935323382,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,163168.90476190476,163168.90476190476,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,200,2,1451.175879396985,0.57,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,169780.33333333334,169780.33333333334,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,200,2,1475.3152709359606,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154180.80952380953,154180.80952380953,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,200,2,1456.9949494949494,0.57,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,145901.38596491228,145901.38596491228,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,200,2,1454.95,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,143541.90740740742,143541.90740740742,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,200,2,1466.44,0.5,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,152665.5,152665.5,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,200,2,1412.8955223880596,0.62,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,178657.0806451613,178657.0806451613,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,200,2,1428.0854271356784,0.51,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,150197,150197,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,200,2,1485.46,0.5,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,148300.5,148300.5,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,200,2,1479.435,0.55,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,151283.36363636365,151283.36363636365,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,200,2,1462.445,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154333.0576923077,154333.0576923077,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,200,2,1459.8564356435643,0.485,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,150306.79381443298,150306.79381443298,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,200,2,1449.4040404040404,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,133203.94444444444,133203.94444444444,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,200,2,1464.3756345177665,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,162777,162777,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,200,2,1469.4137931034484,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,150359.96296296295,150359.96296296295,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,200,2,1458.681592039801,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,134445.5436893204,134445.5436893204,NaN,NaN,NaN,NaN,NaN,NaN
