tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,200,2.005,2964.191489361702,0.05,1,Infinity,Infinity,-1,0.995,-1,200,0,1,-1,-1,-1,-1,18467,18467,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,2,2976.44,0.15,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,42277,42277,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,2,2938.0742574257424,0.25,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,53660,53660,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,2,2913.005025125628,0.37,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,82576.72972972973,82576.72972972973,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,2,2926.045226130653,0.405,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,99119.83950617284,99119.83950617284,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,2,3013.955,0.46,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,111745.36956521739,111745.36956521739,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,2,2969.1194029850744,0.505,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,147796.0099009901,147796.0099009901,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,2,2938.6281407035176,0.55,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,157228.81818181818,157228.81818181818,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,2,2987.0348258706467,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,146292.1923076923,146292.1923076923,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,2,2901.44,0.585,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,159349.99145299144,159349.99145299144,NaN,NaN,NaN,NaN,NaN,NaN
