tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,200,1977.4329896907216,1414.0154639175257,0.7577319587628866,1,Infinity,Infinity,-1,0.125,-1,200,0,1,-1,-1,-1,-1,1171.1768707482993,1171.1768707482993,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,1996.939393939394,1448.4040404040404,0.8282828282828283,1,Infinity,Infinity,-1,0.15,-1,200,0,1,-1,-1,-1,-1,3656.439024390244,3656.439024390244,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,1923.3980099502487,1457.8960396039604,0.7611940298507462,1,Infinity,Infinity,-1,0.21,-1,200,0,1,-1,-1,-1,-1,6938.16339869281,6938.16339869281,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,1980,1474.5721393034826,0.8,1,Infinity,Infinity,-1,0.19,-1,200,0,1,-1,-1,-1,-1,13212.6125,13212.6125,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,1965.189054726368,1442.96,0.8507462686567164,1,Infinity,Infinity,-1,0.175,-1,200,0,1,-1,-1,-1,-1,10507.818713450293,10507.818713450293,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,1895.462311557789,1482.356783919598,0.8140703517587939,1,Infinity,Infinity,-1,0.17,-1,200,0,1,-1,-1,-1,-1,26058.716049382718,26058.716049382718,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,1945.4242424242425,1469.93,0.8535353535353535,1,Infinity,Infinity,-1,0.14,-1,200,0,1,-1,-1,-1,-1,16494.633136094675,16494.633136094675,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,1949.2686567164178,1460.6567164179105,0.8507462686567164,1,Infinity,Infinity,-1,0.175,-1,200,0,1,-1,-1,-1,-1,23260.74269005848,23260.74269005848,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,1991.5572139303483,1457,0.8905472636815921,1,Infinity,Infinity,-1,0.175,-1,200,0,1,-1,-1,-1,-1,20709.849162011174,20709.849162011174,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,1992.8989898989898,1408.8564356435643,0.898989898989899,1,Infinity,Infinity,-1,0.15,-1,200,0,1,-1,-1,-1,-1,25048.977528089887,25048.977528089887,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,200,1953,1398.4875621890546,0.8613861386138614,1,Infinity,Infinity,-1,0.14,-1,200,0,1,-1,-1,-1,-1,25158.206896551725,25158.206896551725,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,200,2039,1471.492385786802,0.91,1,Infinity,Infinity,-1,0.155,-1,200,0,1,-1,-1,-1,-1,28552.76923076923,28552.76923076923,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,200,1951.5,1461.485,0.85,1,Infinity,Infinity,-1,0.18,-1,200,0,1,-1,-1,-1,-1,20819.058823529413,20819.058823529413,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,200,1957.5,1488.0348258706467,0.865,1,Infinity,Infinity,-1,0.155,-1,200,0,1,-1,-1,-1,-1,38931.39306358381,38931.39306358381,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,200,1984.4070351758794,1421.1822660098521,0.8793969849246231,1,Infinity,Infinity,-1,0.12,-1,200,0,1,-1,-1,-1,-1,18986.428571428572,18986.428571428572,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,200,1904.9900497512438,1438.989847715736,0.845771144278607,1,Infinity,Infinity,-1,0.21,-1,200,0,1,-1,-1,-1,-1,22309.941176470587,22309.941176470587,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,200,1928.870646766169,1417.45,0.8805970149253731,1,Infinity,Infinity,-1,0.18,-1,200,0,1,-1,-1,-1,-1,30215.0790960452,30215.0790960452,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,200,1895.8934010152284,1486.6896551724137,0.8477157360406091,1,Infinity,Infinity,-1,0.17,-1,200,0,1,-1,-1,-1,-1,39883.82634730539,39883.82634730539,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,200,1930.7227722772277,1432.9035532994924,0.8762376237623762,1,Infinity,Infinity,-1,0.1,-1,200,0,1,-1,-1,-1,-1,26263.666666666668,26263.666666666668,NaN,NaN,NaN,NaN,NaN,NaN
