tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,191,2807.2931937172775,2940.912087912088,1,1,Infinity,Infinity,-1,0,-1,191,0,1,23817.82967032967,-1,-1,-1,744.2670157068063,15795,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,168,2487.36,2955.3809523809523,1,1,Infinity,Infinity,-1,0,-1,168,0,1,50710.112068965514,-1,-1,-1,5143.205,32145.03125,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,143,2124.776119402985,2959.25,1,1,Infinity,Infinity,-1,0,-1,143,0,1,78524.93292682926,-1,-1,-1,18221.218905472637,64253.771929824565,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,137,2039.7635467980297,2950.8571428571427,1,1,Infinity,Infinity,-1,0,-1,137,0,1,105503.87183544303,-1,-1,-1,26228.00985221675,84512.47619047618,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,120,1759.919191919192,2945.3728813559323,1,1,Infinity,Infinity,-1,0,-1,120,0,1,135175.3150867824,-1,-1,-1,48804.545454545456,120791.25,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,110,1651.7,2994.818181818182,1,1,Infinity,Infinity,-1,0,-1,110,0,1,164880.2902097902,-1,-1,-1,66834.005,148520.01111111112,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,108,1571.8407960199006,2890.1559633027523,1,1,Infinity,Infinity,-1,0,-1,108,0,1,193896.76994818653,-1,-1,-1,76949.4527363184,168117.8260869565,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,98,1496.1960784313726,2983.392156862745,1,1,Infinity,Infinity,-1,0,-1,98,0,1,212324.052,-1,-1,-1,96324.4656862745,192648.931372549,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,99,1452.6497461928934,2971.75,1,1,Infinity,Infinity,-1,0,-1,99,0,1,224423.552,-1,-1,-1,119308.60406091371,232710.84158415842,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,98,1474.46,2999.938775510204,1,1,Infinity,Infinity,-1,0,-1,98,0,1,234413.601,-1,-1,-1,109130.205,213980.79411764705,NaN,NaN,NaN,NaN,NaN,NaN
