tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,192,2852.8351063829787,2972.1666666666665,1,1,Infinity,Infinity,-1,0.203125,-1,192,0,1,24298.333333333332,-1,-1,-1,1003.9574468085107,23593,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,171,2544.6108374384235,2961.0287356321837,1,1,Infinity,Infinity,-1,0,-1,171,0,1,50346.07344632768,-1,-1,-1,5222.891625615764,36560.24137931035,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,154,2271.313432835821,2937.1096774193547,1,1,Infinity,Infinity,-1,0,-1,154,0,1,77512.59332023576,-1,-1,-1,16782.97512437811,73334.30434782608,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,140,2100.7462686567164,2985.9574468085107,1,1,Infinity,Infinity,-1,0,-1,140,0,1,105658.67283950618,-1,-1,-1,31421.29353233831,105261.33333333333,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,131,1940.278606965174,2945.3636363636365,1,1,Infinity,Infinity,-1,0,-1,131,0,1,133700.14249037227,-1,-1,-1,37680.18407960199,109764.01449275362,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,112,1624.86,2891.3571428571427,1,1,Infinity,Infinity,-1,0,-1,112,0,1,163902.6835016835,-1,-1,-1,71397.67,162267.43181818182,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,99,1470.6666666666667,2944.99,1,1,Infinity,Infinity,-1,0,-1,99,0,1,194828.80020181634,-1,-1,-1,91841.00995024876,182772.70297029702,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,85,1256.2814070351758,2963.6666666666665,1,1,Infinity,Infinity,-1,0,-1,85,0,1,215931.501,-1,-1,-1,116406.75879396984,201434.30434782608,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,89,1313.6517412935323,2921.866666666667,1,1,Infinity,Infinity,-1,0,-1,89,0,1,231043.251,-1,-1,-1,127078.22388059701,230114.62162162163,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,106,1566.68,2945.433962264151,1,1,Infinity,Infinity,-1,0,-1,106,0,1,236958.901,-1,-1,-1,107680.46,229107.36170212767,NaN,NaN,NaN,NaN,NaN,NaN
