tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,400,400,400,2978.266666666667,2975.2053333333333,1,1,30,28,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,400,400,400,2982.732673267327,2979.6831683168316,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,400,400,400,2966.95717884131,2963.884130982368,1,1,30,31,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,400,400,400,2936.272952853598,2933.220843672457,1,1,30,33,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,400,400,400,2948.929292929293,2945.868686868687,1,1,30,34,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,400,400,400,2956.3740648379053,2953.3192019950125,1,1,30,36,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,400,400,400,2911,2907.9325,1,1,30,37,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,400,400,400,2951.137157107232,2948.077306733167,1,1,30,39,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,400,400,400,2970,2966.93,1,1,30,42,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,400,400,400,2931.4364089775563,2928.376558603491,1,1,10,44,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,400,400,197,14890.137362637362,9985.208791208792,1,1,10,37,-1,8625.659898477157,203,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,400,400,157,44644.07878787879,10453.060606060606,1,1,10,29,-1,40613.36942675159,446,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,400,400,158,73996.6294117647,7243.164705882353,1,1,10,17,-1,71200.35443037975,688,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,400,400,155,102547.52760736196,3980.6687116564417,1,1,10,9,-1,101036.8193548387,933,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,400,400,150,134179.86577181207,2976.8255033557048,1,1,10,10,-1,133204.84666666668,1183,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,400,400,167,163157.22155688622,3087.1497005988026,1,1,10,10,-1,161780.14371257485,1416,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,400,400,170,192276.48538011697,3051.5263157894738,1,1,10,9,-1,190868.20588235295,1646,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,400,400,158,222237.19620253163,3004.26582278481,1,1,10,9,-1,220972.56962025317,1888,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,400,400,168,251935.11976047905,3082.2155688622756,1,1,10,10,-1,250463.75595238095,2120,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,400,400,171,280573.730994152,3047.0994152046783,1,1,10,10,-1,279191.91812865494,2349,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,400,400,172,309364.1812865497,3105.0701754385964,1,1,10,11,-1,308021.5348837209,2577,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,400,400,170,337869.1058823529,3118.4,1,1,10,11,-1,336606.0117647059,2807,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,400,400,168,366764.8698224852,3108.6568047337278,1,1,10,10,-1,365450.72023809527,3039,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,400,400,170,395582.58235294116,3056.1588235294116,1,1,10,10,-1,394209.53529411764,3269,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,400,400,173,424072.5988372093,3081.546511627907,1,1,10,11,-1,422718.78034682083,3496,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
