tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,400,400,400,2952.0928381962863,2948.0397877984083,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,400,400,400,2953.633416458853,2949.57855361596,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,400,400,400,2994.688442211055,2990.6231155778896,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,400,400,400,2964.5,2960.435,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,400,400,400,2947.3990024937657,2943.334164588529,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,400,400,400,2988.9548872180453,2984.8872180451126,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,400,400,400,2949.643391521197,2945.5960099750623,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,400,400,400,2959.3690773067333,2955.3167082294262,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,400,400,400,2954.6190476190477,2950.5513784461155,1,1,30,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,400,400,400,2956.122807017544,2952.0426065162906,1,1,10,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,400,400,170,14658.766304347826,2956.1847826086955,1,1,10,10,-1,14284.482352941177,230,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,400,400,168,44216.05357142857,2970.2619047619046,1,1,10,10,-1,42965.05952380953,462,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,400,400,172,73204.33720930232,2928.5755813953488,1,1,10,10,-1,71954.07558139534,690,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,400,400,166,102164.73493975903,2990.9518072289156,1,1,10,10,-1,100913.7469879518,924,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,400,400,174,130584.55747126437,2904.1494252873563,1,1,10,10,-1,129332.85057471265,1150,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,400,400,170,159576.32352941178,2929.470588235294,1,1,10,10,-1,158325.34705882354,1380,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,400,400,171,188246.61988304093,2921.122807017544,1,1,10,10,-1,186995.6374269006,1609,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,400,400,170,216990.08823529413,2945.9411764705883,1,1,10,10,-1,215739.83529411766,1839,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,400,400,167,245582.27544910178,2950.9041916167666,1,1,10,10,-1,244330.53293413174,2072,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,400,400,171,274511.1812865497,2946.8596491228072,1,1,10,10,-1,273260.9356725146,2301,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,400,400,170,303349.7588235294,2971.823529411765,1,1,10,10,-1,302098.03529411764,2531,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,400,400,170,332533.82352941175,2921.823529411765,1,1,10,10,-1,331287.24705882353,2761,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,400,400,165,360549.096969697,2987.2363636363634,1,1,10,10,-1,359293.56363636366,2996,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,400,400,173,390198.26589595375,2956.1791907514453,1,1,10,10,-1,388947.27167630056,3223,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,400,400,165,419119.7393939394,2981.1757575757574,1,1,10,10,-1,417868.7515151515,3458,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,400,400,171,447765.8070175439,2938.6725146198833,1,1,10,10,-1,446514.83040935674,3687,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,400,400,168,476517.51785714284,2944.6666666666665,1,1,10,10,-1,475268.0238095238,3919,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,400,400,170,505221.1411764706,2941.235294117647,1,1,10,10,-1,503968.67647058825,4149,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,400,400,170,534571.8411764706,2971.8117647058825,1,1,10,10,-1,533320.8529411765,4379,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500000,400,400,170,563137.5,2924.164705882353,1,1,35,10,-1,561887.9705882353,4609,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550000,400,400,600,567112.6173913043,2973.695652173913,1,1,35,35,-1,563240.5816666667,4409,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600000,400,400,592,543562.0608108108,2944.001689189189,1,1,35,35,-1,539187.3293918918,4217,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1650000,400,400,598,519251.9431438127,2936.2324414715717,1,1,35,35,-1,514875.52508361207,4019,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1700000,400,400,592,495051.90202702704,2957.8885135135133,1,1,35,35,-1,490672.3243243243,3827,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750000,400,400,581,471362.8072289157,2990.5714285714284,1,1,35,35,-1,466987.0361445783,3646,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1800000,400,400,595,447921.6386554622,2940.2991596638653,1,1,35,35,-1,443548.17983193276,3451,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850000,400,400,594,423519.3973063973,2942.0488215488217,1,1,35,35,-1,419141.51683501684,3257,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1900000,400,400,596,399231.64597315434,2941.2449664429532,1,1,35,35,-1,394855.4563758389,3061,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950000,400,400,597,374704.01675041876,2940.680067001675,1,1,35,35,-1,370327.62814070354,2864,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000000,400,400,588,350761.72789115645,2967.6156462585036,1,1,35,35,-1,346388.09013605444,2676,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2050000,400,400,593,327056.9005059022,2953.4198988195617,1,1,35,35,-1,322680.7234401349,2483,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2100000,400,400,590,303048.7050847458,2969.598305084746,1,1,35,35,-1,298671.46779661014,2293,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2150000,400,400,586,279382.8225255973,2958.7935153583617,1,1,35,35,-1,275008.1313993174,2107,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2200000,400,400,594,255613.10437710438,2958.043771043771,1,1,35,35,-1,251235.44276094277,1913,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250000,400,400,594,231369.0909090909,2935.8232323232323,1,1,35,35,-1,226994.3771043771,1719,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2300000,400,400,596,206993.1711409396,2939.56711409396,1,1,35,35,-1,202614.46140939597,1523,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2350000,400,400,594,182592.10942760942,2933.284511784512,1,1,35,35,-1,178216.54882154881,1329,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2400000,400,400,590,158411.2966101695,2964.1830508474577,1,1,35,35,-1,154036.81016949154,1139,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2450000,400,400,597,134422.24288107202,2937.1524288107203,1,1,35,35,-1,130045.21775544388,942,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500000,400,400,591,110029.00338409476,2946.978003384095,1,1,35,35,-1,105652.59898477157,751,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2550000,400,400,606,85505.79372937293,2918.1699669966997,1,1,35,35,-1,81129.60396039604,545,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2600000,400,400,592,60731.32601351351,2936.1013513513512,1,1,35,35,-1,56357.25,353,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2650000,400,400,598,36219.15551839465,2934.59364548495,1,1,35,35,-1,31841.290969899666,155,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2700000,400,400,555,12534.58024691358,2946.373897707231,1,1,35,35,-1,8515.855855855856,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750000,400,400,400,2916.5,2912.4425,1,1,35,35,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2800000,400,400,400,2972.4135338345864,2968.3483709273182,1,1,35,35,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2850000,400,400,400,2946.1521197007482,2942.0798004987532,1,1,35,35,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2900000,400,400,400,2941.8370927318297,2937.7719298245615,1,1,35,35,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2950000,400,400,400,2938.8295739348373,2934.7619047619046,1,1,35,35,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000000,400,400,400,2898.8114143920598,2894.736972704715,1,1,15,35,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3050000,400,400,257,11045.912878787878,2951.2992424242425,1,1,15,15,-1,9340.132295719844,143,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3100000,400,400,252,29218.9126984127,2963.2976190476193,1,1,15,15,-1,27342.920634920636,291,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3150000,400,400,253,47519.82213438735,2956.3557312252965,1,1,15,15,-1,45644.34782608696,438,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3200000,400,400,255,66115.82745098039,2958.678431372549,1,1,15,15,-1,64238.37254901961,583,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250000,400,400,253,84354.12252964427,2935.00395256917,1,1,15,15,-1,82478.1462450593,730,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3300000,400,400,254,102169.09842519685,2961.263779527559,1,1,15,15,-1,100293.12204724409,876,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3350000,400,400,252,120879.8253968254,2971.6428571428573,1,1,15,15,-1,119004.84523809524,1024,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3400000,400,400,249,139182.1044176707,2992.9477911646586,1,1,15,15,-1,137307.63052208835,1175,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3450000,400,400,252,157958.35714285713,2995.4484126984125,1,1,15,15,-1,156079.89682539683,1323,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500000,400,400,256,176498.78515625,2924.08203125,1,1,15,15,-1,174622.8046875,1467,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3550000,400,400,255,194525.61176470589,2951.607843137255,1,1,15,15,-1,192649.6431372549,1612,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3600000,400,400,255,212455.8862745098,2917.1098039215685,1,1,15,15,-1,210579.90588235293,1757,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3650000,400,400,256,230342.75390625,2935.7890625,1,1,15,15,-1,228468.23046875,1901,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3700000,400,400,250,249006.636,3003.792,1,1,15,15,-1,247130.648,2051,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750000,400,400,254,267324.1614173228,2963.6299212598424,1,1,15,15,-1,265446.7165354331,2197,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3800000,400,400,252,286103.6785714286,2964.8968253968255,1,1,15,15,-1,284229.6865079365,2345,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3850000,400,400,255,304484.9882352941,2947.3058823529414,1,1,15,15,-1,302607.5333333333,2490,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3900000,400,400,255,322620.5411764706,2937.113725490196,1,1,15,15,-1,320744.0745098039,2635,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3950000,400,400,251,340841.4621513944,2983.0717131474103,1,1,15,15,-1,338965.9760956175,2784,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000000,400,400,255,359035.46274509805,2933.9686274509804,1,1,40,15,-1,357162.9098039216,2929,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4050000,400,400,682,352617.7808219178,2978.566210045662,1,1,40,40,-1,348244.52639296185,2647,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4100000,400,400,673,319001.5052005944,2977.5616641901934,1,1,40,40,-1,314000.7132243685,2374,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
