tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,53,53,475.625,473.625,0.4375,0.4375,332,Infinity,-1,0,-1,53,0,1,0.5333333333333333,0.5333333333333333,0.2777777777777778,468.6666666666667,485.26666666666665,481.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN
10000,52,52,477.5,475.5,0.40384615384615385,0.40384615384615385,332,Infinity,-1,0,-1,52,0,1,0.35714285714285715,0.36363636363636365,0.5,478,487.54545454545456,473,NaN,NaN,NaN,NaN,NaN,NaN
15000,53,52,474.62264150943395,472.62264150943395,0.4339622641509434,0.4339622641509434,332,Infinity,-1,0,-1,53,0,1,0.4,0.47058823529411764,0.4375,475,473.88235294117646,484.875,NaN,NaN,NaN,NaN,NaN,NaN
20000,52,53,483.01960784313724,481.03921568627453,0.39215686274509803,0.39215686274509803,332,Infinity,-1,0,-1,52,0,1,0.5833333333333334,0.3,0.3684210526315789,488,488,482.6842105263158,NaN,NaN,NaN,NaN,NaN,NaN
25000,52,52,483.1132075471698,481.1132075471698,0.4528301886792453,0.4528301886792453,332,Infinity,-1,0.019230769230769232,-1,52,0,1,0.3333333333333333,0.7,0.41935483870967744,499.6666666666667,489,479.9032258064516,NaN,NaN,NaN,NaN,NaN,NaN
30000,53,53,468.9622641509434,466.9622641509434,0.49056603773584906,0.49056603773584906,332,Infinity,-1,0,-1,53,0,1,0.6470588235294118,0.3333333333333333,0.4583333333333333,462.11764705882354,494.6666666666667,467.5833333333333,NaN,NaN,NaN,NaN,NaN,NaN
35000,52,52,483.2352941176471,481.2352941176471,0.2549019607843137,0.2549019607843137,332,Infinity,-1,0,-1,52,0,1,0.23529411764705882,0.2857142857142857,0.25,488,493,480,NaN,NaN,NaN,NaN,NaN,NaN
40000,52,52,482.1698113207547,480.1698113207547,0.4339622641509434,0.4339622641509434,332,Infinity,-1,0,-1,52,0,1,0.38461538461538464,0.3888888888888889,0.5,488,478,489.3636363636364,NaN,NaN,NaN,NaN,NaN,NaN
45000,53,53,483.0769230769231,481.0769230769231,0.36538461538461536,0.36538461538461536,332,Infinity,-1,0,-1,53,0,1,0.391304347826087,0.3076923076923077,0.375,493.6521739130435,472.61538461538464,486.125,NaN,NaN,NaN,NaN,NaN,NaN
50000,52,52,488.9622641509434,486.9622641509434,0.32075471698113206,0.32075471698113206,332,Infinity,-1,0,-1,52,0,1,0.5625,0.23076923076923078,0.18181818181818182,488.625,500.3076923076923,477.09090909090907,NaN,NaN,NaN,NaN,NaN,NaN
55000,52,52,475.5769230769231,473.5769230769231,0.34615384615384615,0.34615384615384615,332,Infinity,-1,0,-1,52,0,1,0.5555555555555556,0.3,0.30434782608695654,456.8888888888889,488,478.8695652173913,NaN,NaN,NaN,NaN,NaN,NaN
