tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,156,156,466.11267605633805,463.1619718309859,0.795774647887324,0.795774647887324,36,28,-1,0.9807692307692307,0,156,0,1,0.8333333333333334,0.7954545454545454,0.75,475.68518518518516,461.27272727272725,468.5681818181818,NaN,NaN,NaN,NaN,NaN,NaN
10000,155,155,474.55194805194805,471.64285714285717,0.7207792207792207,0.7207792207792207,36,28,-1,0.9096774193548387,0,155,0,1,0.6428571428571429,0.8070175438596491,0.6909090909090909,472.2857142857143,477.2280701754386,481.72727272727275,NaN,NaN,NaN,NaN,NaN,NaN
15000,156,156,474.2628205128205,471.3397435897436,0.8397435897435898,0.8397435897435898,36,28,-1,0.967948717948718,0,156,0,1,0.851063829787234,0.8813559322033898,0.78,474.82978723404256,478.54237288135596,477.72,NaN,NaN,NaN,NaN,NaN,NaN
20000,155,155,472.7402597402597,469.7792207792208,0.7727272727272727,0.7727272727272727,36,28,-1,0.9806451612903225,0,155,0,1,0.84375,0.7073170731707317,0.7346938775510204,479.4375,471.9024390243902,473.9387755102041,NaN,NaN,NaN,NaN,NaN,NaN
25000,156,156,476.34177215189874,473.39240506329116,0.759493670886076,0.759493670886076,36,28,-1,0.9615384615384616,0,156,0,1,0.7450980392156863,0.7755102040816326,0.7586206896551724,472.11764705882354,487.61224489795916,478.5,NaN,NaN,NaN,NaN,NaN,NaN
30000,155,155,468.2597402597403,465.31168831168833,0.8051948051948052,0.8051948051948052,36,28,-1,0.9612903225806452,0,155,0,1,0.7843137254901961,0.8478260869565217,0.7894736842105263,469.6862745098039,473,471.0701754385965,NaN,NaN,NaN,NaN,NaN,NaN
35000,156,156,470.1794871794872,467.2371794871795,0.7435897435897436,0.7435897435897436,36,28,-1,0.967948717948718,0,156,0,1,0.7391304347826086,0.7321428571428571,0.7592592592592593,475.30434782608694,473.26785714285717,471,NaN,NaN,NaN,NaN,NaN,NaN
40000,155,155,474.4267515923567,471.484076433121,0.7707006369426752,0.7707006369426752,36,28,-1,0.9870967741935484,0,155,0,1,0.8214285714285714,0.8125,0.6792452830188679,475.07142857142856,486.3333333333333,471.62264150943395,NaN,NaN,NaN,NaN,NaN,NaN
45000,156,156,471.0258064516129,468.06451612903226,0.7612903225806451,0.7612903225806451,36,28,-1,0.9807692307692307,0,156,0,1,0.7346938775510204,0.8235294117647058,0.7272727272727273,476.83673469387753,474.3921568627451,470.94545454545454,NaN,NaN,NaN,NaN,NaN,NaN
50000,155,155,470.14193548387095,467.1741935483871,0.8129032258064516,0.8129032258064516,36,28,-1,0.967741935483871,0,155,0,1,0.7884615384615384,0.7924528301886793,0.86,467.84615384615387,476.52830188679246,474.78,NaN,NaN,NaN,NaN,NaN,NaN
