tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,325,222,1304.0103092783504,649.1701030927835,0.36082474226804123,0.36082474226804123,254,28,-1,761.5540540540541,103,325,0,1,0.4090909090909091,0.3484848484848485,0.3225806451612903,1295.590909090909,1302.8333333333333,1323.3387096774193,NaN,NaN,NaN,NaN,NaN,NaN
10000,324,214,2725.330396475771,647.0654205607476,0.3700440528634361,0.3925233644859813,254,28,-1,2457.785046728972,200,311,13,1,0.38961038961038963,0.36363636363636365,0.3561643835616438,2827.2337662337663,2694.7402597402597,2659.1917808219177,NaN,NaN,NaN,NaN,NaN,NaN
15000,324,214,3007.4691358024693,651.0934579439253,0.2654320987654321,0.40186915887850466,254,28,-1,4091.6728971962616,200,214,110,1,0.28205128205128205,0.3,0.20618556701030927,3075.4188034188032,3227.109090909091,2686.2474226804125,NaN,NaN,NaN,NaN,NaN,NaN
20000,324,218,3524.5766871165642,646.5321100917431,0.24233128834355827,0.3623853211009174,254,28,-1,4616.064220183486,198,216,108,1,0.2755102040816326,0.20161290322580644,0.25961538461538464,3716.5204081632655,3276.798387096774,3648.269230769231,NaN,NaN,NaN,NaN,NaN,NaN
25000,325,211,3469.4736842105262,652.8490566037735,0.2755417956656347,0.419811320754717,254,28,-1,4635.90047393365,199,213,111,1,0.27472527472527475,0.29245283018867924,0.2619047619047619,3956.032967032967,3142.0283018867926,3401.0555555555557,NaN,NaN,NaN,NaN,NaN,NaN
30000,324,220,3575.962962962963,647.4794520547945,0.30864197530864196,0.45662100456621,254,28,-1,4636.754545454545,200,220,105,1,0.32710280373831774,0.3333333333333333,0.26785714285714285,3414.0654205607475,3733.1714285714284,3591.7053571428573,NaN,NaN,NaN,NaN,NaN,NaN
35000,324,215,3446.137195121951,647.1488372093023,0.23780487804878048,0.3627906976744186,254,28,-1,4607.73488372093,196,211,113,1,0.24742268041237114,0.2033898305084746,0.26548672566371684,3469.5876288659792,3521.7203389830506,3355.637168141593,NaN,NaN,NaN,NaN,NaN,NaN
40000,324,216,3530.034375,641.9768518518518,0.271875,0.4027777777777778,254,28,-1,4578.555555555556,200,220,104,1,0.3017241379310345,0.21428571428571427,0.29245283018867924,3563.2155172413795,3418.5,3605.698113207547,NaN,NaN,NaN,NaN,NaN,NaN
45000,324,218,3496.326153846154,645.2293577981651,0.24923076923076923,0.37155963302752293,254,28,-1,4567.834862385321,199,217,107,1,0.21875,0.3135593220338983,0.2072072072072072,3046.8020833333335,3846.5338983050847,3521.4054054054054,NaN,NaN,NaN,NaN,NaN,NaN
50000,325,217,3509.2276923076925,650.447004608295,0.27076923076923076,0.4055299539170507,254,28,-1,4606.437788018433,198,217,108,1,0.256198347107438,0.2962962962962963,0.2604166666666667,3474.2727272727275,3318.3055555555557,3778.0416666666665,NaN,NaN,NaN,NaN,NaN,NaN
55000,324,213,3483.4489164086685,646.1032863849765,0.2755417956656347,0.41784037558685444,254,28,-1,4628.361502347418,200,214,110,1,0.3490566037735849,0.29464285714285715,0.18095238095238095,3890.688679245283,3401.098214285714,3169.1619047619047,NaN,NaN,NaN,NaN,NaN,NaN
60000,324,213,3458.7808641975307,652.3615023474179,0.22839506172839505,0.3474178403755869,254,28,-1,4613.539906103287,200,213,111,1,0.29310344827586204,0.18604651162790697,0.19672131147540983,3628.5862068965516,3432.3372093023254,3323.7377049180327,NaN,NaN,NaN,NaN,NaN,NaN
65000,324,218,3548.8676923076923,646.0550458715596,0.2523076923076923,0.3761467889908257,254,28,-1,4636.399082568807,199,217,107,1,0.22764227642276422,0.23595505617977527,0.2920353982300885,3701.5365853658536,3570.6067415730336,3373.973451327434,NaN,NaN,NaN,NaN,NaN,NaN
70000,324,216,3518.886153846154,648.852534562212,0.25846153846153846,0.3870967741935484,254,28,-1,4619.810185185185,198,216,108,1,0.211864406779661,0.28846153846153844,0.2815533980582524,3574.4406779661017,3654,3328.145631067961,NaN,NaN,NaN,NaN,NaN,NaN
75000,325,216,3484.067692307692,647.939534883721,0.24,0.3627906976744186,254,28,-1,4615.574074074074,198,215,110,1,0.30357142857142855,0.22772277227722773,0.1875,3861,3292.6831683168316,3288.25,NaN,NaN,NaN,NaN,NaN,NaN
80000,324,214,3489.8947368421054,650.8504672897196,0.2786377708978328,0.4205607476635514,254,28,-1,4615.0373831775705,199,215,109,1,0.3486238532110092,0.21153846153846154,0.2727272727272727,3678.119266055046,3599.019230769231,3208.809090909091,NaN,NaN,NaN,NaN,NaN,NaN
85000,301,217,3800.797342192691,647.3594470046083,0.31893687707641194,0.4423963133640553,254,28,-1,4620.1612903225805,199,217,84,1,0.3229166666666667,0.27835051546391754,0.35185185185185186,3901.0104166666665,3809.3092783505153,3712.1574074074074,NaN,NaN,NaN,NaN,NaN,NaN
90000,301,216,3803.936454849498,646.1018518518518,0.2809364548494983,0.3888888888888889,254,28,-1,4613.49537037037,200,217,83,1,0.25,0.3132530120481928,0.2916666666666667,3599.325,3614.0481927710844,4233.03125,NaN,NaN,NaN,NaN,NaN,NaN
95000,300,214,3729.205298013245,649.873831775701,0.2251655629139073,0.3177570093457944,254,28,-1,4614.72429906542,199,213,88,1,0.23076923076923078,0.25555555555555554,0.19834710743801653,3703.3626373626375,3681.6444444444446,3791.380165289256,NaN,NaN,NaN,NaN,NaN,NaN
100000,301,219,3839.3388704318936,645.8538812785388,0.27906976744186046,0.3835616438356164,254,28,-1,4622.8493150684935,199,219,82,1,0.3434343434343434,0.21359223300970873,0.2828282828282828,3947,3534.2815533980583,4058,NaN,NaN,NaN,NaN,NaN,NaN
105000,301,215,3711.1650165016504,646.8139534883721,0.2838283828382838,0.4,254,28,-1,4583.548837209302,197,213,88,1,0.22,0.3090909090909091,0.3225806451612903,3405.49,3806.0454545454545,3937.1827956989246,NaN,NaN,NaN,NaN,NaN,NaN
110000,301,215,3767.0267558528426,644.1720930232558,0.28762541806020064,0.4,254,28,-1,4586.237209302326,199,217,84,1,0.26373626373626374,0.2916666666666667,0.3068181818181818,3858.5714285714284,3584.516666666667,3931.193181818182,NaN,NaN,NaN,NaN,NaN,NaN
115000,300,217,3805.2842809364547,648.9493087557604,0.28762541806020064,0.39631336405529954,254,28,-1,4596.331797235023,200,218,82,1,0.2222222222222222,0.2967032967032967,0.3394495412844037,3439.191919191919,3930.846153846154,4040.954128440367,NaN,NaN,NaN,NaN,NaN,NaN
120000,301,216,3770.3521594684385,649.4907407407408,0.30564784053156147,0.42592592592592593,254,28,-1,4604.356481481482,200,216,85,1,0.2777777777777778,0.3645833333333333,0.27835051546391754,3599.6574074074074,3616.4895833333335,4121.762886597938,NaN,NaN,NaN,NaN,NaN,NaN
125000,301,216,3773.986710963455,646.5879629629629,0.33222591362126247,0.46296296296296297,254,28,-1,4606.708333333333,200,216,85,1,0.3217391304347826,0.39361702127659576,0.2826086956521739,3793.9217391304346,4155.287234042553,3369.054347826087,NaN,NaN,NaN,NaN,NaN,NaN
