tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,156,156,691.544776119403,688.5746268656717,0.5671641791044776,0.5671641791044776,402,28,-1,0.967948717948718,-1,156,0,1,0.4772727272727273,0.6274509803921569,0.5897435897435898,688.9090909090909,699.6862745098039,694.025641025641,NaN,NaN,NaN,NaN,NaN,NaN
10000,155,155,693.547770700637,690.6050955414013,0.5732484076433121,0.5732484076433121,402,28,-1,0.967741935483871,-1,155,0,1,0.6078431372549019,0.543859649122807,0.5714285714285714,693.1764705882352,698.0877192982456,697.9795918367347,NaN,NaN,NaN,NaN,NaN,NaN
15000,156,156,686.4580645161291,683.5290322580645,0.5935483870967742,0.5935483870967742,402,28,-1,0.9487179487179487,-1,156,0,1,0.6078431372549019,0.5,0.6666666666666666,690.5490196078431,692.42,685.5185185185185,NaN,NaN,NaN,NaN,NaN,NaN
20000,155,155,693.3935483870968,690.4580645161291,0.5290322580645161,0.5290322580645161,402,28,-1,0.9612903225806452,-1,155,0,1,0.5,0.625,0.4666666666666667,697.6774193548387,695.3333333333334,695.5111111111111,NaN,NaN,NaN,NaN,NaN,NaN
25000,156,156,692.8838709677419,689.9225806451612,0.5741935483870968,0.5741935483870968,402,28,-1,0.9615384615384616,-1,156,0,1,0.6136363636363636,0.5283018867924528,0.5862068965517241,692.2954545454545,698.8301886792453,695.7758620689655,NaN,NaN,NaN,NaN,NaN,NaN
30000,155,155,688.0192307692307,685.0833333333334,0.5705128205128205,0.5705128205128205,402,28,-1,0.9483870967741935,-1,155,0,1,0.6792452830188679,0.5777777777777777,0.46551724137931033,693.377358490566,686.7555555555556,691.9310344827586,NaN,NaN,NaN,NaN,NaN,NaN
35000,156,156,695.4102564102565,692.4615384615385,0.5705128205128205,0.5705128205128205,402,28,-1,0.9743589743589743,-1,156,0,1,0.6595744680851063,0.574468085106383,0.5,706.6170212765958,703.7234042553191,687.9032258064516,NaN,NaN,NaN,NaN,NaN,NaN
40000,155,155,687.1168831168832,684.2077922077922,0.512987012987013,0.512987012987013,402,28,-1,0.9419354838709677,-1,155,0,1,0.48333333333333334,0.5294117647058824,0.5348837209302325,689.1666666666666,694.9215686274509,685.4186046511628,NaN,NaN,NaN,NaN,NaN,NaN
45000,156,156,691.0382165605096,688.1019108280254,0.5414012738853503,0.5414012738853503,402,28,-1,0.9615384615384616,-1,156,0,1,0.5254237288135594,0.5957446808510638,0.5098039215686274,700.0677966101695,694.6808510638298,686.3333333333334,NaN,NaN,NaN,NaN,NaN,NaN
50000,155,155,690.7290322580645,687.7548387096774,0.567741935483871,0.567741935483871,402,28,-1,0.9806451612903225,-1,155,0,1,0.43859649122807015,0.6666666666666666,0.6136363636363636,694.2631578947369,687.5925925925926,700,NaN,NaN,NaN,NaN,NaN,NaN
