tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,231,231,520.671497584541,517.7536231884058,0.8405797101449275,0.8405797101449275,277,28,-1,0.9826839826839827,-1,231,0,1,0.8169014084507042,0.8461538461538461,0.8591549295774648,524.3943661971831,521.5692307692308,524.5352112676056,NaN,NaN,NaN,NaN,NaN,NaN
10000,230,230,521.0043478260869,518.0652173913044,0.8173913043478261,0.8173913043478261,277,28,-1,0.9826086956521739,-1,230,0,1,0.8181818181818182,0.8142857142857143,0.8191489361702128,526.1969696969697,517.5,527.0212765957447,NaN,NaN,NaN,NaN,NaN,NaN
15000,231,231,518.7489177489177,515.8181818181819,0.8181818181818182,0.8181818181818182,277,28,-1,0.961038961038961,-1,231,0,1,0.8589743589743589,0.7837837837837838,0.810126582278481,516.3974358974359,525.7972972972973,523.0379746835443,NaN,NaN,NaN,NaN,NaN,NaN
20000,230,230,520.3260869565217,517.4173913043478,0.8173913043478261,0.8173913043478261,277,28,-1,0.9434782608695652,-1,230,0,1,0.8607594936708861,0.8,0.7901234567901234,519.8354430379746,521.0142857142857,528.4814814814815,NaN,NaN,NaN,NaN,NaN,NaN
25000,231,231,519.4978354978355,516.5627705627705,0.7835497835497836,0.7835497835497836,277,28,-1,0.974025974025974,-1,231,0,1,0.8214285714285714,0.7183098591549296,0.8026315789473685,520.6904761904761,522.2112676056338,524.4342105263158,NaN,NaN,NaN,NaN,NaN,NaN
30000,230,230,515.0131004366813,512.061135371179,0.7860262008733624,0.7860262008733624,277,28,-1,0.9826086956521739,-1,230,0,1,0.7857142857142857,0.7590361445783133,0.8157894736842105,518.2571428571429,518.2650602409639,517.171052631579,NaN,NaN,NaN,NaN,NaN,NaN
35000,231,231,522.8154506437768,519.8927038626609,0.7639484978540773,0.7639484978540773,277,28,-1,0.9523809523809523,-1,231,0,1,0.7671232876712328,0.7671232876712328,0.7586206896551724,528.7671232876712,529.7808219178082,519.7701149425287,NaN,NaN,NaN,NaN,NaN,NaN
40000,230,230,519.1086956521739,516.1782608695652,0.8608695652173913,0.8608695652173913,277,28,-1,0.9652173913043478,-1,230,0,1,0.8823529411764706,0.8656716417910447,0.8333333333333334,521.9882352941177,518.2537313432836,525.2820512820513,NaN,NaN,NaN,NaN,NaN,NaN
45000,231,231,525.0434782608696,522.1347826086957,0.8130434782608695,0.8130434782608695,277,28,-1,0.9567099567099567,-1,231,0,1,0.8333333333333334,0.7631578947368421,0.8428571428571429,529.7738095238095,526.1842105263158,527.5714285714286,NaN,NaN,NaN,NaN,NaN,NaN
50000,230,230,524.2380952380952,521.3246753246754,0.8138528138528138,0.8138528138528138,277,28,-1,0.9652173913043478,-1,230,0,1,0.8333333333333334,0.7866666666666666,0.8205128205128205,525.8589743589744,533.04,522.7307692307693,NaN,NaN,NaN,NaN,NaN,NaN
55000,231,230,520.1471861471862,517.2251082251082,0.8095238095238095,0.8095238095238095,277,28,-1,0.9739130434782609,-1,231,0,1,0.8064516129032258,0.8,0.8214285714285714,515.516129032258,524.6470588235294,527.0357142857143,NaN,NaN,NaN,NaN,NaN,NaN
60000,230,231,522.2695652173913,519.3217391304348,0.8304347826086956,0.8304347826086956,277,28,-1,0.974025974025974,-1,230,0,1,0.8354430379746836,0.813953488372093,0.8461538461538461,527.632911392405,518.7093023255813,530.8153846153846,NaN,NaN,NaN,NaN,NaN,NaN
65000,231,230,520.6359649122807,517.7149122807018,0.7763157894736842,0.7763157894736842,277,28,-1,0.9652173913043478,-1,231,0,1,0.8333333333333334,0.7294117647058823,0.7792207792207793,521.9545454545455,526.1529411764706,521.9350649350649,NaN,NaN,NaN,NaN,NaN,NaN
70000,230,231,521.7025862068965,518.7715517241379,0.7586206896551724,0.7586206896551724,277,28,-1,0.9653679653679653,-1,230,0,1,0.7528089887640449,0.8028169014084507,0.7222222222222222,527.0786516853933,519.9014084507043,526.3194444444445,NaN,NaN,NaN,NaN,NaN,NaN
