tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,186,186,603.2439024390244,390.0705882352941,0.8292682926829268,0.8235294117647058,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.7884615384615,606.9354838709677,656.72,0.75,0.8709677419354839,0.86
10000,186,186,604.4193548387096,392.4574468085106,0.7795698924731183,0.723404255319149,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9344262295082,606.9032258064516,656.7936507936508,0.7704918032786885,0.8064516129032258,0.7619047619047619
15000,186,186,607.4086021505376,389.27027027027026,0.8118279569892473,0.8054054054054054,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8947368421053,606.8983050847457,656.9428571428572,0.8070175438596491,0.7627118644067796,0.8571428571428571
20000,186,186,605.263440860215,391.4438502673797,0.8118279569892473,0.7433155080213903,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9193548387096,606.8771929824561,656.9253731343283,0.8064516129032258,0.7894736842105263,0.835820895522388
25000,186,186,601.6864864864865,389.7228260869565,0.7945945945945946,0.7228260869565217,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.7971014492754,606.8181818181819,656.8852459016393,0.8695652173913043,0.7636363636363637,0.7377049180327869
30000,186,186,601.4866310160428,382.6223404255319,0.8502673796791443,0.7978723404255319,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8923076923077,606.9090909090909,656.8571428571429,0.8461538461538461,0.8636363636363636,0.8392857142857143
35000,186,186,606.081081081081,388.5027027027027,0.8324324324324325,0.7351351351351352,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8867924528302,606.9014084507043,656.9180327868852,0.8679245283018868,0.7887323943661971,0.8524590163934426
40000,186,186,605.7393617021277,386.11290322580646,0.8776595744680851,0.7795698924731183,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8474576271186,606.9047619047619,656.8636363636364,0.8983050847457628,0.9047619047619048,0.8333333333333334
45000,186,186,598.4426229508197,389.1648936170213,0.8852459016393442,0.776595744680851,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9102564102565,606.8936170212766,656.9137931034483,0.8846153846153846,0.8936170212765957,0.8793103448275862
50000,186,186,597.5449735449736,384.4619565217391,0.8624338624338624,0.75,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8133333333334,606.936507936508,656.843137254902,0.8933333333333333,0.8412698412698413,0.8431372549019608
55000,186,186,604.1413043478261,382.03225806451616,0.8913043478260869,0.7311827956989247,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8548387096774,606.9491525423729,656.7936507936508,0.9193548387096774,0.847457627118644,0.9047619047619048
60000,186,186,604.9411764705883,384.16129032258067,0.8770053475935828,0.7688172043010753,71,Infinity,-1,0.010752688172043012,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8787878787879,606.8627450980392,656.8571428571429,0.9090909090909091,0.8235294117647058,0.8857142857142857
65000,186,186,603.0756756756757,384.70588235294116,0.9081081081081082,0.7593582887700535,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.875,606.85,656.8688524590164,0.875,0.9666666666666667,0.8852459016393442
70000,186,185,608.3957219251337,387.6972972972973,0.8877005347593583,0.7351351351351352,71,Infinity,-1,0,-1,185,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.811320754717,606.859375,656.8571428571429,0.8490566037735849,0.875,0.9285714285714286
75000,185,186,605.752688172043,387.54347826086956,0.8602150537634409,0.7445652173913043,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9,606.8135593220339,656.8955223880597,0.8833333333333333,0.8135593220338984,0.8805970149253731
80000,186,186,607.9081081081081,390.81382978723406,0.8702702702702703,0.75,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8620689655172,606.8148148148148,656.8356164383562,0.9827586206896551,0.8148148148148148,0.821917808219178
85000,186,186,605.247311827957,142.73846153846154,0.9032258064516129,0.7897435897435897,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9206349206349,606.8727272727273,656.8235294117648,0.9047619047619048,0.8545454545454545,0.9411764705882353
90000,186,186,602.3208556149733,130.6290322580645,0.893048128342246,0.7688172043010753,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8,606.8679245283018,656.875,0.9142857142857143,0.9245283018867925,0.84375
95000,186,186,606.0928961748634,131.8244680851064,0.8688524590163934,0.7446808510638298,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.7894736842105,606.9016393442623,656.8461538461538,0.8070175438596491,0.819672131147541,0.9692307692307692
100000,186,186,600.2275132275132,123.68478260869566,0.9259259259259259,0.7934782608695652,71,Infinity,-1,0.010752688172043012,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8840579710145,606.876923076923,656.8727272727273,0.8985507246376812,0.9230769230769231,0.9636363636363636
105000,186,186,605.8108108108108,127.6774193548387,0.8972972972972973,0.7580645161290323,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8867924528302,606.8333333333334,656.8833333333333,0.8867924528301887,0.9027777777777778,0.9
110000,186,186,606.8972972972973,124.9247311827957,0.9081081081081082,0.8494623655913979,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8644067796611,606.8571428571429,656.8285714285714,0.8983050847457628,0.9107142857142857,0.9142857142857143
115000,186,186,606.0748663101605,126.12432432432432,0.8983957219251337,0.7783783783783784,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9090909090909,606.8695652173913,656.8888888888889,0.9454545454545454,0.8260869565217391,0.9365079365079365
120000,186,186,606.6236559139785,130.6595744680851,0.8924731182795699,0.776595744680851,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9285714285714,606.828125,656.9090909090909,0.875,0.90625,0.8939393939393939
125000,186,186,606.6521739130435,128.43010752688173,0.875,0.7741935483870968,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8214285714286,606.8064516129032,656.9090909090909,0.8571428571428571,0.8709677419354839,0.8939393939393939
130000,186,186,607.9308510638298,131.0918918918919,0.9095744680851063,0.8054054054054054,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9322033898305,606.9272727272727,656.8513513513514,0.8983050847457628,0.9636363636363636,0.8783783783783784
135000,186,186,604.494623655914,130.2620320855615,0.8870967741935484,0.7914438502673797,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8524590163935,606.8225806451613,656.952380952381,0.8852459016393442,0.8870967741935484,0.8888888888888888
140000,186,186,600.9567567567567,128.31720430107526,0.8972972972972973,0.7903225806451613,71,Infinity,-1,0.005376344086021506,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8181818181819,606.875,656.9090909090909,0.8636363636363636,0.921875,0.9090909090909091
145000,186,186,604.7513513513513,127.29347826086956,0.9081081081081082,0.8043478260869565,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.9047619047619,606.9107142857143,656.8636363636364,0.8888888888888888,0.9464285714285714,0.8939393939393939
150000,186,185,602.5691489361702,124.59893048128342,0.8670212765957447,0.7219251336898396,71,Infinity,-1,0,-1,185,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.8214285714286,606.8024691358024,656.8823529411765,0.8928571428571429,0.8395061728395061,0.8823529411764706
155000,185,186,605.5675675675676,130.04891304347825,0.8486486486486486,0.717391304347826,71,Infinity,-1,0,-1,186,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.86,606.9240506329114,656.8571428571429,0.78,0.8734177215189873,0.875
