tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,62,148,2.032258064516129,366.18382352941177,0,0.36764705882352944,67,28,-1,0.9527027027027027,-1,148,0,2.2205882352941178,0,0,0,4.722222222222222,5,4.875,NaN,NaN,NaN,NaN,NaN,NaN
10000,62,151,2.032258064516129,369.95394736842104,0.016129032258064516,0.4144736842105263,67,28,-1,1,-1,151,0,2.25,0,0,0.043478260869565216,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
15000,62,179,2.064516129032258,371.40677966101697,0.14516129032258066,0.3389830508474576,67,28,-1,0.9776536312849162,-1,179,0,2.6440677966101696,0.07142857142857142,0.08,0.2608695652173913,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
20000,61,185,2.1147540983606556,371.2032085561497,0.09836065573770492,0.3315508021390374,67,28,-1,0.9351351351351351,-1,185,0,2.839572192513369,0.13636363636363635,0.06666666666666667,0.08333333333333333,4.954545454545454,5,5,NaN,NaN,NaN,NaN,NaN,NaN
25000,62,169,2.096774193548387,369.3532934131737,0.08064516129032258,0.3652694610778443,67,28,-1,0.9822485207100592,-1,169,0,2.502994011976048,0.10526315789473684,0.13043478260869565,0,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
30000,62,187,2.0483870967741935,369,0.20967741935483872,0.3279569892473118,67,28,-1,1,-1,187,0,2.8655913978494625,0.4666666666666667,0.1,0.14814814814814814,4.933333333333334,5,5,NaN,NaN,NaN,NaN,NaN,NaN
35000,62,164,2.064516129032258,365.18674698795184,0.1774193548387097,0.3855421686746988,67,28,-1,0.9878048780487805,-1,164,0,2.8012048192771086,0.11764705882352941,0.23809523809523808,0.16666666666666666,4.823529411764706,4.9523809523809526,5,NaN,NaN,NaN,NaN,NaN,NaN
40000,61,166,2.081967213114754,375.2083333333333,0.18032786885245902,0.375,67,28,-1,0.9578313253012049,-1,166,0,2.6785714285714284,0.1111111111111111,0.10526315789473684,0.4,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
45000,62,157,2.032258064516129,368.1910828025478,0.22580645161290322,0.3821656050955414,67,28,-1,0.9872611464968153,-1,157,0,2.738853503184713,0.34615384615384615,0.09523809523809523,0.2,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
50000,62,151,2.064516129032258,361.84353741496597,0.16129032258064516,0.40816326530612246,67,28,-1,0.9801324503311258,-1,151,0,2.4081632653061225,0.2,0.15789473684210525,0.1111111111111111,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
55000,61,155,2.0655737704918034,369.96153846153845,0.26229508196721313,0.391025641025641,67,28,-1,0.9935483870967742,-1,155,0,2.608974358974359,0.30434782608695654,0.2,0.2608695652173913,4.956521739130435,5,5,NaN,NaN,NaN,NaN,NaN,NaN
60000,62,166,2.0806451612903225,364.9698795180723,0.4032258064516129,0.3795180722891566,67,28,-1,0.9397590361445783,-1,166,0,2.566265060240964,0.3448275862068966,0.4,0.5,5,5,4.944444444444445,NaN,NaN,NaN,NaN,NaN,NaN
65000,62,185,2.064516129032258,368.8810810810811,0.43548387096774194,0.33513513513513515,67,28,-1,0.9783783783783784,-1,185,0,2.556756756756757,0.45,0.4782608695652174,0.3684210526315789,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
