tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,114,114,190.51818181818183,188.52727272727273,0.8363636363636363,0.8363636363636363,500,Infinity,-1,0.03508771929824561,-1,114,0,1,0.9142857142857143,0.7428571428571429,0.85,195.82857142857142,195.14285714285714,190,NaN,NaN,NaN,NaN,NaN,NaN
10000,113,113,189.60176991150442,187.60176991150442,0.8761061946902655,0.8761061946902655,500,Infinity,-1,0.017699115044247787,-1,113,0,1,0.8378378378378378,0.8636363636363636,0.9375,189.05405405405406,197.54545454545453,189.84375,NaN,NaN,NaN,NaN,NaN,NaN
15000,113,113,186.05309734513276,184.05309734513276,0.9203539823008849,0.9203539823008849,500,Infinity,-1,0,-1,113,0,1,0.8723404255319149,0.9743589743589743,0.9259259259259259,185.85106382978722,185.43589743589743,199.8148148148148,NaN,NaN,NaN,NaN,NaN,NaN
20000,114,114,190.96491228070175,188.96491228070175,0.8771929824561403,0.8771929824561403,500,Infinity,-1,0,-1,114,0,1,0.9090909090909091,0.8666666666666667,0.8627450980392157,189.4848484848485,197.63333333333333,194.66666666666666,NaN,NaN,NaN,NaN,NaN,NaN
25000,113,113,190.08928571428572,188.08928571428572,0.8482142857142857,0.8482142857142857,500,Infinity,-1,0.008849557522123894,-1,113,0,1,0.8378378378378378,0.75,0.9148936170212766,202.02702702702703,187.25,189.48936170212767,NaN,NaN,NaN,NaN,NaN,NaN
30000,113,113,187.6140350877193,185.62280701754386,0.8421052631578947,0.8421052631578947,500,Infinity,-1,0.035398230088495575,-1,113,0,1,0.8571428571428571,0.8333333333333334,0.8387096774193549,193.42857142857142,179,205.3548387096774,NaN,NaN,NaN,NaN,NaN,NaN
35000,113,113,186.2280701754386,184.2280701754386,0.8333333333333334,0.8333333333333334,500,Infinity,-1,0.008849557522123894,-1,113,0,1,0.7777777777777778,0.8571428571428571,0.8823529411764706,187.51111111111112,194.28571428571428,186.1764705882353,NaN,NaN,NaN,NaN,NaN,NaN
40000,114,114,193.29464285714286,191.29464285714286,0.8303571428571429,0.8303571428571429,500,Infinity,-1,0.017543859649122806,-1,114,0,1,0.84375,0.8444444444444444,0.8,197.9375,194.17777777777778,197.42857142857142,NaN,NaN,NaN,NaN,NaN,NaN
45000,113,113,189.5701754385965,187.56140350877192,0.8421052631578947,0.8421052631578947,500,Infinity,-1,0.017699115044247787,-1,113,0,1,0.75,0.8888888888888888,0.8947368421052632,192.475,191.58333333333334,193.52631578947367,NaN,NaN,NaN,NaN,NaN,NaN
50000,113,113,190.4867256637168,188.4867256637168,0.8053097345132744,0.8053097345132744,500,Infinity,-1,0.008849557522123894,-1,113,0,1,0.7954545454545454,0.8108108108108109,0.8125,191.4090909090909,189.8918918918919,200.4375,NaN,NaN,NaN,NaN,NaN,NaN
