tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,336,187,1648.2704402515724,779.937106918239,0.5157232704402516,0.5157232704402516,500,28,-1,1046.4919786096257,149,336,0,1,0.5,0.5283018867924528,0.5217391304347826,1488.1333333333334,1710.3962264150944,1795.5652173913043,NaN,NaN,NaN,NaN,NaN,NaN
10000,336,176,2356.8321678321677,774.6836158192091,0.3041958041958042,0.4915254237288136,500,28,-1,3382.5113636363635,199,227,109,1,0.36363636363636365,0.25287356321839083,0.2972972972972973,2308.090909090909,2016.2413793103449,2669.990990990991,NaN,NaN,NaN,NaN,NaN,NaN
15000,336,184,3206.6568047337278,780.6120218579235,0.2485207100591716,0.45901639344262296,500,28,-1,5320.402173913043,197,181,155,1,0.22641509433962265,0.21551724137931033,0.3017241379310345,3310.0377358490564,3135.2413793103447,3192.2586206896553,NaN,NaN,NaN,NaN,NaN,NaN
20000,336,181,3434.1441441441443,771.2044198895028,0.2732732732732733,0.5027624309392266,500,28,-1,5536.298342541437,200,184,152,1,0.25471698113207547,0.2815533980582524,0.28225806451612906,3333.1415094339623,3501.3106796116504,3472.5887096774195,NaN,NaN,NaN,NaN,NaN,NaN
25000,336,179,3323.5545722713864,777.3240223463687,0.2713864306784661,0.5139664804469274,500,28,-1,5517.648044692737,197,176,160,1,0.19047619047619047,0.26666666666666666,0.36363636363636365,3056.5904761904762,3221.9851851851854,3755.2626262626263,NaN,NaN,NaN,NaN,NaN,NaN
30000,336,179,3401.4024024024025,779.4469273743017,0.25225225225225223,0.4692737430167598,500,28,-1,5546.541899441341,200,182,154,1,0.30097087378640774,0.23333333333333334,0.22727272727272727,3808.2718446601943,3058.625,3403.2181818181816,NaN,NaN,NaN,NaN,NaN,NaN
35000,336,179,3376.4464285714284,779.1675977653631,0.2648809523809524,0.4972067039106145,500,28,-1,5556.793296089386,200,179,157,1,0.23008849557522124,0.2831858407079646,0.2818181818181818,3096.079646017699,3413.2477876106195,3635.6272727272726,NaN,NaN,NaN,NaN,NaN,NaN
40000,336,181,3413.0535714285716,781.0552486187845,0.24404761904761904,0.4530386740331492,500,28,-1,5550.861878453039,200,181,155,1,0.19626168224299065,0.20353982300884957,0.3275862068965517,3081.0841121495328,3256.1858407079644,3880.5689655172414,NaN,NaN,NaN,NaN,NaN,NaN
45000,336,177,3348.285714285714,779.9152542372881,0.2261904761904762,0.4293785310734463,500,28,-1,5571.412429378531,200,177,159,1,0.29523809523809524,0.1826086956521739,0.20689655172413793,3636.2761904761905,3210.330434782609,3232.956896551724,NaN,NaN,NaN,NaN,NaN,NaN
50000,336,182,3428.8571428571427,774.8681318681319,0.2619047619047619,0.4835164835164835,500,28,-1,5547.791208791209,200,182,154,1,0.25925925925925924,0.25688073394495414,0.2689075630252101,3115.259259259259,3546.045871559633,3614.4201680672268,NaN,NaN,NaN,NaN,NaN,NaN
55000,336,180,3385.907738095238,781.55,0.2648809523809524,0.49444444444444446,500,28,-1,5540.616666666667,200,180,156,1,0.29,0.25203252032520324,0.25663716814159293,2900.78,3455.3414634146343,3748.4601769911505,NaN,NaN,NaN,NaN,NaN,NaN
60000,336,177,3343.6089552238805,773.8926553672317,0.2746268656716418,0.519774011299435,500,28,-1,5544.0282485875705,200,177,159,1,0.27927927927927926,0.25217391304347825,0.29357798165137616,3481.1171171171172,3255.1304347826085,3306.0091743119265,NaN,NaN,NaN,NaN,NaN,NaN
65000,336,182,3426.1157270029676,784.9285714285714,0.2818991097922849,0.521978021978022,500,28,-1,5566.934065934066,199,182,154,1,0.2661290322580645,0.32673267326732675,0.25892857142857145,3587.266129032258,3451.732673267327,3233.5446428571427,NaN,NaN,NaN,NaN,NaN,NaN
70000,336,178,3364.8184523809523,773.8033707865169,0.24107142857142858,0.4550561797752809,500,28,-1,5562.9157303370785,199,177,158,1,0.2636363636363636,0.2169811320754717,0.24166666666666667,3176.3636363636365,3419.198113207547,3497.8,NaN,NaN,NaN,NaN,NaN,NaN
75000,335,179,3373.791044776119,781.4804469273743,0.2746268656716418,0.5139664804469274,500,28,-1,5535.145251396648,200,180,156,1,0.2288135593220339,0.2727272727272727,0.32710280373831774,3424.5677966101694,3160.5545454545454,3546.2803738317757,NaN,NaN,NaN,NaN,NaN,NaN
80000,336,178,3376.8869047619046,781.0730337078652,0.24702380952380953,0.46629213483146065,500,28,-1,5590.044943820225,200,178,158,1,0.24299065420560748,0.23148148148148148,0.2644628099173554,3096.0186915887853,3427.9444444444443,3587.909090909091,NaN,NaN,NaN,NaN,NaN,NaN
85000,83,184,6282.978378378379,775.8967391304348,0.4702702702702703,0.47282608695652173,500,28,-1,5532.135869565217,98,82,1,1,0.5135135135135135,0.48214285714285715,0.4,6318.689189189189,6205.232142857143,6324.054545454545,NaN,NaN,NaN,NaN,NaN,NaN
90000,83,177,4646.35593220339,780.457627118644,0.4519774011299435,0.4519774011299435,500,28,-1,3100.576271186441,4,83,0,1,0.48214285714285715,0.43661971830985913,0.44,4859.053571428572,4366.788732394366,4815.5,NaN,NaN,NaN,NaN,NaN,NaN
95000,83,87,978.7647058823529,772.1176470588235,0.4117647058823529,0.4117647058823529,500,28,-1,14.574712643678161,0,83,0,1,0.3488372093023256,0.45714285714285713,0.4583333333333333,1027.3488372093022,983.2571428571429,897.5833333333334,NaN,NaN,NaN,NaN,NaN,NaN
100000,83,83,781.9012345679013,778.9135802469136,0.345679012345679,0.345679012345679,500,28,-1,1,0,83,0,1,0.2727272727272727,0.2727272727272727,0.5,788.9090909090909,777.060606060606,791.1153846153846,NaN,NaN,NaN,NaN,NaN,NaN
105000,83,82,785.1428571428571,782.1309523809524,0.5119047619047619,0.5119047619047619,500,28,-1,1,0,83,0,1,0.4642857142857143,0.6111111111111112,0.4,787.6785714285714,789.6944444444445,785.3,NaN,NaN,NaN,NaN,NaN,NaN
110000,82,83,780.9879518072289,778.0361445783133,0.5180722891566265,0.5180722891566265,500,28,-1,0.9879518072289156,0,82,0,1,0.5609756097560976,0.5,0.4375,784.8780487804878,777.3076923076923,792,NaN,NaN,NaN,NaN,NaN,NaN
115000,83,83,781.3170731707318,778.3170731707318,0.4634146341463415,0.4634146341463415,500,28,-1,1,0,83,0,1,0.4666666666666667,0.47368421052631576,0.45454545454545453,781.0333333333333,796.1052631578947,780.060606060606,NaN,NaN,NaN,NaN,NaN,NaN
120000,83,83,783.5,780.4642857142857,0.5595238095238095,0.5595238095238095,500,28,-1,1,0,83,0,1,0.6071428571428571,0.56,0.5161290322580645,784.4642857142857,788.8,785.9677419354839,NaN,NaN,NaN,NaN,NaN,NaN
125000,83,83,779.202380952381,776.202380952381,0.4642857142857143,0.4642857142857143,500,28,-1,1,0,83,0,1,0.375,0.44,0.5428571428571428,782.25,773.28,788.2571428571429,NaN,NaN,NaN,NaN,NaN,NaN
