tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,124,124,450.95652173913044,448.04347826086956,0.1391304347826087,0.1391304347826087,500,28,-1,0.9838709677419355,-1,124,0,1,0.1,0.13793103448275862,0.17391304347826086,453.15,457.0689655172414,452.3695652173913,NaN,NaN,NaN,NaN,NaN,NaN
10000,124,124,431.21311475409834,428.3032786885246,0.14754098360655737,0.14754098360655737,500,28,-1,0.9758064516129032,-1,124,0,1,0.07317073170731707,0.1282051282051282,0.23809523809523808,434.4634146341463,439.53846153846155,428.8333333333333,NaN,NaN,NaN,NaN,NaN,NaN
15000,124,124,438.36,435.424,0.12,0.12,500,28,-1,1,-1,124,0,1,0.06666666666666667,0.07692307692307693,0.21951219512195122,442.8222222222222,440.12820512820514,440.609756097561,NaN,NaN,NaN,NaN,NaN,NaN
20000,124,124,441.9593495934959,439.0569105691057,0.11382113821138211,0.11382113821138211,500,28,-1,1,-1,124,0,1,0.13513513513513514,0.1794871794871795,0.0425531914893617,454.35135135135135,447.5128205128205,435.1489361702128,NaN,NaN,NaN,NaN,NaN,NaN
25000,124,124,442.5528455284553,439.650406504065,0.17886178861788618,0.17886178861788618,500,28,-1,0.9919354838709677,-1,124,0,1,0.14893617021276595,0.25,0.15,440.36170212765956,454.8611111111111,442.95,NaN,NaN,NaN,NaN,NaN,NaN
30000,123,123,444.176,441.304,0.104,0.104,500,28,-1,0.975609756097561,-1,123,0,1,0.1,0.19444444444444445,0.04081632653061224,452.725,450.6111111111111,439.7755102040816,NaN,NaN,NaN,NaN,NaN,NaN
35000,124,124,439.8790322580645,437.008064516129,0.14516129032258066,0.14516129032258066,500,28,-1,0.9838709677419355,-1,124,0,1,0.10810810810810811,0.13636363636363635,0.18604651162790697,443.86486486486484,440.09090909090907,444.6511627906977,NaN,NaN,NaN,NaN,NaN,NaN
40000,124,124,442.8536585365854,439.9349593495935,0.14634146341463414,0.14634146341463414,500,28,-1,0.9838709677419355,-1,124,0,1,0.09090909090909091,0.19047619047619047,0.16216216216216217,451.29545454545456,444.6904761904762,440.4594594594595,NaN,NaN,NaN,NaN,NaN,NaN
45000,124,124,444.7016129032258,441.80645161290323,0.12096774193548387,0.12096774193548387,500,28,-1,0.967741935483871,-1,124,0,1,0.10204081632653061,0.2413793103448276,0.06521739130434782,455.0204081632653,435.17241379310343,447.45652173913044,NaN,NaN,NaN,NaN,NaN,NaN
50000,124,124,444.18548387096774,441.2903225806452,0.11290322580645161,0.11290322580645161,500,28,-1,1,-1,124,0,1,0.14583333333333334,0.1111111111111111,0.06451612903225806,447.9583333333333,444.55555555555554,449.3225806451613,NaN,NaN,NaN,NaN,NaN,NaN
55000,124,124,449.224,446.32,0.176,0.176,500,28,-1,1,-1,124,0,1,0.19607843137254902,0.13513513513513514,0.1891891891891892,460.3921568627451,447.94594594594594,444.8918918918919,NaN,NaN,NaN,NaN,NaN,NaN
60000,123,123,435.6178861788618,432.7154471544715,0.10569105691056911,0.10569105691056911,500,28,-1,1,-1,123,0,1,0.18181818181818182,0.058823529411764705,0.06666666666666667,441.75,441.2352941176471,433.3777777777778,NaN,NaN,NaN,NaN,NaN,NaN
65000,124,124,440.5853658536585,437.6829268292683,0.17073170731707318,0.17073170731707318,500,28,-1,0.9758064516129032,-1,124,0,1,0.19047619047619047,0.19047619047619047,0.1282051282051282,430.64285714285717,450.9761904761905,449.1794871794872,NaN,NaN,NaN,NaN,NaN,NaN
70000,124,124,441.168,438.32,0.216,0.216,500,28,-1,0.9596774193548387,-1,124,0,1,0.20930232558139536,0.2682926829268293,0.17073170731707318,448.7674418604651,438.8780487804878,444.2926829268293,NaN,NaN,NaN,NaN,NaN,NaN
75000,124,124,436.5691056910569,433.7073170731707,0.14634146341463414,0.14634146341463414,500,28,-1,0.9838709677419355,-1,124,0,1,0.05263157894736842,0.2222222222222222,0.16326530612244897,434.07894736842104,443.19444444444446,440.8775510204082,NaN,NaN,NaN,NaN,NaN,NaN
80000,124,124,439.456,436.6,0.168,0.168,500,28,-1,0.9838709677419355,-1,124,0,1,0.21428571428571427,0.16216216216216217,0.13043478260869565,441.76190476190476,434.6756756756757,448.95652173913044,NaN,NaN,NaN,NaN,NaN,NaN
85000,77,77,438.69135802469134,435.69135802469134,0.14814814814814814,0.14814814814814814,500,28,-1,1,-1,77,0,1,0.12,0.125,0.20833333333333334,433.68,455.40625,431.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN
90000,77,77,437.5466666666667,434.58666666666664,0.2,0.2,500,28,-1,1,-1,77,0,1,0.24242424242424243,0.14814814814814814,0.2,442.75757575757575,433,448.93333333333334,NaN,NaN,NaN,NaN,NaN,NaN
95000,77,77,442.2435897435897,439.2692307692308,0.15384615384615385,0.15384615384615385,500,28,-1,1,-1,77,0,1,0.22727272727272727,0.125,0.125,445.3181818181818,440.1666666666667,448.875,NaN,NaN,NaN,NaN,NaN,NaN
100000,77,77,439.09090909090907,436.1168831168831,0.18181818181818182,0.18181818181818182,500,28,-1,1,-1,77,0,1,0.2608695652173913,0.16666666666666666,0.13333333333333333,441.9130434782609,432.7083333333333,449.53333333333336,NaN,NaN,NaN,NaN,NaN,NaN
105000,77,77,444.8333333333333,441.84615384615387,0.15384615384615385,0.15384615384615385,500,28,-1,1,-1,77,0,1,0.2222222222222222,0.08,0.15384615384615385,447.4074074074074,447.36,448.5769230769231,NaN,NaN,NaN,NaN,NaN,NaN
110000,77,77,432.42105263157896,429.4342105263158,0.10526315789473684,0.10526315789473684,500,28,-1,1,-1,77,0,1,0.06896551724137931,0.13043478260869565,0.125,432.37931034482756,440.6521739130435,433.9583333333333,NaN,NaN,NaN,NaN,NaN,NaN
115000,77,77,440.12987012987014,437.14285714285717,0.16883116883116883,0.16883116883116883,500,28,-1,1,-1,77,0,1,0.13043478260869565,0.1724137931034483,0.2,455.95652173913044,432.41379310344826,443.64,NaN,NaN,NaN,NaN,NaN,NaN
120000,77,77,450.9868421052632,448,0.11842105263157894,0.11842105263157894,500,28,-1,1,-1,77,0,1,0,0.03571428571428571,0.25806451612903225,461.8235294117647,449.32142857142856,453.80645161290323,NaN,NaN,NaN,NaN,NaN,NaN
125000,77,77,446.11538461538464,443.11538461538464,0.15384615384615385,0.15384615384615385,500,28,-1,1,-1,77,0,1,0.11538461538461539,0.041666666666666664,0.2857142857142857,446.2307692307692,445.5833333333333,454.64285714285717,NaN,NaN,NaN,NaN,NaN,NaN
130000,77,77,441.68831168831167,438.7012987012987,0.14285714285714285,0.14285714285714285,500,28,-1,1,-1,77,0,1,0.20689655172413793,0,0.17857142857142858,450.9310344827586,437.4,443.2142857142857,NaN,NaN,NaN,NaN,NaN,NaN
135000,77,76,436.2207792207792,433.23376623376623,0.14285714285714285,0.14285714285714285,500,28,-1,1,-1,76,0,1,0.07692307692307693,0.1111111111111111,0.25,433.5,446.3333333333333,437.25,NaN,NaN,NaN,NaN,NaN,NaN
140000,76,77,439.1818181818182,436.23376623376623,0.15584415584415584,0.15584415584415584,500,28,-1,1,-1,77,0,1,0.18518518518518517,0.3125,0.058823529411764705,447.3703703703704,444.5625,436.8235294117647,NaN,NaN,NaN,NaN,NaN,NaN
145000,77,77,440.4605263157895,437.4736842105263,0.15789473684210525,0.15789473684210525,500,28,-1,1,-1,77,0,1,0.26666666666666666,0.12,0.047619047619047616,438.96666666666664,438.92,455,NaN,NaN,NaN,NaN,NaN,NaN
150000,77,77,448.7142857142857,445.72727272727275,0.11688311688311688,0.11688311688311688,500,28,-1,1,-1,77,0,1,0.07692307692307693,0.10526315789473684,0.15625,449.65384615384613,457.94736842105266,449.53125,NaN,NaN,NaN,NaN,NaN,NaN
155000,77,77,441.94805194805195,438.961038961039,0.18181818181818182,0.18181818181818182,500,28,-1,1,-1,77,0,1,0.14285714285714285,0.21875,0.16666666666666666,437.95238095238096,454.625,438.0416666666667,NaN,NaN,NaN,NaN,NaN,NaN
160000,77,77,439.97402597402595,437.012987012987,0.15584415584415584,0.15584415584415584,500,28,-1,1,-1,77,0,1,0.15625,0.17391304347826086,0.13636363636363635,439.78125,451.5652173913044,438.40909090909093,NaN,NaN,NaN,NaN,NaN,NaN
165000,77,77,435.7142857142857,432.7402597402597,0.1038961038961039,0.1038961038961039,500,28,-1,1,-1,77,0,1,0.1,0.08333333333333333,0.13043478260869565,438.3,437.625,440.2608695652174,NaN,NaN,NaN,NaN,NaN,NaN
170000,77,77,444.06410256410254,441.06410256410254,0.14102564102564102,0.14102564102564102,500,28,-1,1,-1,77,0,1,0.20833333333333334,0.13333333333333333,0.08333333333333333,448.125,447.96666666666664,444.8333333333333,NaN,NaN,NaN,NaN,NaN,NaN
175000,77,77,440.8157894736842,437.86842105263156,0.15789473684210525,0.15789473684210525,500,28,-1,1,-1,77,0,1,0.11538461538461539,0.16,0.2,435.03846153846155,440.48,456.12,NaN,NaN,NaN,NaN,NaN,NaN
180000,77,77,441.38461538461536,438.38461538461536,0.11538461538461539,0.11538461538461539,500,28,-1,1,-1,77,0,1,0.16129032258064516,0.08333333333333333,0.08695652173913043,452.80645161290323,434.8333333333333,442.9130434782609,NaN,NaN,NaN,NaN,NaN,NaN
