tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,311,310,608.3175182481751,737.6541353383459,0.0036496350364963502,0.2744360902255639,184,Infinity,-1,0.6483870967741936,-1,310,0,1
10000,310,311,610.8306188925081,740.4401294498382,0,0.255663430420712,184,Infinity,-1,0.572347266881029,-1,311,0,1
15000,310,310,607.2006369426751,736.747572815534,0.009554140127388535,0.26537216828478966,184,Infinity,-1,0.5774193548387097,-1,310,0,1
20000,310,310,608.3074433656958,736.749196141479,0.003236245954692557,0.24115755627009647,184,Infinity,-1,0.5548387096774193,-1,310,0,1
25000,310,310,610.2272727272727,761.4789644012945,0,0.24271844660194175,184,Infinity,-1,0.5774193548387097,-1,310,0,1
30000,310,310,612.0032154340836,769.726688102894,0,0.2057877813504823,184,Infinity,-1,0.5419354838709678,-1,310,0,1
35000,310,310,610.9166666666666,769.3818770226537,0,0.20064724919093851,184,Infinity,-1,0.535483870967742,-1,310,0,1
40000,311,311,614.7483870967742,766.4806451612903,0.0064516129032258064,0.26129032258064516,184,Infinity,-1,0.5176848874598071,-1,311,0,1
45000,310,310,608.5746753246754,766.2621359223301,0,0.2621359223300971,184,Infinity,-1,0.5645161290322581,-1,310,0,1
50000,310,310,616.5434083601286,766.2483870967742,0,0.25483870967741934,184,Infinity,-1,0.5161290322580645,-1,310,0,1
55000,310,310,610.2290322580645,773.6334405144695,0,0.21864951768488747,184,Infinity,-1,0.5483870967741935,-1,310,0,1
60000,310,310,611.9903536977492,769.9581993569132,0,0.2347266881028939,184,Infinity,-1,0.5548387096774193,-1,310,0,1
65000,310,310,610.7106109324759,767.7202572347267,0,0.2572347266881029,184,Infinity,-1,0.5387096774193548,-1,310,0,1
70000,311,310,607.7346278317152,770.5320512820513,0,0.1955128205128205,184,Infinity,-1,0.6302250803858521,-1,311,0,1
75000,310,311,609.2347266881029,768.9803921568628,0,0.2222222222222222,184,Infinity,-1,0.5645161290322581,-1,310,0,1
80000,310,310,610.741935483871,770.4583333333334,0,0.22756410256410256,184,Infinity,-1,0.5516129032258065,-1,310,0,1
85000,310,310,614.0996784565916,772.0032362459547,0.003215434083601286,0.255663430420712,184,Infinity,-1,0.5161290322580645,-1,310,0,1
90000,310,310,610.0716612377851,771.4984025559105,0,0.23003194888178913,184,Infinity,-1,0.5387096774193548,-1,310,0,1
95000,310,310,615.8874598070739,762.2337662337662,0,0.237012987012987,184,Infinity,-1,0.5258064516129032,-1,310,0,1
100000,311,310,613.4615384615385,764.4051446945338,0,0.2379421221864952,184,Infinity,-1,0.5096774193548387,-1,310,0,1
105000,310,311,607.2824675324675,770.6990291262136,0,0.22330097087378642,184,Infinity,-1,0.5627009646302251,-1,311,0,1
110000,310,310,607.6848874598071,766.2315112540193,0,0.2090032154340836,184,Infinity,-1,0.5645161290322581,-1,310,0,1
115000,310,310,612.0032154340836,772.0162337662338,0,0.2694805194805195,184,Infinity,-1,0.5612903225806452,-1,310,0,1
120000,310,310,611.1948051948052,768.6805111821086,0,0.2779552715654952,184,Infinity,-1,0.5612903225806452,-1,310,0,1
125000,310,310,611.2154340836013,771.3538961038961,0,0.21753246753246752,184,Infinity,-1,0.5290322580645161,-1,310,0,1
130000,310,310,607,769.9645161290323,0,0.23548387096774193,184,Infinity,-1,0.5580645161290323,-1,310,0,1
135000,311,310,608.1282051282051,769.9225806451612,0,0.24838709677419354,184,Infinity,-1,0.5935483870967742,-1,311,0,1
140000,310,311,609.8668831168832,770.762987012987,0.003246753246753247,0.2792207792207792,184,Infinity,-1,0.5401929260450161,-1,310,0,1
145000,310,310,608.0737179487179,769.7746031746032,0,0.2222222222222222,184,Infinity,-1,0.567741935483871,-1,310,0,1
150000,310,310,607.6387096774193,763.9225806451612,0,0.22580645161290322,184,Infinity,-1,0.5612903225806452,-1,310,0,1
155000,310,310,612.1396103896104,768.5258064516129,0,0.24193548387096775,184,Infinity,-1,0.5419354838709678,-1,310,0,1
160000,310,310,610.7012987012987,769.8896103896104,0,0.21428571428571427,184,Infinity,-1,0.5774193548387097,-1,310,0,1
