tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,163,163,538.3630136986301,538.2123287671233,0.7602739726027398,0.8561643835616438,188,Infinity,-1,0.7791411042944786,-1,163,0,1
10000,162,162,535.3148148148148,533.6358024691358,0.7962962962962963,0.8888888888888888,188,Infinity,-1,0.7530864197530864,-1,162,0,1
15000,163,163,533.9325153374233,532.8036809815951,0.7914110429447853,0.8588957055214724,188,Infinity,-1,0.7423312883435583,-1,163,0,1
20000,162,162,534.8957055214723,533.2085889570552,0.7791411042944786,0.8834355828220859,188,Infinity,-1,0.808641975308642,-1,162,0,1
25000,163,163,539.7888198757764,539.1490683229814,0.7639751552795031,0.8571428571428571,188,Infinity,-1,0.7239263803680982,-1,163,0,1
30000,162,162,535.5950920245399,534.4049079754601,0.803680981595092,0.8895705521472392,188,Infinity,-1,0.7407407407407407,-1,162,0,1
35000,163,163,543.1288343558282,543.6441717791411,0.754601226993865,0.8957055214723927,188,Infinity,-1,0.6993865030674846,-1,163,0,1
40000,162,162,533.2654320987655,531.7222222222222,0.7839506172839507,0.8641975308641975,188,Infinity,-1,0.7283950617283951,-1,162,0,1
45000,163,163,536.7484662576687,534.3496932515337,0.803680981595092,0.8834355828220859,188,Infinity,-1,0.7914110429447853,-1,163,0,1
50000,162,162,535.3105590062112,533.7142857142857,0.8136645962732919,0.8944099378881988,188,Infinity,-1,0.8024691358024691,-1,162,0,1
55000,163,163,536.9817073170732,535.420731707317,0.8048780487804879,0.8780487804878049,188,Infinity,-1,0.7423312883435583,-1,163,0,1
60000,162,162,533.8888888888889,532.7901234567901,0.7962962962962963,0.9012345679012346,188,Infinity,-1,0.7222222222222222,-1,162,0,1
65000,163,163,533.9506172839506,532.2345679012345,0.8148148148148148,0.8950617283950617,188,Infinity,-1,0.7914110429447853,-1,163,0,1
70000,162,162,533.5123456790124,531.7469135802469,0.8395061728395061,0.8950617283950617,188,Infinity,-1,0.7654320987654321,-1,162,0,1
75000,163,163,538.0426829268292,536.5060975609756,0.7804878048780488,0.8719512195121951,188,Infinity,-1,0.7852760736196319,-1,163,0,1
80000,162,162,536.0679012345679,534.4567901234568,0.7716049382716049,0.8703703703703703,188,Infinity,-1,0.7407407407407407,-1,162,0,1
85000,163,163,536.9938650306749,534.3496932515337,0.803680981595092,0.852760736196319,188,Infinity,-1,0.7730061349693251,-1,163,0,1
90000,162,162,536.8875,535.45625,0.7875,0.86875,188,Infinity,-1,0.7407407407407407,-1,162,0,1
95000,163,163,539.719512195122,538.2317073170732,0.8719512195121951,0.9451219512195121,188,Infinity,-1,0.7730061349693251,-1,163,0,1
100000,162,162,538.6993865030674,537.1533742331288,0.7607361963190185,0.8282208588957055,188,Infinity,-1,0.7962962962962963,-1,162,0,1
105000,163,163,538.9629629629629,538.4074074074074,0.8024691358024691,0.9197530864197531,188,Infinity,-1,0.7975460122699386,-1,163,0,1
110000,162,162,536.5914634146342,534.1646341463414,0.8170731707317073,0.8963414634146342,188,Infinity,-1,0.7654320987654321,-1,162,0,1
115000,163,163,532.4444444444445,531.5652173913044,0.8271604938271605,0.906832298136646,188,Infinity,-1,0.7668711656441718,-1,163,0,1
120000,162,162,535.9444444444445,535.3374233128834,0.7901234567901234,0.8834355828220859,188,Infinity,-1,0.7345679012345679,-1,162,0,1
125000,163,163,539.8098159509202,539.9079754601227,0.7484662576687117,0.8773006134969326,188,Infinity,-1,0.7607361963190185,-1,163,0,1
130000,162,162,533.9197530864197,531.783950617284,0.8148148148148148,0.8827160493827161,188,Infinity,-1,0.7407407407407407,-1,162,0,1
135000,163,163,538.0061349693251,536.5766871165645,0.7730061349693251,0.8404907975460123,188,Infinity,-1,0.7361963190184049,-1,163,0,1
140000,162,162,533.3475609756098,530.7439024390244,0.8109756097560976,0.8841463414634146,188,Infinity,-1,0.7901234567901234,-1,162,0,1
145000,163,163,537.0875,535.79375,0.75625,0.86875,188,Infinity,-1,0.6993865030674846,-1,163,0,1
150000,162,162,539.7716049382716,540.4814814814815,0.7530864197530864,0.9012345679012346,188,Infinity,-1,0.7716049382716049,-1,162,0,1
155000,163,163,534.7116564417178,532.9512195121952,0.7423312883435583,0.8353658536585366,188,Infinity,-1,0.754601226993865,-1,163,0,1
160000,162,162,536.0245398773006,535.5246913580247,0.7975460122699386,0.8827160493827161,188,Infinity,-1,0.7901234567901234,-1,162,0,1
165000,163,163,538.6280487804878,539.310975609756,0.7865853658536586,0.9024390243902439,188,Infinity,-1,0.7791411042944786,-1,163,0,1
170000,162,162,535.1428571428571,534.8695652173913,0.7391304347826086,0.8695652173913043,188,Infinity,-1,0.7777777777777778,-1,162,0,1
175000,163,163,540.1111111111111,539.2716049382716,0.7283950617283951,0.8518518518518519,188,Infinity,-1,0.7484662576687117,-1,163,0,1
180000,162,162,537.8456790123457,536.641975308642,0.8271604938271605,0.9135802469135802,188,Infinity,-1,0.7716049382716049,-1,162,0,1
185000,163,163,535.280487804878,534.0670731707318,0.8353658536585366,0.9207317073170732,188,Infinity,-1,0.7791411042944786,-1,163,0,1
190000,162,162,535.335403726708,533.7701863354038,0.7950310559006211,0.8944099378881988,188,Infinity,-1,0.7160493827160493,-1,162,0,1
195000,163,163,533.0484848484848,531.3939393939394,0.8181818181818182,0.896969696969697,188,Infinity,-1,0.8220858895705522,-1,163,0,1
200000,162,162,533.5341614906832,531.1614906832298,0.8198757763975155,0.8633540372670807,188,Infinity,-1,0.7469135802469136,-1,162,0,1
205000,163,163,536.5914634146342,534.3536585365854,0.8536585365853658,0.8963414634146342,188,Infinity,-1,0.7116564417177914,-1,163,0,1
210000,162,162,535.1739130434783,533.223602484472,0.7701863354037267,0.8385093167701864,188,Infinity,-1,0.7469135802469136,-1,162,0,1
215000,163,163,532.0246913580247,529.6604938271605,0.7654320987654321,0.8518518518518519,188,Infinity,-1,0.7914110429447853,-1,163,0,1
220000,162,162,537.1728395061729,536.104938271605,0.7839506172839507,0.8888888888888888,188,Infinity,-1,0.8024691358024691,-1,162,0,1
225000,163,163,536.8231707317074,534.6172839506173,0.8292682926829268,0.9135802469135802,188,Infinity,-1,0.803680981595092,-1,163,0,1
230000,162,162,537.3975155279503,537.0122699386503,0.8198757763975155,0.9325153374233128,188,Infinity,-1,0.7654320987654321,-1,162,0,1
235000,163,163,535.5214723926381,533.9754601226994,0.7730061349693251,0.8773006134969326,188,Infinity,-1,0.7177914110429447,-1,163,0,1
240000,162,162,539.1604938271605,537.5864197530864,0.7901234567901234,0.8518518518518519,188,Infinity,-1,0.7592592592592593,-1,162,0,1
245000,163,163,537.4723926380368,536.3803680981595,0.8282208588957055,0.9263803680981595,188,Infinity,-1,0.7055214723926381,-1,163,0,1
250000,162,162,532.5426829268292,530.0426829268292,0.8048780487804879,0.8841463414634146,188,Infinity,-1,0.7345679012345679,-1,162,0,1
255000,163,163,533.5679012345679,532.0925925925926,0.7530864197530864,0.8580246913580247,188,Infinity,-1,0.7791411042944786,-1,163,0,1
260000,162,162,533.3128834355829,532.3496932515337,0.7852760736196319,0.8773006134969326,188,Infinity,-1,0.7098765432098766,-1,162,0,1
265000,163,163,535.1490683229814,533.3540372670808,0.7453416149068323,0.84472049689441,188,Infinity,-1,0.7852760736196319,-1,163,0,1
270000,162,162,536.0490797546013,535.2592592592592,0.7239263803680982,0.8209876543209876,188,Infinity,-1,0.7777777777777778,-1,162,0,1
275000,163,163,535.7914110429448,535.3780487804878,0.8098159509202454,0.9146341463414634,188,Infinity,-1,0.8098159509202454,-1,163,0,1
280000,162,162,538.1472392638037,535.8404907975461,0.8343558282208589,0.8895705521472392,188,Infinity,-1,0.7469135802469136,-1,162,0,1
285000,163,163,539.5802469135803,538.9444444444445,0.7654320987654321,0.8765432098765432,188,Infinity,-1,0.7177914110429447,-1,163,0,1
290000,162,162,533.6708074534162,534.1925465838509,0.7888198757763976,0.8881987577639752,188,Infinity,-1,0.7592592592592593,-1,162,0,1
295000,163,163,536.6646341463414,535.030487804878,0.8353658536585366,0.8963414634146342,188,Infinity,-1,0.7177914110429447,-1,163,0,1
300000,162,162,538.88125,538.13125,0.78125,0.875,188,Infinity,-1,0.6975308641975309,-1,162,0,1
305000,163,163,536.8650306748466,536.6748466257669,0.7852760736196319,0.8895705521472392,188,Infinity,-1,0.754601226993865,-1,163,0,1
