tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,125,122,276.7583333333333,277.7606837606838,0.725,0.717948717948718,375,Infinity,-1,0,-1,122,0,1
10000,125,114,253.08064516129033,271.37168141592923,0.7661290322580645,0.7433628318584071,375,Infinity,-1,0,-1,114,0,1
15000,125,107,234.65079365079364,267.14814814814815,0.7936507936507936,0.7592592592592593,375,Infinity,-1,0,-1,107,0,1
20000,125,110,241.352,267.73636363636365,0.864,0.8454545454545455,375,Infinity,-1,0,-1,110,0,1
25000,125,99,217.8359375,266.37254901960785,0.765625,0.7058823529411765,375,Infinity,-1,0,-1,99,0,1
30000,125,96,211.5737704918033,270.39784946236557,0.8442622950819673,0.7956989247311828,375,Infinity,-1,0,-1,96,0,1
35000,125,85,195.592,279.8941176470588,0.848,0.7764705882352941,375,Infinity,-1,0,-1,85,0,1
40000,125,85,188.61904761904762,268.6279069767442,0.8015873015873016,0.7093023255813954,375,Infinity,-1,0,-1,85,0,1
45000,125,69,155.88888888888889,271.54285714285714,0.8968253968253969,0.8142857142857143,375,Infinity,-1,0,-1,69,0,1
50000,125,84,187.869918699187,273.890243902439,0.8292682926829268,0.7439024390243902,375,Infinity,-1,0,-1,84,0,1
55000,125,65,148.6771653543307,272.46268656716416,0.8503937007874016,0.7164179104477612,375,Infinity,-1,0,-1,65,0,1
60000,125,79,172.08870967741936,265.4230769230769,0.8709677419354839,0.7948717948717948,375,Infinity,-1,0,-1,79,0,1
65000,125,78,174.496,271.38461538461536,0.848,0.7564102564102564,375,Infinity,-1,0,-1,78,0,1
70000,125,58,133.07142857142858,273.9830508474576,0.873015873015873,0.7288135593220338,375,Infinity,-1,0,-1,58,0,1
75000,125,63,138.31147540983608,271.28333333333336,0.8934426229508197,0.7833333333333333,375,Infinity,-1,0,-1,63,0,1
80000,125,66,150.6984126984127,274.02985074626866,0.8888888888888888,0.7910447761194029,375,Infinity,-1,0,-1,66,0,1
85000,125,61,139.625,269.390625,0.890625,0.78125,375,Infinity,-1,0,-1,61,0,1
90000,125,52,114.97540983606558,274.42857142857144,0.8934426229508197,0.7346938775510204,375,Infinity,-1,0,-1,52,0,1
95000,125,59,137.421875,273.5806451612903,0.84375,0.6774193548387096,375,Infinity,-1,0,-1,59,0,1
100000,125,55,123.33870967741936,272.2037037037037,0.8709677419354839,0.7037037037037037,375,Infinity,-1,0,-1,55,0,1
105000,125,50,120.50393700787401,282.7692307692308,0.8661417322834646,0.6730769230769231,375,Infinity,-1,0,-1,50,0,1
110000,125,57,126.77868852459017,275.537037037037,0.9016393442622951,0.7777777777777778,375,Infinity,-1,0,-1,57,0,1
115000,125,59,132.30645161290323,272.44827586206895,0.8387096774193549,0.6551724137931034,375,Infinity,-1,0,-1,59,0,1
120000,125,56,126.92857142857143,269.82456140350877,0.8888888888888888,0.7543859649122807,375,Infinity,-1,0,-1,56,0,1
125000,125,63,146.38095238095238,278.453125,0.8571428571428571,0.71875,375,Infinity,-1,0,-1,63,0,1
130000,125,58,131.6984126984127,270.93220338983053,0.8888888888888888,0.7627118644067796,375,Infinity,-1,0,-1,58,0,1
135000,125,62,141.2016129032258,277.0655737704918,0.8548387096774194,0.7049180327868853,375,Infinity,-1,0,-1,62,0,1
140000,125,73,162.28,269.1095890410959,0.824,0.6986301369863014,375,Infinity,-1,0,-1,73,0,1
145000,125,54,123.25196850393701,268.6607142857143,0.9212598425196851,0.8214285714285714,375,Infinity,-1,0,-1,54,0,1
150000,125,64,136.6694214876033,265.78333333333336,0.8512396694214877,0.7,375,Infinity,-1,0,-1,64,0,1
155000,125,63,144.8359375,271.27272727272725,0.8359375,0.6818181818181818,375,Infinity,-1,0,-1,63,0,1
160000,125,68,152.56451612903226,273.1044776119403,0.8870967741935484,0.7910447761194029,375,Infinity,-1,0,-1,68,0,1
165000,125,59,133.85826771653544,268.5409836065574,0.9212598425196851,0.8360655737704918,375,Infinity,-1,0,-1,59,0,1
170000,125,64,141.7560975609756,271.5,0.8861788617886179,0.7741935483870968,375,Infinity,-1,0,-1,64,0,1
175000,125,61,140.1138211382114,281.91525423728814,0.8699186991869918,0.7288135593220338,375,Infinity,-1,0,-1,61,0,1
180000,125,75,170.0236220472441,271.93506493506493,0.8976377952755905,0.8311688311688312,375,Infinity,-1,0,-1,75,0,1
185000,125,66,148.27777777777777,269.5074626865672,0.873015873015873,0.7611940298507462,375,Infinity,-1,0,-1,66,0,1
190000,125,64,147.6,278.59375,0.848,0.703125,375,Infinity,-1,0,-1,64,0,1
195000,125,63,140.0952380952381,266.078125,0.8809523809523809,0.765625,375,Infinity,-1,0,-1,63,0,1
200000,125,63,141.32539682539684,268.421875,0.8968253968253969,0.796875,375,Infinity,-1,0,-1,63,0,1
205000,125,56,116.13223140495867,259.0769230769231,0.8842975206611571,0.7307692307692307,375,Infinity,-1,0,-1,56,0,1
210000,125,67,157.44,284.4179104477612,0.88,0.7761194029850746,375,Infinity,-1,0,-1,67,0,1
215000,125,59,135.88188976377953,272.7704918032787,0.9212598425196851,0.8360655737704918,375,Infinity,-1,0,-1,59,0,1
220000,125,59,128.34959349593495,266.4561403508772,0.8861788617886179,0.7543859649122807,375,Infinity,-1,0,-1,59,0,1
225000,125,66,147.4126984126984,267.8805970149254,0.8253968253968254,0.6716417910447762,375,Infinity,-1,0,-1,66,0,1
230000,125,65,152.83333333333334,282.2878787878788,0.8571428571428571,0.7272727272727273,375,Infinity,-1,0,-1,65,0,1
235000,125,64,144.41935483870967,274.55555555555554,0.8548387096774194,0.7142857142857143,375,Infinity,-1,0,-1,64,0,1
240000,125,76,162.8048780487805,262.1216216216216,0.8536585365853658,0.7567567567567568,375,Infinity,-1,0,-1,76,0,1
245000,125,68,152.34920634920636,269,0.8412698412698413,0.7101449275362319,375,Infinity,-1,0,-1,68,0,1
250000,125,61,136.0081300813008,273.3050847457627,0.8943089430894309,0.7796610169491526,375,Infinity,-1,0,-1,61,0,1
255000,125,63,139.24806201550388,258.5970149253731,0.8527131782945736,0.7164179104477612,375,Infinity,-1,0,-1,63,0,1
260000,125,66,147.96,270.8484848484849,0.848,0.7121212121212122,375,Infinity,-1,0,-1,66,0,1
265000,125,57,127,276.1296296296296,0.9016393442622951,0.7777777777777778,375,Infinity,-1,0,-1,57,0,1
270000,125,64,147.55905511811022,274.469696969697,0.8661417322834646,0.7424242424242424,375,Infinity,-1,0,-1,64,0,1
275000,125,57,124.65040650406505,268.0181818181818,0.8861788617886179,0.7454545454545455,375,Infinity,-1,0,-1,57,0,1
280000,125,60,132.65079365079364,263.88524590163934,0.9126984126984127,0.819672131147541,375,Infinity,-1,0,-1,60,0,1
285000,125,73,168.992,280.7671232876712,0.856,0.7534246575342466,375,Infinity,-1,0,-1,73,0,1
290000,125,68,151.33870967741936,270.86567164179104,0.8870967741935484,0.7910447761194029,375,Infinity,-1,0,-1,68,0,1
295000,125,62,139.15079365079364,268.36507936507934,0.873015873015873,0.746031746031746,375,Infinity,-1,0,-1,62,0,1
300000,125,65,144.808,268.9076923076923,0.904,0.8153846153846154,375,Infinity,-1,0,-1,65,0,1
305000,125,61,142.1811023622047,276.73015873015873,0.8661417322834646,0.7301587301587301,375,Infinity,-1,0,-1,61,0,1
310000,125,68,147.5528455284553,265.6666666666667,0.8373983739837398,0.696969696969697,375,Infinity,-1,0,-1,68,0,1
315000,125,70,157.976,273.1142857142857,0.872,0.7714285714285715,375,Infinity,-1,0,-1,70,0,1
320000,125,69,156.712,274.84057971014494,0.88,0.782608695652174,375,Infinity,-1,0,-1,69,0,1
325000,125,57,133.5234375,274.5,0.921875,0.8333333333333334,375,Infinity,-1,0,-1,57,0,1
330000,125,69,146.85833333333332,265.90625,0.8833333333333333,0.78125,375,Infinity,-1,0,-1,69,0,1
335000,125,67,158.64341085271317,279.16901408450707,0.8604651162790697,0.7464788732394366,375,Infinity,-1,0,-1,67,0,1
340000,125,61,140.12,277.08196721311475,0.856,0.7049180327868853,375,Infinity,-1,0,-1,61,0,1
345000,125,67,151.272,272.94029850746267,0.896,0.8059701492537313,375,Infinity,-1,0,-1,67,0,1
350000,125,64,140.29268292682926,268.56451612903226,0.8943089430894309,0.7903225806451613,375,Infinity,-1,0,-1,64,0,1
355000,125,55,123.416,269.5272727272727,0.928,0.8363636363636363,375,Infinity,-1,0,-1,55,0,1
360000,125,62,141.64566929133858,271.375,0.8661417322834646,0.734375,375,Infinity,-1,0,-1,62,0,1
365000,125,59,130.01626016260164,270.1578947368421,0.959349593495935,0.9122807017543859,375,Infinity,-1,0,-1,59,0,1
370000,125,75,172.9763779527559,276.83116883116884,0.8031496062992126,0.6753246753246753,375,Infinity,-1,0,-1,75,0,1
375000,125,59,129.48387096774192,266.3965517241379,0.9112903225806451,0.8103448275862069,375,Infinity,-1,0,-1,59,0,1
380000,125,71,161.08661417322836,271.4657534246575,0.8188976377952756,0.684931506849315,375,Infinity,-1,0,-1,71,0,1
385000,125,61,133.61157024793388,273.29824561403507,0.8925619834710744,0.7719298245614035,375,Infinity,-1,0,-1,61,0,1
390000,125,71,161.68253968253967,274.1666666666667,0.7936507936507936,0.6388888888888888,375,Infinity,-1,0,-1,71,0,1
395000,125,59,137.11023622047244,275.26229508196724,0.8818897637795275,0.7540983606557377,375,Infinity,-1,0,-1,59,0,1
400000,125,55,122.70247933884298,278.9230769230769,0.9338842975206612,0.8269230769230769,375,Infinity,-1,0,-1,55,0,1
