tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,107,107,4.018691588785047,759.1573033707865,0,0.5617977528089888,157,Infinity,-1,0.037383177570093455,-1,107,0,1
10000,106,106,4.009433962264151,754.4392523364486,0.02830188679245283,0.37383177570093457,157,Infinity,-1,0.02830188679245283,-1,106,0,1
15000,106,106,4.009433962264151,748.8055555555555,0.05660377358490566,0.42592592592592593,157,Infinity,-1,0.02830188679245283,-1,106,0,1
20000,106,106,4.047169811320755,756.4423076923077,0.08490566037735849,0.36538461538461536,157,Infinity,-1,0.018867924528301886,-1,106,0,1
25000,107,107,3.97196261682243,754.8796296296297,0.11214953271028037,0.46296296296296297,157,Infinity,-1,0.06542056074766354,-1,107,0,1
30000,106,106,3.990566037735849,755.9433962264151,0.1509433962264151,0.4811320754716981,157,Infinity,-1,0.0660377358490566,-1,106,0,1
35000,106,106,4.056603773584905,752.411214953271,0.16981132075471697,0.4392523364485981,157,Infinity,-1,0.009433962264150943,-1,106,0,1
40000,106,106,4,758.8962264150944,0.19811320754716982,0.42452830188679247,157,Infinity,-1,0.02830188679245283,-1,106,0,1
45000,107,107,3.9906542056074765,751,0.14953271028037382,0.4095238095238095,157,Infinity,-1,0.056074766355140186,-1,107,0,1
50000,106,106,4.037735849056604,757.8518518518518,0.19811320754716982,0.42592592592592593,157,Infinity,-1,0.02830188679245283,-1,106,0,1
55000,106,106,4.009433962264151,764.6761904761905,0.22641509433962265,0.41904761904761906,157,Infinity,-1,0.02830188679245283,-1,106,0,1
60000,106,106,4.028301886792453,755.6698113207547,0.32075471698113206,0.3867924528301887,157,Infinity,-1,0.0660377358490566,-1,106,0,1
65000,107,107,3.9906542056074765,756.7169811320755,0.2336448598130841,0.4716981132075472,157,Infinity,-1,0.037383177570093455,-1,107,0,1
70000,106,106,4.0754716981132075,748.1603773584906,0.27358490566037735,0.5,157,Infinity,-1,0.018867924528301886,-1,106,0,1
75000,106,106,4.009433962264151,759.607476635514,0.3584905660377358,0.4205607476635514,157,Infinity,-1,0.02830188679245283,-1,106,0,1
80000,106,106,4.018867924528302,754.566037735849,0.4056603773584906,0.4339622641509434,157,Infinity,-1,0.009433962264150943,-1,106,0,1
85000,107,107,3.9626168224299065,529.1769911504425,0.3364485981308411,0.45132743362831856,157,Infinity,-1,0.028037383177570093,-1,107,0,1
90000,106,106,4.066037735849057,489.76190476190476,0.2830188679245283,0.44761904761904764,157,Infinity,-1,0.02830188679245283,-1,106,0,1
95000,106,106,4.09433962264151,489.02830188679246,0.41509433962264153,0.46226415094339623,157,Infinity,-1,0.018867924528301886,-1,106,0,1
100000,106,106,4.009433962264151,488.83962264150944,0.44339622641509435,0.44339622641509435,157,Infinity,-1,0.03773584905660377,-1,106,0,1
105000,107,107,4.046728971962617,490.4672897196262,0.32710280373831774,0.4485981308411215,157,Infinity,-1,0.06542056074766354,-1,107,0,1
110000,106,106,4.056603773584905,485.42056074766356,0.3490566037735849,0.411214953271028,157,Infinity,-1,0.04716981132075472,-1,106,0,1
115000,106,106,3.9716981132075473,487.65714285714284,0.39622641509433965,0.4666666666666667,157,Infinity,-1,0.03773584905660377,-1,106,0,1
120000,106,106,4.028301886792453,488.04672897196264,0.33962264150943394,0.3925233644859813,157,Infinity,-1,0.05660377358490566,-1,106,0,1
125000,107,107,4.02803738317757,500.7142857142857,0.3644859813084112,0.45714285714285713,157,Infinity,-1,0.009345794392523364,-1,107,0,1
130000,106,106,4,496.7037037037037,0.4528301886792453,0.37037037037037035,157,Infinity,-1,0.018867924528301886,-1,106,0,1
135000,106,106,4.09433962264151,486.2616822429907,0.330188679245283,0.38317757009345793,157,Infinity,-1,0.04716981132075472,-1,106,0,1
140000,106,106,4.028301886792453,490.7358490566038,0.3584905660377358,0.3867924528301887,157,Infinity,-1,0.009433962264150943,-1,106,0,1
145000,107,107,4.121495327102804,485.76190476190476,0.40186915887850466,0.34285714285714286,157,Infinity,-1,0.028037383177570093,-1,107,0,1
150000,106,106,4,491.31775700934577,0.2830188679245283,0.4485981308411215,157,Infinity,-1,0.02830188679245283,-1,106,0,1
155000,106,106,4.047169811320755,490.6320754716981,0.39622641509433965,0.4339622641509434,157,Infinity,-1,0.04716981132075472,-1,106,0,1
160000,106,106,4.028301886792453,490.45283018867923,0.36792452830188677,0.41509433962264153,157,Infinity,-1,0.03773584905660377,-1,106,0,1
165000,107,107,4.009345794392523,492.8130841121495,0.3925233644859813,0.5420560747663551,157,Infinity,-1,0.028037383177570093,-1,107,0,1
170000,106,106,4.056603773584905,491.57142857142856,0.3584905660377358,0.3904761904761905,157,Infinity,-1,0.018867924528301886,-1,106,0,1
175000,106,106,4.009433962264151,493.9433962264151,0.41509433962264153,0.5377358490566038,157,Infinity,-1,0.009433962264150943,-1,106,0,1
180000,106,106,3.9622641509433962,493.3703703703704,0.3867924528301887,0.37962962962962965,157,Infinity,-1,0.03773584905660377,-1,106,0,1
185000,107,107,4.02803738317757,489.6981132075472,0.35514018691588783,0.4716981132075472,157,Infinity,-1,0.009345794392523364,-1,107,0,1
190000,106,106,4.056603773584905,491.8679245283019,0.4339622641509434,0.5,157,Infinity,-1,0.009433962264150943,-1,106,0,1
195000,106,106,4.056603773584905,483.5566037735849,0.29245283018867924,0.36792452830188677,157,Infinity,-1,0.04716981132075472,-1,106,0,1
200000,106,106,4.018867924528302,486.49056603773585,0.4339622641509434,0.4528301886792453,157,Infinity,-1,0.02830188679245283,-1,106,0,1
205000,107,107,4.037383177570093,493.2803738317757,0.40186915887850466,0.4205607476635514,157,Infinity,-1,0.009345794392523364,-1,107,0,1
