tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,238,238,603.8564593301436,359.86425339366514,0.36363636363636365,0.3574660633484163,438,Infinity,-1,0.09663865546218488,-1,238,0,1
10000,237,237,601.6666666666666,359.50840336134456,0.4092827004219409,0.3865546218487395,438,Infinity,-1,0.029535864978902954,-1,237,0,1
15000,238,238,599.8451882845188,360.1386554621849,0.4686192468619247,0.3865546218487395,438,Infinity,-1,0.07983193277310924,-1,238,0,1
20000,237,237,602.7415254237288,358.3305084745763,0.5042372881355932,0.3813559322033898,438,Infinity,-1,0.08438818565400844,-1,237,0,1
25000,238,238,601.90756302521,364.5,0.4789915966386555,0.35714285714285715,438,Infinity,-1,0.07983193277310924,-1,238,0,1
30000,237,237,602.1525423728814,361.9367088607595,0.5508474576271186,0.4008438818565401,438,Infinity,-1,0.0759493670886076,-1,237,0,1
35000,238,238,604.2362869198312,360.26778242677824,0.5949367088607594,0.39330543933054396,438,Infinity,-1,0.09243697478991597,-1,238,0,1
40000,237,237,605.5188284518829,364.0798319327731,0.5439330543933054,0.4117647058823529,438,Infinity,-1,0.06751054852320675,-1,237,0,1
45000,238,238,602.5336134453781,362.8945147679325,0.5882352941176471,0.4050632911392405,438,Infinity,-1,0.1134453781512605,-1,238,0,1
50000,237,237,605.4705882352941,361.70512820512823,0.6470588235294118,0.41025641025641024,438,Infinity,-1,0.0759493670886076,-1,237,0,1
55000,238,238,600.675105485232,364.836820083682,0.6329113924050633,0.3723849372384937,438,Infinity,-1,0.06302521008403361,-1,238,0,1
60000,237,237,596.2194092827004,358.0962343096234,0.6329113924050633,0.35564853556485354,438,Infinity,-1,0.05907172995780591,-1,237,0,1
65000,238,238,609.2563025210084,361.4237288135593,0.5756302521008403,0.3093220338983051,438,Infinity,-1,0.07563025210084033,-1,238,0,1
70000,237,237,604.210970464135,359.40084388185653,0.6751054852320675,0.3459915611814346,438,Infinity,-1,0.10970464135021098,-1,237,0,1
75000,238,238,606.7773109243698,361.8075313807531,0.6764705882352942,0.3723849372384937,438,Infinity,-1,0.10504201680672269,-1,238,0,1
80000,237,237,601.5271966527197,357.9033613445378,0.6443514644351465,0.3949579831932773,438,Infinity,-1,0.10126582278481013,-1,237,0,1
85000,238,238,604.021186440678,197.41869918699186,0.7161016949152542,0.3617886178861789,438,Infinity,-1,0.08823529411764706,-1,238,0,1
90000,237,237,602.3807531380753,182.42857142857142,0.7112970711297071,0.3697478991596639,438,Infinity,-1,0.09282700421940929,-1,237,0,1
95000,238,238,602.5504201680673,186.23305084745763,0.7394957983193278,0.4152542372881356,438,Infinity,-1,0.08403361344537816,-1,238,0,1
100000,237,237,602.5617021276596,187.9240506329114,0.7319148936170212,0.4050632911392405,438,Infinity,-1,0.11392405063291139,-1,237,0,1
105000,238,238,601.3305439330544,182.30672268907563,0.7280334728033473,0.3907563025210084,438,Infinity,-1,0.10504201680672269,-1,238,0,1
110000,237,237,604.0381355932203,181.45762711864407,0.7457627118644068,0.3855932203389831,438,Infinity,-1,0.11392405063291139,-1,237,0,1
115000,238,238,604.2436974789916,186.94166666666666,0.7647058823529411,0.375,438,Infinity,-1,0.07983193277310924,-1,238,0,1
120000,237,237,602.1181434599156,190.36016949152543,0.7637130801687764,0.3940677966101695,438,Infinity,-1,0.08860759493670886,-1,237,0,1
125000,238,238,603.5857740585774,184.93305439330544,0.7322175732217573,0.41841004184100417,438,Infinity,-1,0.08403361344537816,-1,238,0,1
130000,237,237,600.0378151260504,188.41525423728814,0.6932773109243697,0.3813559322033898,438,Infinity,-1,0.07172995780590717,-1,237,0,1
135000,238,238,607.6016949152543,188.38912133891213,0.7372881355932204,0.3807531380753138,438,Infinity,-1,0.07563025210084033,-1,238,0,1
140000,237,237,603.4435146443515,185.60337552742615,0.7071129707112971,0.3670886075949367,438,Infinity,-1,0.12236286919831224,-1,237,0,1
145000,238,238,602.3502109704641,183.0936170212766,0.7510548523206751,0.3829787234042553,438,Infinity,-1,0.09663865546218488,-1,238,0,1
150000,237,237,604.6877637130801,187.95850622406638,0.6919831223628692,0.3236514522821577,438,Infinity,-1,0.10548523206751055,-1,237,0,1
155000,238,238,603.9874476987447,180.97058823529412,0.7280334728033473,0.35714285714285715,438,Infinity,-1,0.09663865546218488,-1,238,0,1
160000,237,237,605.292372881356,183.364406779661,0.7076271186440678,0.3771186440677966,438,Infinity,-1,0.1308016877637131,-1,237,0,1
165000,238,238,602.1097046413502,184.81012658227849,0.679324894514768,0.35443037974683544,438,Infinity,-1,0.07983193277310924,-1,238,0,1
