tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,118,118,597.6764705882352,595.6372549019608,0.09803921568627451,0.09803921568627451,223,Infinity,-1,0.11016949152542373,-1,118,0,1
10000,118,118,595.4793388429752,593.4132231404959,0.08264462809917356,0.08264462809917356,223,Infinity,-1,0.1016949152542373,-1,118,0,1
15000,118,118,601.3813559322034,599.3474576271186,0.0847457627118644,0.0847457627118644,223,Infinity,-1,0.15254237288135594,-1,118,0,1
20000,118,118,606.0940170940171,604.025641025641,0.042735042735042736,0.042735042735042736,223,Infinity,-1,0.13559322033898305,-1,118,0,1
25000,118,118,596.0338983050848,594.0169491525423,0.11864406779661017,0.11864406779661017,223,Infinity,-1,0.05084745762711865,-1,118,0,1
30000,118,118,594.5966386554621,592.5714285714286,0.09243697478991597,0.09243697478991597,223,Infinity,-1,0.1016949152542373,-1,118,0,1
35000,118,118,602.3675213675214,600.3504273504274,0.09401709401709402,0.09401709401709402,223,Infinity,-1,0.0847457627118644,-1,118,0,1
40000,118,118,607.3247863247864,605.2991452991453,0.07692307692307693,0.07692307692307693,223,Infinity,-1,0.059322033898305086,-1,118,0,1
45000,118,118,598.8991596638656,596.8655462184873,0.08403361344537816,0.08403361344537816,223,Infinity,-1,0.1016949152542373,-1,118,0,1
50000,118,118,605.1271186440678,603.0847457627119,0.11016949152542373,0.11016949152542373,223,Infinity,-1,0.1271186440677966,-1,118,0,1
55000,118,118,606.3050847457627,604.271186440678,0.059322033898305086,0.059322033898305086,223,Infinity,-1,0.07627118644067797,-1,118,0,1
60000,118,118,607.0762711864406,605.0169491525423,0.1016949152542373,0.1016949152542373,223,Infinity,-1,0.11864406779661017,-1,118,0,1
65000,118,118,603.4358974358975,601.3760683760684,0.05128205128205128,0.05128205128205128,223,Infinity,-1,0.1440677966101695,-1,118,0,1
70000,118,118,603.5210084033613,601.4789915966387,0.09243697478991597,0.09243697478991597,223,Infinity,-1,0.1016949152542373,-1,118,0,1
75000,118,118,597.2542372881356,595.1949152542373,0.06779661016949153,0.06779661016949153,223,Infinity,-1,0.11016949152542373,-1,118,0,1
80000,118,118,594.1176470588235,592.0756302521008,0.07563025210084033,0.07563025210084033,223,Infinity,-1,0.09322033898305085,-1,118,0,1
85000,118,118,599.8119658119658,597.7777777777778,0.008547008547008548,0.008547008547008548,223,Infinity,-1,0.09322033898305085,-1,118,0,1
90000,118,118,598.974358974359,596.9316239316239,0.05982905982905983,0.05982905982905983,223,Infinity,-1,0.06779661016949153,-1,118,0,1
95000,118,118,604.8474576271186,602.8305084745763,0.01694915254237288,0.01694915254237288,223,Infinity,-1,0.09322033898305085,-1,118,0,1
100000,118,118,603.1367521367522,601.1196581196581,0.008547008547008548,0.008547008547008548,223,Infinity,-1,0.07627118644067797,-1,118,0,1
105000,118,118,603.297520661157,601.2561983471074,0.0743801652892562,0.0743801652892562,223,Infinity,-1,0.1271186440677966,-1,118,0,1
110000,118,118,597.4396551724138,595.4137931034483,0.02586206896551724,0.02586206896551724,223,Infinity,-1,0.09322033898305085,-1,118,0,1
115000,118,118,593.7310924369748,591.655462184874,0.01680672268907563,0.01680672268907563,223,Infinity,-1,0.07627118644067797,-1,118,0,1
120000,118,118,598.3504273504274,596.3162393162393,0.03418803418803419,0.03418803418803419,223,Infinity,-1,0.11016949152542373,-1,118,0,1
125000,118,118,599.8205128205128,597.7863247863248,0,0,223,Infinity,-1,0.09322033898305085,-1,118,0,1
130000,118,118,594.3223140495868,592.2479338842975,0.03305785123966942,0.03305785123966942,223,Infinity,-1,0.1694915254237288,-1,118,0,1
135000,118,118,597.0932203389831,595.0338983050848,0.0423728813559322,0.0423728813559322,223,Infinity,-1,0.1016949152542373,-1,118,0,1
140000,118,118,593.3103448275862,591.2758620689655,0.02586206896551724,0.02586206896551724,223,Infinity,-1,0.1016949152542373,-1,118,0,1
145000,118,118,597.5338983050848,595.5338983050848,0.01694915254237288,0.01694915254237288,223,Infinity,-1,0.06779661016949153,-1,118,0,1
150000,118,117,603.6610169491526,601.6355932203389,0.025423728813559324,0.025423728813559324,223,Infinity,-1,0.07692307692307693,-1,118,0,1
155000,118,118,600.5042735042736,598.4700854700855,0.03418803418803419,0.03418803418803419,223,Infinity,-1,0.1016949152542373,-1,117,0,1
160000,117,118,595.5254237288135,593.4915254237288,0,0,223,Infinity,-1,0.11864406779661017,-1,118,0,1
165000,118,118,596.4789915966387,594.4285714285714,0.008403361344537815,0.008403361344537815,223,Infinity,-1,0.13559322033898305,-1,118,0,1
170000,118,118,607.2941176470588,605.2689075630252,0.025210084033613446,0.025210084033613446,223,Infinity,-1,0.11016949152542373,-1,118,0,1
175000,118,118,603.3162393162393,601.2905982905983,0.017094017094017096,0.017094017094017096,223,Infinity,-1,0.0847457627118644,-1,118,0,1
