tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,184,184,242.2215909090909,240.2159090909091,0.7670454545454546,0.7670454545454546,332,Infinity,-1,0.02717391304347826,-1,184,0,1
10000,184,184,239.02197802197801,237.01098901098902,0.7692307692307693,0.7692307692307693,332,Infinity,-1,0.059782608695652176,-1,184,0,1
15000,183,183,238.69021739130434,236.68478260869566,0.7065217391304348,0.7065217391304348,332,Infinity,-1,0.04371584699453552,-1,183,0,1
20000,184,184,239.6086956521739,237.6086956521739,0.7445652173913043,0.7445652173913043,332,Infinity,-1,0.05434782608695652,-1,184,0,1
25000,183,183,240.4108108108108,238.4,0.6864864864864865,0.6864864864864865,332,Infinity,-1,0.04371584699453552,-1,183,0,1
30000,184,184,242.95580110497238,240.95027624309392,0.7679558011049724,0.7679558011049724,332,Infinity,-1,0.043478260869565216,-1,184,0,1
35000,184,184,239.08064516129033,237.08602150537635,0.7634408602150538,0.7634408602150538,332,Infinity,-1,0.043478260869565216,-1,184,0,1
40000,183,183,239.75409836065575,237.7377049180328,0.7431693989071039,0.7431693989071039,332,Infinity,-1,0.07103825136612021,-1,183,0,1
45000,184,184,238.80769230769232,236.7912087912088,0.7527472527472527,0.7527472527472527,332,Infinity,-1,0.04891304347826087,-1,184,0,1
50000,183,183,245.22826086956522,243.2173913043478,0.7880434782608695,0.7880434782608695,332,Infinity,-1,0.0273224043715847,-1,183,0,1
55000,184,184,241.8054054054054,239.8054054054054,0.7621621621621621,0.7621621621621621,332,Infinity,-1,0.03260869565217391,-1,184,0,1
60000,184,184,238.56830601092895,236.54644808743168,0.7103825136612022,0.7103825136612022,332,Infinity,-1,0.06521739130434782,-1,184,0,1
65000,183,183,244.55494505494505,242.55494505494505,0.7472527472527473,0.7472527472527473,332,Infinity,-1,0.01092896174863388,-1,183,0,1
70000,184,184,239.17837837837837,237.16216216216216,0.7567567567567568,0.7567567567567568,332,Infinity,-1,0.059782608695652176,-1,184,0,1
75000,183,183,239.04371584699453,237.04371584699453,0.7540983606557377,0.7540983606557377,332,Infinity,-1,0.02185792349726776,-1,183,0,1
80000,184,184,237.66304347826087,235.66304347826087,0.7445652173913043,0.7445652173913043,332,Infinity,-1,0.02717391304347826,-1,184,0,1
85000,184,183,239.04371584699453,237.04371584699453,0.6065573770491803,0.6065573770491803,332,Infinity,-1,0.0273224043715847,-1,184,0,1
90000,183,184,245.48108108108107,243.48648648648648,0.6702702702702703,0.6702702702702703,332,Infinity,-1,0.043478260869565216,-1,183,0,1
95000,184,184,242.27868852459017,240.26775956284152,0.6994535519125683,0.6994535519125683,332,Infinity,-1,0.043478260869565216,-1,184,0,1
100000,183,183,241.6120218579235,239.60655737704917,0.6284153005464481,0.6284153005464481,332,Infinity,-1,0.04918032786885246,-1,183,0,1
105000,184,184,238.32608695652175,236.31521739130434,0.6467391304347826,0.6467391304347826,332,Infinity,-1,0.043478260869565216,-1,184,0,1
110000,184,183,247.6,245.59459459459458,0.6378378378378379,0.6378378378378379,332,Infinity,-1,0.0546448087431694,-1,183,0,1
115000,183,184,235.82417582417582,233.82417582417582,0.6813186813186813,0.6813186813186813,332,Infinity,-1,0.03804347826086957,-1,184,0,1
120000,184,184,237.2513661202186,235.24043715846994,0.6721311475409836,0.6721311475409836,332,Infinity,-1,0.03260869565217391,-1,184,0,1
125000,183,183,239.54594594594596,237.54054054054055,0.6378378378378379,0.6378378378378379,332,Infinity,-1,0.04918032786885246,-1,183,0,1
130000,184,184,236.63934426229508,234.63387978142077,0.6338797814207651,0.6338797814207651,332,Infinity,-1,0.043478260869565216,-1,184,0,1
135000,183,183,239.08695652173913,237.07065217391303,0.6521739130434783,0.6521739130434783,332,Infinity,-1,0.04371584699453552,-1,183,0,1
140000,184,184,244.45604395604394,242.44505494505495,0.6813186813186813,0.6813186813186813,332,Infinity,-1,0.04891304347826087,-1,184,0,1
145000,184,184,242.84864864864866,240.82702702702701,0.6054054054054054,0.6054054054054054,332,Infinity,-1,0.04891304347826087,-1,184,0,1
150000,183,183,240.22826086956522,238.2173913043478,0.6521739130434783,0.6521739130434783,332,Infinity,-1,0.0273224043715847,-1,183,0,1
155000,184,184,235.8901098901099,233.87912087912088,0.6373626373626373,0.6373626373626373,332,Infinity,-1,0.03804347826086957,-1,184,0,1
160000,183,183,244.57065217391303,242.56521739130434,0.6521739130434783,0.6521739130434783,332,Infinity,-1,0.03825136612021858,-1,183,0,1
165000,184,184,237.42702702702704,235.42162162162163,0.6108108108108108,0.6108108108108108,332,Infinity,-1,0.05434782608695652,-1,184,0,1
170000,184,184,240.56284153005464,238.55737704918033,0.5683060109289617,0.5683060109289617,332,Infinity,-1,0.059782608695652176,-1,184,0,1
175000,183,183,241.07103825136613,239.0601092896175,0.7103825136612022,0.7103825136612022,332,Infinity,-1,0.06557377049180328,-1,183,0,1
180000,184,184,237.02185792349727,235.02185792349727,0.5355191256830601,0.5355191256830601,332,Infinity,-1,0.03260869565217391,-1,184,0,1
185000,183,183,240.95135135135135,238.94594594594594,0.6756756756756757,0.6756756756756757,332,Infinity,-1,0.03825136612021858,-1,183,0,1
190000,184,184,240.41988950276243,238.40883977900552,0.6132596685082873,0.6132596685082873,332,Infinity,-1,0.04891304347826087,-1,184,0,1
195000,184,184,239.6451612903226,237.6236559139785,0.7258064516129032,0.7258064516129032,332,Infinity,-1,0.043478260869565216,-1,184,0,1
200000,183,183,243.14207650273224,241.13661202185793,0.6721311475409836,0.6721311475409836,332,Infinity,-1,0.0273224043715847,-1,183,0,1
205000,184,184,240.61748633879782,238.61748633879782,0.6830601092896175,0.6830601092896175,332,Infinity,-1,0.016304347826086956,-1,184,0,1
210000,183,183,238.4891304347826,236.47826086956522,0.6413043478260869,0.6413043478260869,332,Infinity,-1,0.0273224043715847,-1,183,0,1
215000,184,184,242.83243243243243,240.82702702702701,0.6324324324324324,0.6324324324324324,332,Infinity,-1,0.07608695652173914,-1,184,0,1
220000,184,184,236.3224043715847,234.31147540983608,0.6229508196721312,0.6229508196721312,332,Infinity,-1,0.04891304347826087,-1,184,0,1
225000,183,183,237.76216216216216,235.75135135135136,0.5513513513513514,0.5513513513513514,332,Infinity,-1,0.01639344262295082,-1,183,0,1
230000,184,184,234.94505494505495,232.93406593406593,0.6153846153846154,0.6153846153846154,332,Infinity,-1,0.05434782608695652,-1,184,0,1
235000,183,183,240.91847826086956,238.91304347826087,0.6521739130434783,0.6521739130434783,332,Infinity,-1,0.03825136612021858,-1,183,0,1
240000,184,184,240.71195652173913,238.69021739130434,0.657608695652174,0.657608695652174,332,Infinity,-1,0.03260869565217391,-1,184,0,1
245000,184,183,241.28961748633878,239.28415300546447,0.6612021857923497,0.6612021857923497,332,Infinity,-1,0.04371584699453552,-1,184,0,1
250000,183,184,239.01098901098902,237.0054945054945,0.6648351648351648,0.6648351648351648,332,Infinity,-1,0.021739130434782608,-1,183,0,1
255000,184,184,243.6972972972973,241.6972972972973,0.6486486486486487,0.6486486486486487,332,Infinity,-1,0.03260869565217391,-1,184,0,1
260000,183,183,239.4065934065934,237.3956043956044,0.6923076923076923,0.6923076923076923,332,Infinity,-1,0.04918032786885246,-1,183,0,1
265000,184,184,241.3783783783784,239.3783783783784,0.6378378378378379,0.6378378378378379,332,Infinity,-1,0.043478260869565216,-1,184,0,1
270000,184,183,236.10326086956522,234.08695652173913,0.6521739130434783,0.6521739130434783,332,Infinity,-1,0.03825136612021858,-1,183,0,1
