tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,212,212,2.061320754716981,747.754189944134,0.03773584905660377,0.7597765363128491,67,Infinity,-1,0.8679245283018868,-1,212,0,1
10000,212,212,2.0283018867924527,756.6214953271028,0.10377358490566038,0.8177570093457944,67,Infinity,-1,0.9009433962264151,-1,212,0,1
15000,212,211,2.042452830188679,750.1184834123222,0.1509433962264151,0.7677725118483413,67,Infinity,-1,0.9004739336492891,-1,212,0,1
20000,211,212,2.0473933649289098,747.7251184834123,0.2890995260663507,0.8056872037914692,67,Infinity,-1,0.8584905660377359,-1,211,0,1
25000,212,212,2.042452830188679,746.7370892018779,0.3867924528301887,0.8356807511737089,67,Infinity,-1,0.8915094339622641,-1,212,0,1
30000,212,212,2.047169811320755,748.4009433962265,0.41037735849056606,0.7924528301886793,67,Infinity,-1,0.9009433962264151,-1,212,0,1
35000,211,211,2.075829383886256,747.4190476190477,0.4976303317535545,0.7761904761904762,67,Infinity,-1,0.8672985781990521,-1,211,0,1
40000,212,212,2.0377358490566038,744.9575471698113,0.46226415094339623,0.7358490566037735,67,Infinity,-1,0.8962264150943396,-1,212,0,1
45000,212,212,2.042452830188679,747.0141509433962,0.5094339622641509,0.8018867924528302,67,Infinity,-1,0.9009433962264151,-1,212,0,1
50000,212,212,2.042452830188679,754.7772511848341,0.5094339622641509,0.7962085308056872,67,Infinity,-1,0.8773584905660378,-1,212,0,1
55000,211,211,2.0331753554502368,745.7196261682243,0.5545023696682464,0.7570093457943925,67,Infinity,-1,0.909952606635071,-1,211,0,1
60000,212,212,2.0235849056603774,746.0666666666667,0.47641509433962265,0.7666666666666667,67,Infinity,-1,0.9245283018867925,-1,212,0,1
65000,212,212,2.0235849056603774,750.2383177570093,0.5330188679245284,0.780373831775701,67,Infinity,-1,0.9245283018867925,-1,212,0,1
70000,212,211,2.037914691943128,746.8443396226415,0.5260663507109005,0.7594339622641509,67,Infinity,-1,0.919431279620853,-1,211,0,1
75000,211,212,2.0330188679245285,753.504761904762,0.5754716981132075,0.780952380952381,67,Infinity,-1,0.9056603773584906,-1,212,0,1
80000,212,212,2.0330188679245285,746.2095238095238,0.5613207547169812,0.7571428571428571,67,Infinity,-1,0.839622641509434,-1,212,0,1
85000,212,212,2.0283018867924527,750.2663551401869,0.589622641509434,0.9345794392523364,67,Infinity,-1,0.9009433962264151,-1,212,0,1
90000,211,211,2.037914691943128,747.3192488262911,0.5734597156398105,0.9295774647887324,67,Infinity,-1,0.9383886255924171,-1,211,0,1
95000,212,212,2.061320754716981,748.8612440191388,0.5141509433962265,0.9521531100478469,67,Infinity,-1,0.8820754716981132,-1,212,0,1
100000,212,212,2.05188679245283,749.2641509433962,0.4811320754716981,0.9339622641509434,67,Infinity,-1,0.9150943396226415,-1,212,0,1
105000,212,211,2.037914691943128,740.7971698113207,0.5497630331753555,0.9150943396226415,67,Infinity,-1,0.9052132701421801,-1,211,0,1
110000,211,212,2.047169811320755,747.3896713615023,0.5660377358490566,0.9248826291079812,67,Infinity,-1,0.8773584905660378,-1,212,0,1
115000,212,212,2.0377358490566038,749.0473933649289,0.5613207547169812,0.9241706161137441,67,Infinity,-1,0.8962264150943396,-1,212,0,1
120000,212,212,2.056603773584906,744.7725118483412,0.5613207547169812,0.9241706161137441,67,Infinity,-1,0.8867924528301887,-1,212,0,1
125000,211,211,2.0331753554502368,751.6556603773585,0.5402843601895735,0.9198113207547169,67,Infinity,-1,0.8909952606635071,-1,211,0,1
130000,212,212,2.0235849056603774,749.7203791469194,0.5235849056603774,0.9289099526066351,67,Infinity,-1,0.8773584905660378,-1,212,0,1
135000,212,212,2.047169811320755,750.0328638497652,0.5235849056603774,0.9389671361502347,67,Infinity,-1,0.8820754716981132,-1,212,0,1
140000,212,211,2.056872037914692,748.1611374407582,0.5260663507109005,0.9289099526066351,67,Infinity,-1,0.8767772511848341,-1,211,0,1
145000,211,212,2.0047169811320753,751.3601895734597,0.5377358490566038,0.943127962085308,67,Infinity,-1,0.910377358490566,-1,212,0,1
150000,212,212,2.047169811320755,749.6556603773585,0.5471698113207547,0.9198113207547169,67,Infinity,-1,0.8915094339622641,-1,212,0,1
155000,212,212,2.047169811320755,746.1784037558685,0.5424528301886793,0.9014084507042254,67,Infinity,-1,0.8915094339622641,-1,212,0,1
160000,211,211,2.0473933649289098,750.7894736842105,0.5071090047393365,0.8947368421052632,67,Infinity,-1,0.8720379146919431,-1,211,0,1
165000,212,212,2.056603773584906,746.3661971830986,0.5471698113207547,0.892018779342723,67,Infinity,-1,0.8820754716981132,-1,212,0,1
170000,212,212,2.0330188679245285,749.6478873239437,0.5330188679245284,0.9483568075117371,67,Infinity,-1,0.8915094339622641,-1,212,0,1
175000,212,211,2.0377358490566038,744.5619047619048,0.5707547169811321,0.9047619047619048,67,Infinity,-1,0.919431279620853,-1,212,0,1
180000,211,212,2.0331753554502368,745.9292452830189,0.5876777251184834,0.9150943396226415,67,Infinity,-1,0.910377358490566,-1,211,0,1
185000,212,212,2.042452830188679,749.2253521126761,0.5424528301886793,0.92018779342723,67,Infinity,-1,0.8726415094339622,-1,212,0,1
190000,212,212,2.0377358490566038,750.8293838862559,0.5801886792452831,0.9383886255924171,67,Infinity,-1,0.9009433962264151,-1,212,0,1
195000,211,211,2.066350710900474,752.2904761904762,0.4597156398104265,0.9380952380952381,67,Infinity,-1,0.8720379146919431,-1,211,0,1
200000,212,212,2.018867924528302,748.9766355140187,0.5566037735849056,0.9065420560747663,67,Infinity,-1,0.9292452830188679,-1,212,0,1
205000,212,212,2.0377358490566038,745.824644549763,0.5518867924528302,0.9383886255924171,67,Infinity,-1,0.8915094339622641,-1,212,0,1
210000,212,212,2.0330188679245285,745.9905660377359,0.5141509433962265,0.9433962264150944,67,Infinity,-1,0.9056603773584906,-1,212,0,1
215000,211,211,2.037914691943128,746.5471698113207,0.5592417061611374,0.9245283018867925,67,Infinity,-1,0.933649289099526,-1,211,0,1
220000,212,212,2.0235849056603774,746.5904761904762,0.5330188679245284,0.9571428571428572,67,Infinity,-1,0.9198113207547169,-1,212,0,1
225000,212,212,2.0660377358490565,749.9107981220657,0.5283018867924528,0.9061032863849765,67,Infinity,-1,0.8915094339622641,-1,212,0,1
230000,212,211,2.052132701421801,749.8915094339623,0.5308056872037915,0.9575471698113207,67,Infinity,-1,0.8909952606635071,-1,211,0,1
235000,211,212,2.0707547169811322,746.8388625592418,0.5613207547169812,0.9289099526066351,67,Infinity,-1,0.8820754716981132,-1,212,0,1
