tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,62,140,1233.795918367347,513.0472440944882,0.5306122448979592,0.2047244094488189,199,Infinity,-1,0.9714285714285714,-1,140,0,1.8031496062992125
10000,62,145,1220.140350877193,519.6071428571429,0.6842105263157895,0.2785714285714286,199,Infinity,-1,0.9793103448275862,-1,145,0,1.792857142857143
15000,62,129,1094.1029411764705,517.1333333333333,0.6176470588235294,0.3111111111111111,199,Infinity,-1,0.9922480620155039,-1,129,0,1.7851851851851852
20000,61,146,1243.9122807017543,513.1267605633802,0.49122807017543857,0.19718309859154928,199,Infinity,-1,0.9863013698630136,-1,146,0,1.8169014084507042
25000,62,135,1139.59375,520.7226277372263,0.671875,0.31386861313868614,199,Infinity,-1,1,-1,135,0,1.7664233576642336
30000,62,140,1152.0967741935483,518.6428571428571,0.5806451612903226,0.2571428571428571,199,Infinity,-1,0.9928571428571429,-1,140,0,1.7857142857142858
35000,62,136,1166.9661016949153,515.5074626865671,0.6610169491525424,0.291044776119403,199,Infinity,-1,0.9558823529411765,-1,136,0,1.791044776119403
40000,61,139,1168.0454545454545,518.8531468531469,0.6666666666666666,0.3076923076923077,199,Infinity,-1,0.9784172661870504,-1,139,0,1.8181818181818181
45000,62,138,1150.859649122807,514.7293233082706,0.7192982456140351,0.3082706766917293,199,Infinity,-1,0.9782608695652174,-1,138,0,1.744360902255639
50000,62,151,1288.4761904761904,522.9078947368421,0.5555555555555556,0.23026315789473684,199,Infinity,-1,0.9801324503311258,-1,151,0,1.8486842105263157
55000,61,149,1265.2,516.7027027027027,0.55,0.22297297297297297,199,Infinity,-1,0.9731543624161074,-1,149,0,1.8175675675675675
60000,62,145,1229.3692307692309,523.4324324324324,0.5230769230769231,0.22972972972972974,199,Infinity,-1,0.9862068965517241,-1,145,0,1.837837837837838
65000,62,147,1239.3333333333333,517.648275862069,0.55,0.22758620689655173,199,Infinity,-1,0.9455782312925171,-1,147,0,1.806896551724138
70000,62,136,1136.484375,516.8913043478261,0.609375,0.2826086956521739,199,Infinity,-1,1,-1,136,0,1.7826086956521738
75000,61,148,1271.016129032258,520.0872483221476,0.5,0.2080536912751678,199,Infinity,-1,1,-1,148,0,1.8456375838926173
80000,62,144,1211.6984126984128,518.8413793103448,0.5555555555555556,0.2413793103448276,199,Infinity,-1,1,-1,144,0,1.806896551724138
85000,62,165,1384.6607142857142,514.1823899371069,0.23214285714285715,0.08176100628930817,199,Infinity,-1,1,-1,165,0,1.89937106918239
90000,61,171,1422.5396825396826,512.1676300578034,0.25396825396825395,0.09248554913294797,199,Infinity,-1,0.9883040935672515,-1,171,0,1.9421965317919074
95000,62,174,1464.6896551724137,517.8294117647059,0.13793103448275862,0.047058823529411764,199,Infinity,-1,0.9655172413793104,-1,174,0,1.9470588235294117
100000,62,174,1474.046875,520.4488636363636,0.171875,0.0625,199,Infinity,-1,0.9827586206896551,-1,174,0,1.9772727272727273
105000,62,171,1453.016129032258,523.2573099415205,0.24193548387096775,0.08771929824561403,199,Infinity,-1,0.9824561403508771,-1,171,0,1.9415204678362572
110000,61,172,1426.7377049180327,514.703488372093,0.26229508196721313,0.09302325581395349,199,Infinity,-1,0.9767441860465116,-1,172,0,1.936046511627907
115000,62,170,1426.8125,518.4418604651163,0.234375,0.0872093023255814,199,Infinity,-1,1,-1,170,0,1.9534883720930232
120000,62,171,1462.406779661017,515.4583333333334,0.1864406779661017,0.06547619047619048,199,Infinity,-1,0.9298245614035088,-1,171,0,1.9464285714285714
125000,61,175,1467.3064516129032,519.9659090909091,0.1774193548387097,0.0625,199,Infinity,-1,0.9828571428571429,-1,175,0,1.9545454545454546
130000,62,173,1473.9354838709678,523.6994219653179,0.16129032258064516,0.057803468208092484,199,Infinity,-1,0.9710982658959537,-1,173,0,1.9479768786127167
135000,62,165,1404.27868852459,519.8048780487804,0.2786885245901639,0.10365853658536585,199,Infinity,-1,1,-1,165,0,1.9329268292682926
140000,62,177,1472.8852459016393,517.0056818181819,0.18032786885245902,0.0625,199,Infinity,-1,1,-1,177,0,1.9488636363636365
145000,61,168,1399.765625,515.6081871345029,0.265625,0.09941520467836257,199,Infinity,-1,0.9821428571428571,-1,168,0,1.9298245614035088
150000,62,173,1491.8333333333333,521.9883040935673,0.15,0.05263157894736842,199,Infinity,-1,0.9479768786127167,-1,173,0,1.95906432748538
155000,62,168,1393.9692307692308,515.8421052631579,0.2153846153846154,0.08187134502923976,199,Infinity,-1,1,-1,168,0,1.9415204678362572
160000,61,169,1447.4237288135594,517.4011976047905,0.2033898305084746,0.0718562874251497,199,Infinity,-1,1,-1,169,0,1.9401197604790419
165000,62,179,1520.241935483871,520.659217877095,0.11290322580645161,0.03910614525139665,199,Infinity,-1,0.9720670391061452,-1,179,0,1.988826815642458
170000,62,182,1521.4833333333333,518.5166666666667,0.08333333333333333,0.027777777777777776,199,Infinity,-1,0.9505494505494505,-1,182,0,1.9722222222222223
175000,62,174,1473.3809523809523,521.3028571428572,0.1746031746031746,0.06285714285714286,199,Infinity,-1,0.9770114942528736,-1,174,0,1.9542857142857142
180000,61,173,1479.3492063492063,520.6342857142857,0.14285714285714285,0.05142857142857143,199,Infinity,-1,0.9942196531791907,-1,173,0,1.977142857142857
185000,62,176,1475.4,520.528735632184,0.18333333333333332,0.06321839080459771,199,Infinity,-1,0.9431818181818182,-1,176,0,1.9310344827586208
190000,62,174,1463.3809523809523,517.4914285714286,0.2222222222222222,0.08,199,Infinity,-1,0.9770114942528736,-1,174,0,1.9714285714285715
195000,62,173,1473.8032786885246,517.3583815028902,0.19672131147540983,0.06936416184971098,199,Infinity,-1,0.9826589595375722,-1,173,0,1.9653179190751444
200000,61,178,1489.516129032258,518.2303370786517,0.16129032258064516,0.056179775280898875,199,Infinity,-1,0.9775280898876404,-1,178,0,1.9606741573033708
205000,62,176,1482.049180327869,519.1828571428572,0.21311475409836064,0.07428571428571429,199,Infinity,-1,0.9715909090909091,-1,176,0,1.9542857142857142
210000,62,176,1472.0967741935483,515.1420454545455,0.1774193548387097,0.0625,199,Infinity,-1,0.9545454545454546,-1,176,0,1.9602272727272727
215000,61,162,1378.904761904762,520.2439024390244,0.23809523809523808,0.09146341463414634,199,Infinity,-1,0.9938271604938271,-1,162,0,1.920731707317073
220000,62,169,1432.4516129032259,518.6117647058824,0.2903225806451613,0.10588235294117647,199,Infinity,-1,0.9349112426035503,-1,170,0,1.9352941176470588
225000,62,171,1453.311475409836,520.6213017751479,0.22950819672131148,0.08284023668639054,199,Infinity,-1,1,-1,170,0,1.9585798816568047
230000,62,179,1505.4032258064517,520.2346368715084,0.16129032258064516,0.055865921787709494,199,Infinity,-1,1,-1,179,0,1.9832402234636872
235000,61,170,1450.532258064516,518.6783625730994,0.16129032258064516,0.05847953216374269,199,Infinity,-1,0.9647058823529412,-1,170,0,1.9532163742690059
240000,62,175,1461.2203389830509,517.453488372093,0.1694915254237288,0.05813953488372093,199,Infinity,-1,0.9657142857142857,-1,175,0,1.941860465116279
245000,62,180,1501.936507936508,519.3204419889503,0.14285714285714285,0.049723756906077346,199,Infinity,-1,0.9555555555555556,-1,180,0,1.9834254143646408
250000,61,165,1410.0819672131147,518.3272727272728,0.26229508196721313,0.09696969696969697,199,Infinity,-1,0.9575757575757575,-1,165,0,1.9272727272727272
255000,62,176,1475.6290322580646,516.8238636363636,0.1935483870967742,0.06818181818181818,199,Infinity,-1,1,-1,176,0,1.9715909090909092
260000,62,162,1348.6461538461538,518.6121212121212,0.3230769230769231,0.12727272727272726,199,Infinity,-1,0.9691358024691358,-1,162,0,1.9090909090909092
265000,62,171,1456.948275862069,517.8862275449102,0.25862068965517243,0.08982035928143713,199,Infinity,-1,0.9766081871345029,-1,171,0,1.9341317365269461
270000,61,172,1454.65625,514.2571428571429,0.203125,0.07428571428571429,199,Infinity,-1,0.9883720930232558,-1,172,0,1.9657142857142857
