tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,149,164,144.08333333333334,126.84905660377359,0.9930555555555556,0.89937106918239,492,Infinity,-1,0.8841463414634146,-1,164,0,1.10062893081761
10000,148,163,146.27631578947367,129.50299401197606,1,0.9101796407185628,492,Infinity,-1,0.8895705521472392,-1,163,0,1.1017964071856288
15000,149,164,142.8843537414966,125.99382716049382,1,0.9074074074074074,492,Infinity,-1,0.8963414634146342,-1,164,0,1.0987654320987654
20000,148,165,141.65986394557822,124.64024390243902,1,0.8963414634146342,492,Infinity,-1,0.9393939393939394,-1,165,0,1.1097560975609757
25000,149,179,157.67567567567568,127.28651685393258,1,0.8314606741573034,492,Infinity,-1,0.88268156424581,-1,179,0,1.196629213483146
30000,148,164,143.46666666666667,125.58433734939759,0.9933333333333333,0.8975903614457831,492,Infinity,-1,0.8719512195121951,-1,164,0,1.1024096385542168
35000,149,160,148.41496598639455,133.0314465408805,1,0.9245283018867925,492,Infinity,-1,0.9375,-1,160,0,1.0880503144654088
40000,148,177,155.6979865771812,127.57303370786516,1,0.8370786516853933,492,Infinity,-1,0.9096045197740112,-1,178,0,1.1685393258426966
45000,148,171,150.63758389261744,127.04093567251462,0.9932885906040269,0.8654970760233918,492,Infinity,-1,0.8771929824561403,-1,170,0,1.1578947368421053
50000,149,174,156.15540540540542,130.0693641618497,1,0.8554913294797688,492,Infinity,-1,0.867816091954023,-1,174,0,1.1676300578034682
55000,148,159,152.33783783783784,139.1572327044025,1,0.9308176100628931,492,Infinity,-1,0.9119496855345912,-1,159,0,1.069182389937107
60000,149,164,146.73825503355704,128.59756097560975,1,0.9085365853658537,492,Infinity,-1,0.9451219512195121,-1,164,0,1.0975609756097562
65000,148,165,140.8310810810811,123.30909090909091,1,0.896969696969697,492,Infinity,-1,0.8848484848484849,-1,165,0,1.121212121212121
70000,149,168,147.28378378378378,127.22155688622755,1,0.8862275449101796,492,Infinity,-1,0.8571428571428571,-1,168,0,1.1197604790419162
75000,148,165,143.51351351351352,124.19393939393939,1,0.896969696969697,492,Infinity,-1,0.8727272727272727,-1,165,0,1.1272727272727272
80000,148,163,145.3310810810811,128.29447852760737,1,0.9079754601226994,492,Infinity,-1,0.8711656441717791,-1,163,0,1.0920245398773005
85000,149,368,315.44594594594594,125.46594005449592,0.4864864864864865,0.19618528610354224,492,Infinity,-1,0.8125,-1,368,0,1.8664850136239781
90000,148,369,310.90344827586205,123.12021857923497,0.4413793103448276,0.17486338797814208,492,Infinity,-1,0.8021680216802168,-1,369,0,1.8579234972677596
95000,149,369,321.00666666666666,127.1054054054054,0.4066666666666667,0.16486486486486487,492,Infinity,-1,0.8102981029810298,-1,369,0,1.8621621621621622
100000,148,360,317.0810810810811,127.93888888888888,0.5202702702702703,0.21388888888888888,492,Infinity,-1,0.7777777777777778,-1,360,0,1.85
105000,149,378,336.3013698630137,130.57333333333332,0.4452054794520548,0.17333333333333334,492,Infinity,-1,0.7724867724867724,-1,378,0,1.8746666666666667
110000,148,373,322.9261744966443,126.47058823529412,0.38926174496644295,0.15508021390374332,492,Infinity,-1,0.8284182305630027,-1,373,0,1.8796791443850267
115000,149,374,325.1496598639456,127.32975871313673,0.4013605442176871,0.1581769436997319,492,Infinity,-1,0.8021390374331551,-1,374,0,1.8793565683646112
120000,148,375,325.25165562913907,126.72679045092838,0.3973509933774834,0.15915119363395225,492,Infinity,-1,0.776,-1,375,0,1.8832891246684351
125000,148,370,325.4295302013423,127.911051212938,0.40939597315436244,0.16442048517520216,492,Infinity,-1,0.8054054054054054,-1,370,0,1.8733153638814015
130000,149,382,334.5472972972973,128.56430446194227,0.42567567567567566,0.16535433070866143,492,Infinity,-1,0.8455497382198953,-1,382,0,1.874015748031496
135000,148,367,323.14864864864865,128.09536784741144,0.4864864864864865,0.19618528610354224,492,Infinity,-1,0.8119891008174387,-1,367,0,1.8664850136239781
140000,149,378,336.0067567567568,130.0318302387268,0.4189189189189189,0.16445623342175067,492,Infinity,-1,0.8015873015873016,-1,378,0,1.8779840848806366
145000,148,376,324.312925170068,126.67733333333334,0.46938775510204084,0.184,492,Infinity,-1,0.773936170212766,-1,376,0,1.872
150000,149,379,341.7432432432432,130.33068783068782,0.39864864864864863,0.15608465608465608,492,Infinity,-1,0.7572559366754618,-1,379,0,1.8915343915343916
155000,148,375,327.317880794702,127.2010582010582,0.4304635761589404,0.17195767195767195,492,Infinity,-1,0.8533333333333334,-1,375,0,1.8703703703703705
160000,148,384,336.93333333333334,129.07512953367876,0.36666666666666664,0.14248704663212436,492,Infinity,-1,0.7760416666666666,-1,384,0,1.8860103626943006
165000,149,371,319.26027397260276,125.66847826086956,0.4246575342465753,0.16847826086956522,492,Infinity,-1,0.7412398921832885,-1,371,0,1.872282608695652
170000,148,358,309.0337837837838,125.94134078212291,0.47297297297297297,0.19553072625698323,492,Infinity,-1,0.8156424581005587,-1,358,0,1.8547486033519553
175000,149,373,333.0133333333333,130.25333333333333,0.4066666666666667,0.16266666666666665,492,Infinity,-1,0.8096514745308311,-1,374,0,1.8853333333333333
180000,148,376,329.2866666666667,127.2989417989418,0.43333333333333335,0.17195767195767195,492,Infinity,-1,0.848404255319149,-1,376,0,1.8862433862433863
185000,149,369,323.05479452054794,127.98356164383561,0.4657534246575342,0.1863013698630137,492,Infinity,-1,0.7777777777777778,-1,368,0,1.8575342465753424
190000,148,372,323.00666666666666,127.94652406417113,0.44,0.17647058823529413,492,Infinity,-1,0.7688172043010753,-1,372,0,1.8663101604278074
195000,149,371,329.95205479452056,128.67750677506774,0.4657534246575342,0.1842818428184282,492,Infinity,-1,0.7331536388140162,-1,371,0,1.867208672086721
200000,148,370,324.3378378378378,128.61246612466124,0.44594594594594594,0.17886178861788618,492,Infinity,-1,0.8405405405405405,-1,370,0,1.8699186991869918
205000,148,374,339.5337837837838,131.728,0.38513513513513514,0.152,492,Infinity,-1,0.8342245989304813,-1,375,0,1.8666666666666667
210000,149,386,337.04,128.25647668393782,0.3933333333333333,0.15284974093264247,492,Infinity,-1,0.7357512953367875,-1,385,0,1.9041450777202074
215000,148,381,333.76510067114094,128.12565445026178,0.44966442953020136,0.17539267015706805,492,Infinity,-1,0.7375328083989501,-1,381,0,1.8769633507853403
220000,149,364,309.2945205479452,124.99722991689751,0.4452054794520548,0.18005540166204986,492,Infinity,-1,0.8571428571428571,-1,364,0,1.8448753462603877
225000,148,355,322.1324503311258,131.75698324022346,0.4503311258278146,0.18994413407821228,492,Infinity,-1,0.8647887323943662,-1,355,0,1.8463687150837989
230000,149,376,327.08,126.83023872679045,0.36666666666666664,0.14588859416445624,492,Infinity,-1,0.773936170212766,-1,376,0,1.8859416445623343
235000,148,377,334.7687074829932,128.7127659574468,0.40816326530612246,0.1595744680851064,492,Infinity,-1,0.7771883289124668,-1,377,0,1.8856382978723405
240000,148,378,331.42758620689654,129.47466666666668,0.41379310344827586,0.16,492,Infinity,-1,0.8253968253968254,-1,378,0,1.8586666666666667
245000,149,371,328.48026315789474,128.6951871657754,0.47368421052631576,0.1925133689839572,492,Infinity,-1,0.7762803234501348,-1,371,0,1.8796791443850267
250000,148,369,333.4527027027027,132.4119241192412,0.5,0.2005420054200542,492,Infinity,-1,0.8075880758807588,-1,369,0,1.8617886178861789
255000,149,382,337.22297297297297,129.28083989501312,0.36486486486486486,0.14173228346456693,492,Infinity,-1,0.8167539267015707,-1,382,0,1.89501312335958
260000,148,366,335.4594594594595,132.34426229508196,0.3918918918918919,0.15846994535519127,492,Infinity,-1,0.8442622950819673,-1,366,0,1.8852459016393444
265000,149,388,339.8310810810811,128.63307493540051,0.39864864864864863,0.1524547803617571,492,Infinity,-1,0.7809278350515464,-1,388,0,1.8863049095607236
270000,148,370,327.39864864864865,128.82432432432432,0.43243243243243246,0.17297297297297298,492,Infinity,-1,0.827027027027027,-1,370,0,1.8810810810810812
275000,149,369,332.76510067114094,131.83243243243243,0.4429530201342282,0.1783783783783784,492,Infinity,-1,0.8075880758807588,-1,369,0,1.854054054054054
280000,148,375,329.2094594594595,129,0.3783783783783784,0.1497326203208556,492,Infinity,-1,0.7626666666666667,-1,375,0,1.8770053475935828
285000,148,371,315.4533333333333,123.47860962566845,0.41333333333333333,0.1657754010695187,492,Infinity,-1,0.8221024258760108,-1,372,0,1.874331550802139
290000,149,377,332.18791946308727,128.12234042553192,0.38926174496644295,0.15425531914893617,492,Infinity,-1,0.7798408488063661,-1,376,0,1.8909574468085106
295000,148,373,326.60135135135135,128.2278820375335,0.46621621621621623,0.18498659517426275,492,Infinity,-1,0.839142091152815,-1,373,0,1.8659517426273458
300000,149,374,326.3581081081081,128.18498659517425,0.4594594594594595,0.18230563002680966,492,Infinity,-1,0.8502673796791443,-1,374,0,1.8686327077747988
305000,148,378,331.5973154362416,127.42744063324538,0.42953020134228187,0.16886543535620052,492,Infinity,-1,0.798941798941799,-1,378,0,1.8970976253298153
310000,149,367,325.44594594594594,130.70218579234972,0.40540540540540543,0.16393442622950818,492,Infinity,-1,0.7956403269754768,-1,367,0,1.8579234972677596
315000,148,387,335.12666666666667,125.60925449871465,0.38666666666666666,0.14910025706940874,492,Infinity,-1,0.8294573643410853,-1,387,0,1.9125964010282777
320000,148,379,329.30405405405406,126.40633245382585,0.40540540540540543,0.158311345646438,492,Infinity,-1,0.7994722955145118,-1,379,0,1.8759894459102902
325000,149,368,324.74149659863946,129.4344262295082,0.4217687074829932,0.16939890710382513,492,Infinity,-1,0.7635869565217391,-1,368,0,1.8633879781420766
330000,148,363,313.02702702702703,125.61157024793388,0.46621621621621623,0.19008264462809918,492,Infinity,-1,0.7493112947658402,-1,363,0,1.8539944903581267
335000,149,382,335.64666666666665,128.48825065274153,0.38666666666666666,0.1514360313315927,492,Infinity,-1,0.7984293193717278,-1,382,0,1.8929503916449086
