tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,156,259,2.0384615384615383,682.5294117647059,0.019230769230769232,0.5294117647058824,402,Infinity,-1,0,-1,259,0,1.6832579185520362
10000,155,282,2.064516129032258,687.115107913669,0.12903225806451613,0.539568345323741,402,Infinity,-1,0,-1,282,0,1.7841726618705036
15000,156,291,2.0641025641025643,688.6484641638225,0.15384615384615385,0.5255972696245734,402,Infinity,-1,0.01718213058419244,-1,292,0,1.8532423208191127
20000,155,284,2.0580645161290323,687.7366548042704,0.25806451612903225,0.5373665480427047,402,Infinity,-1,0.01056338028169014,-1,283,0,1.8398576512455516
25000,156,294,2.076923076923077,689.1342281879195,0.28846153846153844,0.5268456375838926,402,Infinity,-1,0.003401360544217687,-1,294,0,1.936241610738255
30000,155,270,2.0838709677419356,690.6317689530686,0.3741935483870968,0.5848375451263538,402,Infinity,-1,0.011111111111111112,-1,270,0,1.7148014440433212
35000,156,280,2.0705128205128207,687.3175182481751,0.42948717948717946,0.5474452554744526,402,Infinity,-1,0.025,-1,280,0,1.7262773722627738
40000,155,285,2.0516129032258066,680.9858156028369,0.43870967741935485,0.5283687943262412,402,Infinity,-1,0.007017543859649123,-1,285,0,1.822695035460993
45000,156,275,2.076923076923077,688.8142857142857,0.5641025641025641,0.575,402,Infinity,-1,0.01090909090909091,-1,275,0,1.8071428571428572
50000,155,288,2.064516129032258,689.7482269503546,0.5096774193548387,0.5283687943262412,402,Infinity,-1,0.003472222222222222,-1,288,0,1.7872340425531914
55000,156,263,2.0576923076923075,690.8666666666667,0.5448717948717948,0.6,402,Infinity,-1,0.022813688212927757,-1,263,0,1.7148148148148148
60000,155,266,2.0516129032258066,686.9662921348314,0.5290322580645161,0.5767790262172284,402,Infinity,-1,0.007518796992481203,-1,266,0,1.7041198501872659
65000,156,268,2.1474358974358974,682.5655430711611,0.6153846153846154,0.5730337078651685,402,Infinity,-1,0.0037313432835820895,-1,268,0,1.6779026217228465
70000,155,281,2.1032258064516127,685.4601449275362,0.5483870967741935,0.5471014492753623,402,Infinity,-1,0.021352313167259787,-1,281,0,1.713768115942029
75000,156,275,2.0838709677419356,687.4669117647059,0.5935483870967742,0.5551470588235294,402,Infinity,-1,0.02181818181818182,-1,275,0,1.7647058823529411
80000,155,302,2.0833333333333335,686.0519480519481,0.5,0.5227272727272727,402,Infinity,-1,0.006622516556291391,-1,302,0,1.8668831168831168
85000,155,156,2.0580645161290323,689.6744186046511,0.567741935483871,0.9941860465116279,402,Infinity,-1,0.01282051282051282,-1,156,0,1.180232558139535
90000,156,157,2.051282051282051,689.7096774193549,0.5576923076923077,0.9935483870967742,402,Infinity,-1,0,-1,157,0,1
95000,155,155,2.0451612903225804,688.8974358974359,0.5612903225806452,1,402,Infinity,-1,0,-1,155,0,1.0064102564102564
100000,156,159,2.0448717948717947,686.375,0.5705128205128205,0.98125,402,Infinity,-1,0,-1,159,0,1.01875
105000,155,156,2.0387096774193547,681.7898089171974,0.5741935483870968,0.9936305732484076,402,Infinity,-1,0.00641025641025641,-1,156,0,1.0063694267515924
110000,156,158,2.0641025641025643,684.2820512820513,0.5192307692307693,0.9871794871794872,402,Infinity,-1,0.006329113924050633,-1,158,0,1.0064102564102564
115000,155,156,2.07741935483871,690.75,0.535483870967742,0.9935897435897436,402,Infinity,-1,0.00641025641025641,-1,156,0,1.0128205128205128
120000,156,156,2.051282051282051,686.2484076433121,0.5128205128205128,1,402,Infinity,-1,0.00641025641025641,-1,156,0,1
125000,155,159,2.064516129032258,684.71974522293,0.45161290322580644,0.9745222929936306,402,Infinity,-1,0,-1,159,0,1.0127388535031847
130000,156,159,2.019230769230769,685.716049382716,0.5512820512820513,0.9814814814814815,402,Infinity,-1,0,-1,159,0,1.0308641975308641
135000,155,155,2.07741935483871,690.7124183006536,0.5225806451612903,1,402,Infinity,-1,0,-1,155,0,1
140000,156,157,2.0641025641025643,682.1772151898734,0.5641025641025641,0.9873417721518988,402,Infinity,-1,0,-1,158,0,1.0126582278481013
145000,155,156,2.07741935483871,688.6987179487179,0.5612903225806452,1,402,Infinity,-1,0,-1,155,0,1
150000,156,156,2.07741935483871,690.1794871794872,0.4838709677419355,0.9935897435897436,402,Infinity,-1,0.00641025641025641,-1,156,0,1.0064102564102564
155000,155,157,2.0576923076923075,691.8461538461538,0.6089743589743589,0.9935897435897436,402,Infinity,-1,0.006369426751592357,-1,157,0,1.0064102564102564
160000,155,156,2.0903225806451613,689.6666666666666,0.5806451612903226,0.9935897435897436,402,Infinity,-1,0,-1,156,0,1.0064102564102564
165000,156,158,2.0384615384615383,686.7341772151899,0.5192307692307693,0.9873417721518988,402,Infinity,-1,0,-1,158,0,1.0063291139240507
170000,155,157,2.0838709677419356,686.8726114649681,0.6,0.9872611464968153,402,Infinity,-1,0,-1,157,0,1.0127388535031847
175000,156,156,2.0576923076923075,689.258064516129,0.5448717948717948,1,402,Infinity,-1,0,-1,156,0,1.0064516129032257
180000,155,156,2.0258064516129033,690.0886075949367,0.5290322580645161,0.9936708860759493,402,Infinity,-1,0,-1,156,0,1.0063291139240507
185000,156,157,2.0576923076923075,689.3461538461538,0.5128205128205128,0.9935897435897436,402,Infinity,-1,0,-1,157,0,1.0064102564102564
190000,155,156,2.0516129032258066,688.0632911392405,0.44516129032258067,0.9936708860759493,402,Infinity,-1,0.00641025641025641,-1,156,0,1.0063291139240507
195000,156,159,2.0384615384615383,685.3717948717949,0.5384615384615384,0.9807692307692307,402,Infinity,-1,0,-1,159,0,1.0064102564102564
200000,155,156,2.064516129032258,688.6962025316456,0.5161290322580645,0.9936708860759493,402,Infinity,-1,0,-1,156,0,1.018987341772152
205000,156,157,2.08974358974359,690.5483870967741,0.5705128205128205,0.9935483870967742,402,Infinity,-1,0,-1,157,0,1.0064516129032257
210000,155,157,2.064516129032258,681.7341772151899,0.47096774193548385,0.9873417721518988,402,Infinity,-1,0.012738853503184714,-1,157,0,1.0126582278481013
215000,156,156,2.0705128205128207,684.656050955414,0.532051282051282,1,402,Infinity,-1,0.00641025641025641,-1,156,0,1
220000,155,156,2.032258064516129,686.4551282051282,0.4967741935483871,0.9935897435897436,402,Infinity,-1,0.00641025641025641,-1,156,0,1.0064102564102564
225000,156,155,2.08974358974359,688.6209150326797,0.5064102564102564,1,402,Infinity,-1,0.012903225806451613,-1,155,0,1
230000,155,156,2.0838709677419356,685.4203821656051,0.4774193548387097,1,402,Infinity,-1,0.00641025641025641,-1,156,0,1
235000,156,158,2.07741935483871,681.2848101265823,0.5612903225806452,0.9810126582278481,402,Infinity,-1,0.012658227848101266,-1,158,0,1.018987341772152
240000,155,161,2.051282051282051,685.9813664596273,0.44871794871794873,0.968944099378882,402,Infinity,-1,0.006211180124223602,-1,161,0,1.031055900621118
245000,155,156,2.0516129032258066,687.493670886076,0.535483870967742,0.9936708860759493,402,Infinity,-1,0.00641025641025641,-1,156,0,1.0063291139240507
250000,156,157,2.051282051282051,690.2903225806451,0.48717948717948717,0.9935483870967742,402,Infinity,-1,0.006369426751592357,-1,157,0,1
255000,155,158,2.07741935483871,683.8860759493671,0.5096774193548387,0.9810126582278481,402,Infinity,-1,0.0189873417721519,-1,158,0,1.018987341772152
260000,156,157,2.032051282051282,681.9171974522293,0.5576923076923077,0.9936305732484076,402,Infinity,-1,0.006369426751592357,-1,157,0,1.0127388535031847
265000,155,156,2.0516129032258066,687.7133757961783,0.5870967741935483,0.9936305732484076,402,Infinity,-1,0.00641025641025641,-1,156,0,1.0063694267515924
270000,156,157,2.0384615384615383,687.6153846153846,0.48717948717948717,0.9935897435897436,402,Infinity,-1,0,-1,157,0,1.0064102564102564
275000,155,157,2.0838709677419356,685.5316455696203,0.4838709677419355,0.9873417721518988,402,Infinity,-1,0.006369426751592357,-1,157,0,1.0126582278481013
280000,156,157,2.032051282051282,688.5769230769231,0.5256410256410257,0.9935897435897436,402,Infinity,-1,0,-1,157,0,1.0064102564102564
285000,155,156,2.0387096774193547,688.2564102564103,0.535483870967742,0.9935897435897436,402,Infinity,-1,0,-1,156,0,1
290000,156,156,2.0641025641025643,691.3870967741935,0.5384615384615384,1,402,Infinity,-1,0,-1,156,0,1.0064516129032257
295000,155,155,2.0580645161290323,690.1794871794872,0.5419354838709678,1,402,Infinity,-1,0.012903225806451613,-1,155,0,1
300000,156,157,2.0448717948717947,691.7974683544304,0.4935897435897436,0.9936708860759493,402,Infinity,-1,0,-1,157,0,1.0063291139240507
305000,155,155,2.064516129032258,687.8903225806451,0.5612903225806452,1,402,Infinity,-1,0.0064516129032258064,-1,155,0,1
310000,156,156,2.064516129032258,687.6153846153846,0.567741935483871,0.9935897435897436,402,Infinity,-1,0,-1,156,0,1.0064102564102564
315000,155,158,2.032051282051282,690.6923076923077,0.47435897435897434,0.9871794871794872,402,Infinity,-1,0.012658227848101266,-1,158,0,1.0128205128205128
320000,155,157,2.0451612903225804,691.6792452830189,0.5806451612903226,0.9874213836477987,402,Infinity,-1,0,-1,157,0,1.0125786163522013
