tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,346,985,2.1705202312138727,166.47108307045215,0.06647398843930635,0.28601472134595163,242,Infinity,-1,0.07099391480730223,-1,986,0,2.5404837013669823
10000,345,995,2.1768115942028987,166.09145728643216,0.2,0.30452261306532663,242,Infinity,-1,0.10160965794768612,-1,994,0,2.521608040201005
15000,345,1002,2.118840579710145,168.35089463220675,0.32463768115942027,0.30218687872763417,242,Infinity,-1,0.07784431137724551,-1,1003,0,2.536779324055666
20000,346,981,2.1763005780346822,167.0948012232416,0.42196531791907516,0.30988786952089703,242,Infinity,-1,0.1019367991845056,-1,981,0,2.4750254841997963
25000,345,971,2.1942028985507247,167.93762993762994,0.518840579710145,0.316008316008316,242,Infinity,-1,0.11431513903192585,-1,970,0,2.422037422037422
30000,345,978,2.1478260869565218,166.3357142857143,0.48405797101449277,0.31020408163265306,242,Infinity,-1,0.1083844580777096,-1,978,0,2.556122448979592
35000,346,990,2.121739130434783,170.64112903225808,0.5391304347826087,0.30443548387096775,242,Infinity,-1,0.08585858585858586,-1,990,0,2.507056451612903
40000,345,983,2.1560693641618496,167.7622448979592,0.49421965317919075,0.3112244897959184,242,Infinity,-1,0.09766022380467955,-1,983,0,2.4979591836734696
45000,345,984,2.1565217391304348,166.43971631205673,0.5855072463768116,0.3211752786220871,242,Infinity,-1,0.0741869918699187,-1,984,0,2.4832826747720365
50000,346,987,2.1942028985507247,166.6090909090909,0.46956521739130436,0.298989898989899,242,Infinity,-1,0.10638297872340426,-1,987,0,2.5343434343434343
55000,345,1039,2.1820809248554913,167.72019230769232,0.523121387283237,0.2932692307692308,242,Infinity,-1,0.08565928777670838,-1,1039,0,2.541346153846154
60000,345,1040,2.1420289855072463,168.39461020211743,0.5101449275362319,0.29547641963426374,242,Infinity,-1,0.08173076923076923,-1,1040,0,2.5129932627526466
65000,345,1012,2.2,167.95841584158416,0.5449275362318841,0.30198019801980197,242,Infinity,-1,0.10573122529644269,-1,1013,0,2.5504950495049505
70000,346,1087,2.1820809248554913,168.1608133086876,0.5289017341040463,0.26709796672828096,242,Infinity,-1,0.12235510579576817,-1,1086,0,2.6247689463955637
75000,345,1064,2.1594202898550723,169.1474178403756,0.518840579710145,0.27981220657276995,242,Infinity,-1,0.11466165413533834,-1,1065,0,2.6215962441314553
80000,345,1066,2.1826086956521737,167.44817927170868,0.518840579710145,0.2857142857142857,242,Infinity,-1,0.12570356472795496,-1,1065,0,2.5835667600373484
85000,346,360,2.052023121387283,171.04450261780104,0.4653179190751445,0.9633507853403142,242,Infinity,-1,0.016666666666666666,-1,360,0,1.1596858638743455
90000,345,364,2.084057971014493,166.91735537190084,0.527536231884058,0.9476584022038568,242,Infinity,-1,0.027472527472527472,-1,364,0,1.0578512396694215
95000,345,366,2.072463768115942,165.7068493150685,0.5333333333333333,0.9424657534246575,242,Infinity,-1,0.03278688524590164,-1,366,0,1.0575342465753426
100000,346,359,2.086705202312139,166.6824512534819,0.5260115606936416,0.9637883008356546,242,Infinity,-1,0.03064066852367688,-1,359,0,1.0389972144846797
105000,345,360,2.0898550724637683,163.68333333333334,0.5304347826086957,0.9583333333333334,242,Infinity,-1,0.025,-1,360,0,1.05
110000,345,361,2.072463768115942,166.70958904109588,0.5014492753623189,0.9561643835616438,242,Infinity,-1,0.0221606648199446,-1,361,0,1.0438356164383562
115000,346,362,2.0869565217391304,168.54722222222222,0.5362318840579711,0.9527777777777777,242,Infinity,-1,0.022099447513812154,-1,362,0,1.0444444444444445
120000,345,371,2.092485549132948,166.6457765667575,0.5317919075144508,0.9318801089918256,242,Infinity,-1,0.013477088948787063,-1,371,0,1.0653950953678475
125000,345,364,2.072463768115942,169.4672131147541,0.5159420289855072,0.9480874316939891,242,Infinity,-1,0.027472527472527472,-1,364,0,1.0601092896174864
130000,346,363,2.092753623188406,165.62637362637363,0.5159420289855072,0.9505494505494505,242,Infinity,-1,0.027548209366391185,-1,363,0,1.0576923076923077
135000,345,365,2.0751445086705202,168.14835164835165,0.5115606936416185,0.9478021978021978,242,Infinity,-1,0.01643835616438356,-1,365,0,1.0521978021978022
140000,345,361,2.072463768115942,167.17777777777778,0.5043478260869565,0.9555555555555556,242,Infinity,-1,0.024930747922437674,-1,361,0,1.0472222222222223
