tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,125,163,813.8598130841121,619.4413793103448,0.9719626168224299,0.7172413793103448,500,Infinity,-1,0.9877300613496932,-1,163,0,1.282758620689655,1,0.9607843137254902,0.9655172413793104,731.9629629629629,791.7843137254902,936.7586206896551,NaN,NaN,NaN,NaN,NaN,NaN
10000,125,154,774.047619047619,612.858064516129,0.9920634920634921,0.8064516129032258,500,Infinity,-1,1,-1,154,0,1.232258064516129,1,0.9761904761904762,1,778.1428571428571,815.7380952380952,734.5238095238095,NaN,NaN,NaN,NaN,NaN,NaN
15000,125,154,743.7868852459017,614.0927152317881,1,0.8079470198675497,500,Infinity,-1,1,-1,154,0,1.1920529801324504,1,1,1,739.8205128205128,745.4054054054054,751.3913043478261,NaN,NaN,NaN,NaN,NaN,NaN
20000,125,162,810.6031746031746,615.8098159509202,1,0.7730061349693251,500,Infinity,-1,1,-1,162,0,1.2638036809815951,1,1,1,775.4782608695652,771.8333333333334,885.0227272727273,NaN,NaN,NaN,NaN,NaN,NaN
25000,125,165,820.1774193548387,620.109756097561,0.9838709677419355,0.7439024390243902,500,Infinity,-1,1,-1,165,0,1.2865853658536586,1,0.9714285714285714,0.9767441860465116,846.4565217391304,782.0571428571428,829.1627906976744,NaN,NaN,NaN,NaN,NaN,NaN
30000,125,172,859.432,621.6860465116279,0.976,0.7093023255813954,500,Infinity,-1,1,-1,172,0,1.3255813953488371,1,0.975609756097561,0.9534883720930233,913.9268292682926,903.7073170731708,771.3720930232558,NaN,NaN,NaN,NaN,NaN,NaN
35000,125,168,817.6666666666666,613.9096385542168,0.983739837398374,0.7289156626506024,500,Infinity,-1,1,-1,168,0,1.2951807228915662,0.9615384615384616,1,1,833.6346153846154,745.0882352941177,868.918918918919,NaN,NaN,NaN,NaN,NaN,NaN
40000,125,164,822.3174603174604,618.1757575757575,0.9841269841269841,0.7515151515151515,500,Infinity,-1,0.9939024390243902,-1,164,0,1.290909090909091,0.9761904761904762,1,0.9722222222222222,860.2619047619048,832.3541666666666,771.9444444444445,NaN,NaN,NaN,NaN,NaN,NaN
45000,125,177,882.1984126984127,617.4044943820224,0.9761904761904762,0.6910112359550562,500,Infinity,-1,1,-1,177,0,1.3707865168539326,1,0.9767441860465116,0.9545454545454546,839.6153846153846,904.9302325581396,903.7272727272727,NaN,NaN,NaN,NaN,NaN,NaN
50000,125,168,835.5983606557377,617.8121212121212,0.9918032786885246,0.7333333333333333,500,Infinity,-1,1,-1,168,0,1.290909090909091,1,1,0.9811320754716981,795.6388888888889,811.6969696969697,882.3584905660377,NaN,NaN,NaN,NaN,NaN,NaN
55000,125,159,800,619.3658536585366,0.9846153846153847,0.7804878048780488,500,Infinity,-1,1,-1,159,0,1.2804878048780488,1,0.9574468085106383,1,777.0333333333333,871.1489361702128,755.1132075471698,NaN,NaN,NaN,NaN,NaN,NaN
