tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,203,265,1.9950738916256157,205.3293650793651,0.054187192118226604,0.753968253968254,500,Infinity,-1,0.007547169811320755,-1,265,0,1.2817460317460319,0.07246376811594203,0.043478260869565216,0.046153846153846156,5,4.927536231884058,5,NaN,NaN,NaN,NaN,NaN,NaN
10000,202,265,2.014851485148515,208.6455223880597,0.12376237623762376,0.7649253731343284,500,Infinity,-1,0.007547169811320755,-1,265,0,1.328358208955224,0.14705882352941177,0.140625,0.08571428571428572,5,4.984375,5,NaN,NaN,NaN,NaN,NaN,NaN
15000,202,286,2.004950495049505,205.95774647887325,0.19801980198019803,0.704225352112676,500,Infinity,-1,0,-1,286,0,1.352112676056338,0.15384615384615385,0.25396825396825395,0.1891891891891892,4.953846153846154,5,4.972972972972973,NaN,NaN,NaN,NaN,NaN,NaN
20000,203,273,2.019704433497537,207.21323529411765,0.3399014778325123,0.7426470588235294,500,Infinity,-1,0.003663003663003663,-1,273,0,1.3566176470588236,0.45,0.24324324324324326,0.34782608695652173,4.983333333333333,5,5,NaN,NaN,NaN,NaN,NaN,NaN
25000,202,294,2.0247524752475248,210.55479452054794,0.4207920792079208,0.684931506849315,500,Infinity,-1,0.003401360544217687,-1,294,0,1.4075342465753424,0.3611111111111111,0.4626865671641791,0.4444444444444444,5,5,4.984126984126984,NaN,NaN,NaN,NaN,NaN,NaN
30000,203,267,1.9950738916256157,209.93357933579335,0.4827586206896552,0.7638376383763837,500,Infinity,-1,0.00749063670411985,-1,267,0,1.3247232472324724,0.49206349206349204,0.4444444444444444,0.5254237288135594,4.968253968253968,4.962962962962963,4.898305084745763,NaN,NaN,NaN,NaN,NaN,NaN
35000,202,285,2.0247524752475248,209.1017543859649,0.48514851485148514,0.7087719298245614,500,Infinity,-1,0.007017543859649123,-1,285,0,1.4280701754385965,0.4225352112676056,0.5753424657534246,0.4482758620689655,4.985915492957746,4.945205479452055,4.982758620689655,NaN,NaN,NaN,NaN,NaN,NaN
40000,202,277,2.0297029702970297,206.70609318996415,0.594059405940594,0.7311827956989247,500,Infinity,-1,0,-1,277,0,1.3584229390681004,0.6025641025641025,0.7258064516129032,0.45161290322580644,4.9743589743589745,5,4.983870967741935,NaN,NaN,NaN,NaN,NaN,NaN
45000,203,268,1.9950738916256157,206,0.5320197044334976,0.7537878787878788,500,Infinity,-1,0.007462686567164179,-1,268,0,1.3068181818181819,0.6142857142857143,0.49230769230769234,0.4852941176470588,4.9714285714285715,5,4.9411764705882355,NaN,NaN,NaN,NaN,NaN,NaN
50000,202,283,2.0396039603960396,210.48611111111111,0.504950495049505,0.71875,500,Infinity,-1,0.0035335689045936395,-1,283,0,1.40625,0.41935483870967744,0.421875,0.6447368421052632,5,5,4.973684210526316,NaN,NaN,NaN,NaN,NaN,NaN
