tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,88,123,2.022727272727273,530.8878504672897,0.045454545454545456,0.6728971962616822,500,28,-1,0.9512195121951219,-1,123,0,1.3364485981308412,0.08333333333333333,0.05128205128205128,0,5,4.871794871794871,5,NaN,NaN,NaN,NaN,NaN,NaN
10000,87,134,2.0344827586206895,527.8345864661654,0.05747126436781609,0.6466165413533834,500,28,-1,0.9776119402985075,-1,134,0,1.631578947368421,0.10344827586206896,0.034482758620689655,0.034482758620689655,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
15000,88,138,2.034090909090909,525.4782608695652,0.125,0.6376811594202898,500,28,-1,0.9782608695652174,-1,138,0,1.5797101449275361,0.11764705882352941,0.19047619047619047,0.09090909090909091,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
20000,87,135,2.0229885057471266,530.726618705036,0.11494252873563218,0.6546762589928058,500,28,-1,0.9703703703703703,-1,135,0,1.5971223021582734,0.05714285714285714,0.16129032258064516,0.14285714285714285,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
25000,88,142,2.0454545454545454,526.115107913669,0.19318181818181818,0.60431654676259,500,28,-1,0.9788732394366197,-1,142,0,1.6330935251798562,0.2903225806451613,0.16129032258064516,0.11538461538461539,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
30000,87,133,2.0229885057471266,530.609022556391,0.2413793103448276,0.6616541353383458,500,28,-1,0.9849624060150376,-1,133,0,1.5037593984962405,0.1935483870967742,0.23076923076923078,0.3,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
35000,88,122,2.034090909090909,534.96875,0.22727272727272727,0.734375,500,28,-1,0.9754098360655737,-1,122,0,1.4453125,0.13793103448275862,0.2413793103448276,0.3,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
40000,87,123,2.0344827586206895,530.2704918032787,0.3333333333333333,0.7049180327868853,500,28,-1,0.991869918699187,-1,123,0,1.401639344262295,0.20833333333333334,0.5294117647058824,0.20689655172413793,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
45000,88,144,2.090909090909091,528.4172661870504,0.2840909090909091,0.5971223021582733,500,28,-1,0.9861111111111112,-1,144,0,1.5035971223021583,0.34285714285714286,0.2916666666666667,0.20689655172413793,5,4.958333333333333,5,NaN,NaN,NaN,NaN,NaN,NaN
50000,87,129,2.0114942528735633,533.6692307692308,0.42528735632183906,0.6692307692307692,500,28,-1,0.9922480620155039,-1,129,0,1.4923076923076923,0.4166666666666667,0.3448275862068966,0.5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
55000,88,135,2,531.1102941176471,0.4772727272727273,0.6617647058823529,500,28,-1,0.9629629629629629,-1,135,0,1.5,0.4838709677419355,0.3333333333333333,0.6296296296296297,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
60000,87,132,2.0229885057471266,529.679104477612,0.39080459770114945,0.664179104477612,500,28,-1,0.9772727272727273,-1,132,0,1.5,0.41379310344827586,0.37037037037037035,0.3870967741935484,4.9655172413793105,5,5,NaN,NaN,NaN,NaN,NaN,NaN
65000,88,135,2.0113636363636362,529.218045112782,0.4318181818181818,0.6466165413533834,500,28,-1,0.9481481481481482,-1,135,0,1.586466165413534,0.52,0.4,0.3939393939393939,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
70000,87,141,2.0804597701149423,521.1971830985915,0.42528735632183906,0.6126760563380281,500,28,-1,0.9787234042553191,-1,141,0,1.5985915492957747,0.38235294117647056,0.44,0.4642857142857143,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
75000,88,144,2.0113636363636362,526.6478873239437,0.5,0.6126760563380281,500,28,-1,0.9930555555555556,-1,144,0,1.5985915492957747,0.4722222222222222,0.6470588235294118,0.45714285714285713,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
80000,87,143,2.045977011494253,527.4195804195804,0.40229885057471265,0.6083916083916084,500,28,-1,0.993006993006993,-1,143,0,1.6013986013986015,0.3,0.46153846153846156,0.45161290322580644,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
85000,88,140,2.022727272727273,525.4264705882352,0.5795454545454546,0.6176470588235294,500,28,-1,0.9785714285714285,-1,140,0,1.588235294117647,0.6756756756756757,0.44,0.5769230769230769,5,5,4.923076923076923,NaN,NaN,NaN,NaN,NaN,NaN
90000,87,126,2.0114942528735633,528.6515151515151,0.5632183908045977,0.7045454545454546,500,28,-1,0.9603174603174603,-1,126,0,1.4696969696969697,0.5862068965517241,0.45161290322580644,0.6666666666666666,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
95000,88,151,2.102272727272727,524.4864864864865,0.38636363636363635,0.5743243243243243,500,28,-1,0.9933774834437086,-1,151,0,1.7702702702702702,0.3793103448275862,0.42857142857142855,0.3333333333333333,5,4.9714285714285715,4.958333333333333,NaN,NaN,NaN,NaN,NaN,NaN
100000,87,130,2.0114942528735633,529.624060150376,0.5287356321839081,0.6691729323308271,500,28,-1,0.9538461538461539,-1,130,0,1.481203007518797,0.5,0.5357142857142857,0.5555555555555556,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
105000,88,137,2.022727272727273,530.8905109489051,0.4772727272727273,0.6496350364963503,500,28,-1,0.9927007299270073,-1,137,0,1.4744525547445255,0.43902439024390244,0.5,0.5217391304347826,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
110000,87,132,2.045977011494253,530.5426356589147,0.5287356321839081,0.6434108527131783,500,28,-1,0.9848484848484849,-1,132,0,1.434108527131783,0.4666666666666667,0.6,0.53125,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
115000,88,131,2.0113636363636362,533.6488549618321,0.4772727272727273,0.6793893129770993,500,28,-1,0.9847328244274809,-1,131,0,1.4732824427480915,0.5,0.43333333333333335,0.5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
120000,87,138,2.057471264367816,525.4632352941177,0.632183908045977,0.625,500,28,-1,0.9855072463768116,-1,138,0,1.5661764705882353,0.75,0.7083333333333334,0.5128205128205128,5,5,4.948717948717949,NaN,NaN,NaN,NaN,NaN,NaN
125000,88,150,2.0568181818181817,525.4896551724138,0.6022727272727273,0.5724137931034483,500,28,-1,0.98,-1,150,0,1.6344827586206896,0.7,0.46153846153846156,0.625,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
130000,87,135,2.0229885057471266,524.6712328767123,0.45977011494252873,0.6712328767123288,500,28,-1,0.9851851851851852,-1,135,0,1.6027397260273972,0.5,0.4166666666666667,0.46153846153846156,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
135000,88,139,2.0568181818181817,529.427536231884,0.5,0.6231884057971014,500,28,-1,0.9856115107913669,-1,139,0,1.4492753623188406,0.34375,0.6206896551724138,0.5555555555555556,5,4.931034482758621,5,NaN,NaN,NaN,NaN,NaN,NaN
140000,87,136,2.057471264367816,528.7185185185185,0.4942528735632184,0.6444444444444445,500,28,-1,0.9632352941176471,-1,136,0,1.5703703703703704,0.5,0.6,0.37037037037037035,5,4.966666666666667,5,NaN,NaN,NaN,NaN,NaN,NaN
145000,88,139,2.034090909090909,528.0942028985507,0.5340909090909091,0.6304347826086957,500,28,-1,0.9640287769784173,-1,139,0,1.6159420289855073,0.625,0.4411764705882353,0.5454545454545454,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
