tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,313,313,610.9197080291971,709.3791821561339,0.040145985401459854,0.8884758364312267,500,Infinity,-1,0.6134185303514377,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.979797979798,661.8651685393259,0,0,0.12359550561797752
10000,312,312,608.7492063492064,704.4664536741215,0.031746031746031744,0.853035143769968,500,Infinity,-1,0.483974358974359,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,661.25,0,0,0.09615384615384616
15000,313,313,612.2282958199357,702.9487179487179,0.04823151125401929,0.8782051282051282,500,Infinity,-1,0.5559105431309904,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.9537037037037,660.440366972477,0,0.009259259259259259,0.12844036697247707
20000,312,312,611.1221864951768,708.4358974358975,0.04180064308681672,0.8717948717948718,500,Infinity,-1,0.532051282051282,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.8947368421053,662.4181818181818,0,0.021052631578947368,0.1
25000,313,313,607.6930379746835,709.2540192926045,0.02531645569620253,0.8810289389067524,500,Infinity,-1,0.5207667731629393,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.9649122807018,662.1739130434783,0,0.008771929824561403,0.07608695652173914
30000,312,312,609.9549839228296,709.3312101910828,0.022508038585209004,0.8821656050955414,500,Infinity,-1,0.532051282051282,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,662.4950495049505,0,0,0.06930693069306931
35000,313,313,607.1451612903226,703.444089456869,0.03870967741935484,0.8466453674121406,500,Infinity,-1,0.5399361022364217,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,659.9782608695652,0,0,0.13043478260869565
40000,312,312,611,706.974358974359,0.04472843450479233,0.8589743589743589,500,Infinity,-1,0.5448717948717948,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.6285714285714,663.1047619047619,0,0.01904761904761905,0.11428571428571428
45000,313,313,609.6677215189874,711.0961538461538,0.04113924050632911,0.8557692307692307,500,Infinity,-1,0.5399361022364217,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,662.009900990099,0,0,0.12871287128712872
50000,312,312,612.3677419354839,708.8044871794872,0.02258064516129032,0.8782051282051282,500,Infinity,-1,0.5673076923076923,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,662.5688073394496,0,0,0.06422018348623854
55000,313,313,607.831746031746,709.2253968253968,0.025396825396825397,0.9079365079365079,500,Infinity,-1,0.5175718849840255,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,662.1489361702128,0,0,0.0851063829787234
60000,312,312,607.3811074918567,708.1864951768489,0.03257328990228013,0.8585209003215434,500,Infinity,-1,0.5096153846153846,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.950495049505,662.5268817204301,0,0.009900990099009901,0.0967741935483871
65000,313,313,609.6656151419559,707.176848874598,0.031545741324921134,0.8842443729903537,500,Infinity,-1,0.5335463258785943,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,661.1346153846154,0,0,0.09615384615384616
70000,312,312,608.2387096774194,706.6783439490446,0.03225806451612903,0.8853503184713376,500,Infinity,-1,0.532051282051282,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.9504132231405,662.528735632184,0,0.008264462809917356,0.10344827586206896
75000,313,313,613.5382165605096,706.3365384615385,0.03821656050955414,0.8846153846153846,500,Infinity,-1,0.5623003194888179,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,662.0258620689655,0,0,0.10344827586206896
80000,312,312,610,709.2929936305733,0.02903225806451613,0.8694267515923567,500,Infinity,-1,0.5448717948717948,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.9484536082474,662.2095238095238,0,0.010309278350515464,0.0761904761904762
85000,313,313,614.6518987341772,826.2006578947369,0.0031645569620253164,0.868421052631579,500,Infinity,-1,0.5399361022364217,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,663.8666666666667,0,0,0.008333333333333333
90000,312,312,608.8451612903226,845.1634615384615,0,0.8717948717948718,500,Infinity,-1,0.5384615384615384,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
95000,313,313,608.5239616613419,848.2628205128206,0,0.8365384615384616,500,Infinity,-1,0.536741214057508,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
100000,312,312,610.626198083067,847.8070739549839,0,0.8778135048231511,500,Infinity,-1,0.5448717948717948,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
105000,313,313,608.6687898089172,848.6070287539936,0,0.8849840255591054,500,Infinity,-1,0.5303514376996805,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
110000,312,312,605.6752411575562,848.1129032258065,0,0.864516129032258,500,Infinity,-1,0.42948717948717946,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
115000,313,313,610.447619047619,848.7056962025316,0,0.870253164556962,500,Infinity,-1,0.5111821086261981,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
120000,312,312,610.141935483871,849.5367412140575,0,0.8626198083067093,500,Infinity,-1,0.5256410256410257,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
125000,313,313,608.8498402555911,853.5750798722045,0,0.8945686900958466,500,Infinity,-1,0.549520766773163,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
130000,312,312,609.8102893890675,843.1290322580645,0,0.8838709677419355,500,Infinity,-1,0.5064102564102564,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
135000,313,313,611.405750798722,846.8821656050956,0,0.8949044585987261,500,Infinity,-1,0.5686900958466453,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
140000,312,312,613.967845659164,848.483870967742,0,0.8838709677419355,500,Infinity,-1,0.5769230769230769,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
145000,313,313,614.2675159235669,849.0063492063492,0,0.8571428571428571,500,Infinity,-1,0.5559105431309904,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
150000,312,312,610.6134185303514,848.3386581469648,0,0.8913738019169329,500,Infinity,-1,0.5,-1,312,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
155000,313,313,608.5414012738853,850.2677419354839,0,0.8516129032258064,500,Infinity,-1,0.5111821086261981,-1,313,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
