tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,224,224,570.8391959798995,581.9390862944163,0.05025125628140704,0.1319796954314721,500,Infinity,-1,0.049107142857142856,-1,224,0,1,NaN,NaN,NaN,NaN,NaN,NaN,558.6521739130435,579.34375,584.0757575757576,0.014492753623188406,0.0625,0.07575757575757576
10000,223,220,563.9417040358744,581.131221719457,0.08071748878923767,0.11312217194570136,500,Infinity,-1,0.02727272727272727,-1,220,0,1,NaN,NaN,NaN,NaN,NaN,NaN,549.3571428571429,573.8607594936709,575.8378378378378,0.04285714285714286,0.10126582278481013,0.0945945945945946
15000,224,215,550.1696428571429,588.5231481481482,0.06696428571428571,0.0787037037037037,500,Infinity,-1,0.05581395348837209,-1,215,0,1,NaN,NaN,NaN,NaN,NaN,NaN,541.2325581395348,548.6949152542373,569.2278481012659,0.03488372093023256,0.15254237288135594,0.0379746835443038
20000,223,215,551.7085201793722,583.7056074766355,0.09417040358744394,0.09813084112149532,500,Infinity,-1,0.027906976744186046,-1,215,0,1,NaN,NaN,NaN,NaN,NaN,NaN,528.9857142857143,556.4705882352941,574.1647058823529,0.07142857142857142,0.11764705882352941,0.09411764705882353
25000,224,221,569.7162162162163,587.5227272727273,0.05855855855855856,0.10909090909090909,500,Infinity,-1,0.03153153153153153,-1,222,0,1,NaN,NaN,NaN,NaN,NaN,NaN,551.2941176470588,590.3086419753087,572.8356164383562,0.029411764705882353,0.037037037037037035,0.1095890410958904
30000,223,219,562.6636771300448,589.9771689497717,0.04035874439461883,0.0821917808219178,500,Infinity,-1,0.027522935779816515,-1,218,0,1,NaN,NaN,NaN,NaN,NaN,NaN,560.2816901408451,581.6666666666666,555.7625,0,0.041666666666666664,0.075
35000,223,211,544.212389380531,590.2300469483569,0.10176991150442478,0.09389671361502347,500,Infinity,-1,0.02843601895734597,-1,211,0,1,NaN,NaN,NaN,NaN,NaN,NaN,543.5972222222222,545.075,552.7702702702703,0.027777777777777776,0.1125,0.16216216216216217
40000,224,212,544.7767857142857,590.7641509433962,0.12053571428571429,0.1509433962264151,500,Infinity,-1,0.02358490566037736,-1,212,0,1,NaN,NaN,NaN,NaN,NaN,NaN,551.2753623188406,522.1447368421053,569.0506329113924,0.07246376811594203,0.21052631578947367,0.0759493670886076
45000,223,207,530.21875,584.866028708134,0.10714285714285714,0.0861244019138756,500,Infinity,-1,0.024154589371980676,-1,207,0,1,NaN,NaN,NaN,NaN,NaN,NaN,533.6911764705883,521.972972972973,542.5853658536586,0.058823529411764705,0.14864864864864866,0.10975609756097561
50000,224,203,518.8577777777778,585.9754901960785,0.14222222222222222,0.12254901960784313,500,Infinity,-1,0.03940886699507389,-1,203,0,1,NaN,NaN,NaN,NaN,NaN,NaN,529.7692307692307,557.0833333333334,479.48,0.07692307692307693,0.1111111111111111,0.24
55000,223,207,531.8693693693693,587.5980392156863,0.13513513513513514,0.14215686274509803,500,Infinity,-1,0.024154589371980676,-1,207,0,1,NaN,NaN,NaN,NaN,NaN,NaN,538.2405063291139,537.7272727272727,528.7142857142857,0.10126582278481013,0.15151515151515152,0.15584415584415584
60000,224,202,516.7066666666667,588.0490196078431,0.13777777777777778,0.08333333333333333,500,Infinity,-1,0.04950495049504951,-1,202,0,1,NaN,NaN,NaN,NaN,NaN,NaN,514.8441558441558,532.3164556962025,510.2608695652174,0.09090909090909091,0.1518987341772152,0.17391304347826086
65000,223,206,530.3257918552036,593.7560975609756,0.11764705882352941,0.1073170731707317,500,Infinity,-1,0.03398058252427184,-1,206,0,1,NaN,NaN,NaN,NaN,NaN,NaN,518.8536585365854,532.5492957746479,551.2058823529412,0.0975609756097561,0.15492957746478872,0.10294117647058823
70000,224,200,511.63963963963965,583.0100502512563,0.18018018018018017,0.1407035175879397,500,Infinity,-1,0.045,-1,200,0,1,NaN,NaN,NaN,NaN,NaN,NaN,502.04285714285714,537.1911764705883,506.5,0.12857142857142856,0.14705882352941177,0.25
