tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,271,271,4.077490774907749,257.5019305019305,0.055350553505535055,0.7760617760617761,500,Infinity,-1,0.025830258302583026,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.8,6.911111111111111,6.872093023255814,0.06315789473684211,0.05555555555555555,0.046511627906976744
10000,270,270,4.0851851851851855,258.89179104477614,0.14074074074074075,0.8022388059701493,500,Infinity,-1,0.03333333333333333,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.891891891891892,6.778846153846154,6.804347826086956,0.0945945945945946,0.18269230769230768,0.13043478260869565
15000,270,270,4.051851851851852,255.24354243542436,0.2777777777777778,0.7675276752767528,500,Infinity,-1,0.044444444444444446,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.728155339805825,6.775,6.862068965517241,0.32038834951456313,0.3,0.20689655172413793
20000,271,270,4.066666666666666,256.58736059479554,0.3074074074074074,0.7472118959107806,500,Infinity,-1,0.055350553505535055,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.813186813186813,6.820224719101123,6.766666666666667,0.26373626373626374,0.29213483146067415,0.36666666666666664
25000,270,271,4.114391143911439,260.1139705882353,0.4132841328413284,0.7389705882352942,500,Infinity,-1,0.044444444444444446,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.721649484536083,6.747126436781609,6.7701149425287355,0.4329896907216495,0.39080459770114945,0.41379310344827586
30000,270,270,4.074074074074074,261.1808118081181,0.44074074074074077,0.7933579335793358,500,Infinity,-1,0.040740740740740744,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.670329670329671,6.764705882352941,6.74468085106383,0.43956043956043955,0.4588235294117647,0.425531914893617
35000,271,270,4.12962962962963,260.76666666666665,0.4888888888888889,0.7518518518518519,500,Infinity,-1,0.037037037037037035,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.666666666666667,6.741176470588235,6.712871287128713,0.5238095238095238,0.4588235294117647,0.48514851485148514
40000,270,271,4.0664206642066425,257.1835205992509,0.5461254612546126,0.8239700374531835,500,Infinity,-1,0.03690036900369004,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.693069306930693,6.63855421686747,6.689655172413793,0.5643564356435643,0.5060240963855421,0.5632183908045977
45000,270,270,4.122222222222222,256.72893772893775,0.6111111111111112,0.7912087912087912,500,Infinity,-1,0.022222222222222223,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.647058823529412,6.717391304347826,6.56989247311828,0.5882352941176471,0.6195652173913043,0.6236559139784946
50000,271,270,4.0851851851851855,259.7620817843866,0.5370370370370371,0.7397769516728625,500,Infinity,-1,0.037037037037037035,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.686046511627907,6.63,6.630952380952381,0.5581395348837209,0.57,0.47619047619047616
55000,270,271,4.095940959409594,257.2029520295203,0.5830258302583026,0.7712177121771218,500,Infinity,-1,0.01845018450184502,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.722222222222222,6.6419753086419755,6.64,0.5888888888888889,0.5555555555555556,0.6
60000,270,270,4.074074074074074,255.27573529411765,0.5370370370370371,0.7904411764705882,500,Infinity,-1,0.044444444444444446,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.739130434782608,6.706521739130435,6.651162790697675,0.45652173913043476,0.6195652173913043,0.5348837209302325
65000,270,270,4.007407407407407,254.64794007490636,0.5222222222222223,0.7827715355805244,500,Infinity,-1,0.05185185185185185,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.7,6.666666666666667,6.635416666666667,0.4444444444444444,0.6190476190476191,0.5104166666666666
70000,271,271,4.1033210332103325,256.99264705882354,0.5535055350553506,0.7647058823529411,500,Infinity,-1,0.02952029520295203,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.703703703703703,6.655913978494624,6.65979381443299,0.5061728395061729,0.5806451612903226,0.5670103092783505
75000,270,270,4.103703703703704,258.7,0.5296296296296297,0.774074074074074,500,Infinity,-1,0.02962962962962963,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.706521739130435,6.640449438202247,6.651685393258427,0.44565217391304346,0.5842696629213483,0.5617977528089888
80000,270,270,4.111111111111111,256.662962962963,0.5296296296296297,0.7481481481481481,500,Infinity,-1,0.03333333333333333,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.666666666666667,6.701923076923077,6.681318681318682,0.5066666666666667,0.5769230769230769,0.4945054945054945
85000,271,271,4.088560885608856,866.4661016949152,0.5424354243542435,0.7330508474576272,500,Infinity,-1,0.04428044280442804,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.71875,6.633333333333334,6.658823529411765,0.5104166666666666,0.5222222222222223,0.6
90000,270,270,4.162962962962963,908.2037037037037,0.5370370370370371,0.7925925925925926,500,Infinity,-1,0.05925925925925926,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.648936170212766,6.598039215686274,6.743243243243243,0.5425531914893617,0.5686274509803921,0.4864864864864865
95000,270,270,4.092592592592593,906.4014869888476,0.5481481481481482,0.7955390334572491,500,Infinity,-1,0.044444444444444446,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.617283950617284,6.645833333333333,6.741935483870968,0.6049382716049383,0.5416666666666666,0.5053763440860215
100000,271,271,4.092250922509225,907.2888888888889,0.5645756457564576,0.7703703703703704,500,Infinity,-1,0.05904059040590406,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.631578947368421,6.636363636363637,6.704545454545454,0.5578947368421052,0.6022727272727273,0.5340909090909091
105000,270,270,4.092592592592593,906.8388278388278,0.6,0.7765567765567766,500,Infinity,-1,0.040740740740740744,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.656565656565657,6.616279069767442,6.694117647058824,0.6060606060606061,0.5813953488372093,0.611764705882353
110000,270,270,4.0851851851851855,907.8413284132841,0.5259259259259259,0.7564575645756457,500,Infinity,-1,0.06296296296296296,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.6923076923076925,6.647058823529412,6.659574468085107,0.5164835164835165,0.5647058823529412,0.5
115000,271,270,4.155555555555556,909.370786516854,0.5592592592592592,0.7453183520599251,500,Infinity,-1,0.044444444444444446,-1,270,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.712765957446808,6.6521739130434785,6.595238095238095,0.5531914893617021,0.5434782608695652,0.5833333333333334
120000,270,271,4.062730627306273,909.2773722627737,0.5129151291512916,0.7883211678832117,500,Infinity,-1,0.07011070110701106,-1,271,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.6923076923076925,6.602150537634409,6.716216216216216,0.46153846153846156,0.5483870967741935,0.5405405405405406
