tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,154,154,516.4525547445255,514.1897810218978,0.45985401459854014,0.5109489051094891,360,Infinity,-1,0.8766233766233766,-1,154,0,1
10000,153,153,520.1298701298701,517.5064935064935,0.35064935064935066,0.37662337662337664,360,Infinity,-1,0.8758169934640523,-1,153,0,1
15000,153,153,520.2549019607843,517.718954248366,0.37254901960784315,0.39869281045751637,360,Infinity,-1,0.9150326797385621,-1,153,0,1
20000,153,153,519.8181818181819,516.3441558441558,0.42857142857142855,0.44805194805194803,360,Infinity,-1,0.9019607843137255,-1,153,0,1
25000,153,153,522.5,519.9276315789474,0.46710526315789475,0.4868421052631579,360,Infinity,-1,0.9215686274509803,-1,153,0,1
30000,153,153,512.718954248366,509.437908496732,0.39869281045751637,0.41830065359477125,360,Infinity,-1,0.8954248366013072,-1,153,0,1
35000,153,153,505.90909090909093,502.93506493506493,0.38311688311688313,0.4025974025974026,360,Infinity,-1,0.9019607843137255,-1,153,0,1
40000,153,153,519.4248366013072,516.5294117647059,0.4117647058823529,0.43137254901960786,360,Infinity,-1,0.8627450980392157,-1,153,0,1
45000,154,154,523.8169934640523,521.1960784313726,0.38562091503267976,0.40522875816993464,360,Infinity,-1,0.8831168831168831,-1,154,0,1
50000,153,153,517.3441558441558,514.525974025974,0.38311688311688313,0.4090909090909091,360,Infinity,-1,0.9019607843137255,-1,153,0,1
55000,153,153,510.8344370860927,508.0662251655629,0.3443708609271523,0.3576158940397351,360,Infinity,-1,0.8954248366013072,-1,153,0,1
60000,153,153,520.4193548387096,517.6709677419354,0.36129032258064514,0.38064516129032255,360,Infinity,-1,0.8496732026143791,-1,153,0,1
65000,153,153,515.8627450980392,512.2987012987013,0.33986928104575165,0.35064935064935066,360,Infinity,-1,0.9019607843137255,-1,153,0,1
70000,153,153,511.51973684210526,509.7682119205298,0.3618421052631579,0.36423841059602646,360,Infinity,-1,0.9150326797385621,-1,153,0,1
75000,153,153,513.8692810457517,510.42483660130716,0.42483660130718953,0.42483660130718953,360,Infinity,-1,0.9150326797385621,-1,153,0,1
80000,153,153,514.9738562091503,511.2792207792208,0.2875816993464052,0.2987012987012987,360,Infinity,-1,0.8627450980392157,-1,153,0,1
85000,154,154,158.82926829268294,153.3231707317073,0.4329268292682927,0.4329268292682927,360,Infinity,-1,0.8636363636363636,-1,154,0,1
90000,153,153,125.23225806451613,121.07142857142857,0.41935483870967744,0.42207792207792205,360,Infinity,-1,0.8954248366013072,-1,153,0,1
95000,153,153,117.27922077922078,113.31168831168831,0.5064935064935064,0.5064935064935064,360,Infinity,-1,0.9215686274509803,-1,153,0,1
100000,153,153,123.17105263157895,119.23684210526316,0.3684210526315789,0.3684210526315789,360,Infinity,-1,0.9215686274509803,-1,153,0,1
105000,153,153,121.74342105263158,117.80263157894737,0.4276315789473684,0.4276315789473684,360,Infinity,-1,0.9215686274509803,-1,153,0,1
110000,153,153,131.27450980392157,127.33333333333333,0.37254901960784315,0.37254901960784315,360,Infinity,-1,0.8888888888888888,-1,153,0,1
115000,153,153,125.38064516129032,121.46451612903226,0.4774193548387097,0.4774193548387097,360,Infinity,-1,0.8888888888888888,-1,153,0,1
120000,153,153,121.38157894736842,117.4342105263158,0.4342105263157895,0.4342105263157895,360,Infinity,-1,0.9411764705882353,-1,153,0,1
125000,154,154,129.14285714285714,125.23376623376623,0.4090909090909091,0.4090909090909091,360,Infinity,-1,0.8831168831168831,-1,154,0,1
130000,153,153,120.14935064935065,116.24025974025975,0.38961038961038963,0.38961038961038963,360,Infinity,-1,0.8758169934640523,-1,153,0,1
135000,153,153,124.70860927152317,120.76821192052981,0.4105960264900662,0.4105960264900662,360,Infinity,-1,0.9150326797385621,-1,153,0,1
140000,153,153,126.11688311688312,122.1948051948052,0.37012987012987014,0.37012987012987014,360,Infinity,-1,0.8888888888888888,-1,153,0,1
145000,153,153,127.67320261437908,123.77124183006536,0.39215686274509803,0.39215686274509803,360,Infinity,-1,0.9019607843137255,-1,153,0,1
150000,153,153,124.76129032258065,120.81935483870967,0.38064516129032255,0.38064516129032255,360,Infinity,-1,0.934640522875817,-1,153,0,1
155000,153,153,120.07236842105263,116.125,0.45394736842105265,0.45394736842105265,360,Infinity,-1,0.9215686274509803,-1,153,0,1
160000,153,153,124.45751633986929,120.50980392156863,0.37254901960784315,0.37254901960784315,360,Infinity,-1,0.9215686274509803,-1,153,0,1
165000,154,154,119.96052631578948,116.3529411764706,0.40131578947368424,0.39869281045751637,360,Infinity,-1,0.8961038961038961,-1,154,0,1
170000,153,153,128.04545454545453,123.85620915032679,0.44805194805194803,0.45098039215686275,360,Infinity,-1,0.9215686274509803,-1,153,0,1
175000,153,153,123.5592105263158,119.61842105263158,0.39473684210526316,0.39473684210526316,360,Infinity,-1,0.9281045751633987,-1,153,0,1
180000,153,153,121,117.07741935483871,0.34838709677419355,0.34838709677419355,360,Infinity,-1,0.9215686274509803,-1,153,0,1
185000,153,153,120.3529411764706,116.40522875816994,0.38562091503267976,0.38562091503267976,360,Infinity,-1,0.8954248366013072,-1,153,0,1
190000,153,153,124.36184210526316,120.42105263157895,0.40789473684210525,0.40789473684210525,360,Infinity,-1,0.934640522875817,-1,153,0,1
195000,153,153,126.38709677419355,122.44516129032257,0.4064516129032258,0.4064516129032258,360,Infinity,-1,0.8954248366013072,-1,153,0,1
200000,153,153,124.2251655629139,120.10526315789474,0.4900662251655629,0.4868421052631579,360,Infinity,-1,0.934640522875817,-1,153,0,1
205000,154,154,120.77272727272727,117.00653594771242,0.461038961038961,0.46405228758169936,360,Infinity,-1,0.9025974025974026,-1,154,0,1
210000,153,153,130.35526315789474,126.42763157894737,0.3355263157894737,0.3355263157894737,360,Infinity,-1,0.9150326797385621,-1,153,0,1
215000,153,153,122.22077922077922,118.25324675324676,0.42857142857142855,0.42857142857142855,360,Infinity,-1,0.9411764705882353,-1,153,0,1
220000,153,153,127.82467532467533,123.85714285714286,0.36363636363636365,0.36363636363636365,360,Infinity,-1,0.9281045751633987,-1,153,0,1
225000,153,153,126.40789473684211,122.46052631578948,0.375,0.375,360,Infinity,-1,0.9281045751633987,-1,153,0,1
230000,153,153,125.33116883116882,120.92903225806451,0.37012987012987014,0.36774193548387096,360,Infinity,-1,0.9607843137254902,-1,153,0,1
235000,153,153,121.96078431372548,118.4407894736842,0.37254901960784315,0.375,360,Infinity,-1,0.9411764705882353,-1,153,0,1
240000,153,153,120.1907894736842,116.22368421052632,0.4605263157894737,0.4605263157894737,360,Infinity,-1,0.954248366013072,-1,153,0,1
245000,154,154,123.35897435897436,119.41025641025641,0.3974358974358974,0.3974358974358974,360,Infinity,-1,0.922077922077922,-1,154,0,1
250000,153,153,130.8421052631579,126.875,0.42105263157894735,0.42105263157894735,360,Infinity,-1,0.9477124183006536,-1,153,0,1
255000,153,153,121.10457516339869,117.16339869281046,0.35947712418300654,0.35947712418300654,360,Infinity,-1,0.934640522875817,-1,153,0,1
260000,153,153,125.25490196078431,121.34640522875817,0.4117647058823529,0.4117647058823529,360,Infinity,-1,0.869281045751634,-1,153,0,1
265000,153,153,128.2565789473684,124.32236842105263,0.35526315789473684,0.35526315789473684,360,Infinity,-1,0.9019607843137255,-1,153,0,1
270000,153,153,122.01298701298701,118.07142857142857,0.38311688311688313,0.38311688311688313,360,Infinity,-1,0.9084967320261438,-1,153,0,1
275000,153,153,125.33552631578948,121.38815789473684,0.48026315789473684,0.48026315789473684,360,Infinity,-1,0.9215686274509803,-1,153,0,1
280000,153,153,120.43506493506493,116.48051948051948,0.4025974025974026,0.4025974025974026,360,Infinity,-1,0.9281045751633987,-1,153,0,1
285000,154,154,122.36363636363636,118.42857142857143,0.4805194805194805,0.4805194805194805,360,Infinity,-1,0.9155844155844156,-1,154,0,1
290000,153,153,122.40789473684211,118.48684210526316,0.3618421052631579,0.3618421052631579,360,Infinity,-1,0.8888888888888888,-1,153,0,1
295000,153,153,121.50326797385621,117.58823529411765,0.40522875816993464,0.40522875816993464,360,Infinity,-1,0.9084967320261438,-1,153,0,1
300000,153,153,125.43137254901961,121.47058823529412,0.46405228758169936,0.46405228758169936,360,Infinity,-1,0.9281045751633987,-1,153,0,1
305000,153,153,128.86928104575162,124.94771241830065,0.3660130718954248,0.3660130718954248,360,Infinity,-1,0.9215686274509803,-1,153,0,1
310000,153,153,122.52597402597402,118.6103896103896,0.474025974025974,0.474025974025974,360,Infinity,-1,0.9215686274509803,-1,153,0,1
315000,153,153,117.34640522875817,113.40522875816994,0.45098039215686275,0.45098039215686275,360,Infinity,-1,0.9281045751633987,-1,153,0,1
320000,153,153,121.8092105263158,117.86842105263158,0.4342105263157895,0.4342105263157895,360,Infinity,-1,0.934640522875817,-1,153,0,1
325000,154,154,125.4258064516129,121.48387096774194,0.3225806451612903,0.3225806451612903,360,Infinity,-1,0.935064935064935,-1,154,0,1
