tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,163,163,605.3846153846154,705.5857142857143,0.03496503496503497,0.8857142857142857,188,Infinity,-1,0.9877300613496932,-1,163,0,1
10000,162,162,612.4233128834355,715.9018404907976,0.012269938650306749,0.8466257668711656,188,Infinity,-1,0.9938271604938271,-1,162,0,1
15000,163,163,613.8086419753087,708.1490683229814,0.012345679012345678,0.8881987577639752,188,Infinity,-1,0.9938650306748467,-1,163,0,1
20000,162,162,612.5731707317074,714.6280487804878,0.012195121951219513,0.8963414634146342,188,Infinity,-1,1,-1,162,0,1
25000,163,163,610.8125,709.5950920245399,0.03125,0.8588957055214724,188,Infinity,-1,0.9938650306748467,-1,163,0,1
30000,162,162,610.0426829268292,705.9192546583851,0.042682926829268296,0.8881987577639752,188,Infinity,-1,1,-1,162,0,1
35000,163,163,606.3742331288344,709.641975308642,0.03680981595092025,0.8703703703703703,188,Infinity,-1,1,-1,163,0,1
40000,162,162,609.1677018633541,708.2944785276073,0.043478260869565216,0.8466257668711656,188,Infinity,-1,0.9938271604938271,-1,162,0,1
45000,163,163,614.2515337423313,711.7592592592592,0.012269938650306749,0.8827160493827161,188,Infinity,-1,1,-1,163,0,1
50000,162,162,611.8711656441718,712.9878048780488,0.012269938650306749,0.8902439024390244,188,Infinity,-1,1,-1,162,0,1
55000,163,163,608.8466257668712,712.5031055900621,0.03680981595092025,0.8571428571428571,188,Infinity,-1,0.9938650306748467,-1,163,0,1
60000,162,162,608.5432098765432,714.5548780487804,0.012345679012345678,0.8780487804878049,188,Infinity,-1,1,-1,162,0,1
65000,163,163,609.5432098765432,712.1987577639752,0.024691358024691357,0.9006211180124224,188,Infinity,-1,1,-1,163,0,1
70000,162,162,614.3765432098766,714.920245398773,0.030864197530864196,0.8895705521472392,188,Infinity,-1,0.9938271604938271,-1,162,0,1
75000,163,163,611.4171779141104,707.6296296296297,0.03680981595092025,0.8641975308641975,188,Infinity,-1,1,-1,163,0,1
80000,162,162,614.2883435582822,712.7439024390244,0.03680981595092025,0.8719512195121951,188,Infinity,-1,1,-1,162,0,1
85000,163,163,390.07100591715977,403.2674418604651,0.7869822485207101,0.8837209302325582,188,Infinity,-1,1,-1,163,0,1
90000,162,162,366.4969696969697,362.53939393939396,0.8545454545454545,0.8545454545454545,188,Infinity,-1,0.9938271604938271,-1,162,0,1
95000,163,163,360.35,356.3375,0.85625,0.85625,188,Infinity,-1,1,-1,163,0,1
100000,162,162,365.8060606060606,361.8060606060606,0.8424242424242424,0.8424242424242424,188,Infinity,-1,1,-1,162,0,1
105000,163,163,367.37423312883436,363.39877300613495,0.8711656441717791,0.8711656441717791,188,Infinity,-1,1,-1,163,0,1
110000,162,162,365.31875,361.31875,0.86875,0.86875,188,Infinity,-1,1,-1,162,0,1
115000,163,163,367.46625766871165,363.46625766871165,0.8773006134969326,0.8773006134969326,188,Infinity,-1,1,-1,163,0,1
120000,162,162,362.7378048780488,358.75,0.8719512195121951,0.8719512195121951,188,Infinity,-1,1,-1,162,0,1
125000,163,163,361.23125,357.2375,0.85625,0.85625,188,Infinity,-1,1,-1,163,0,1
130000,162,162,365.8834355828221,361.87116564417175,0.852760736196319,0.852760736196319,188,Infinity,-1,1,-1,162,0,1
135000,163,163,361.2987804878049,357.3048780487805,0.926829268292683,0.926829268292683,188,Infinity,-1,1,-1,163,0,1
140000,162,162,364.8695652173913,360.8447204968944,0.8819875776397516,0.8819875776397516,188,Infinity,-1,1,-1,162,0,1
145000,163,163,360.4049079754601,356.4171779141104,0.8588957055214724,0.8588957055214724,188,Infinity,-1,1,-1,163,0,1
150000,162,162,361.55828220858893,357.5644171779141,0.852760736196319,0.852760736196319,188,Infinity,-1,1,-1,162,0,1
155000,163,163,366.2608695652174,362.29813664596276,0.906832298136646,0.906832298136646,188,Infinity,-1,1,-1,163,0,1
160000,162,162,359.53374233128835,355.5276073619632,0.8711656441717791,0.8711656441717791,188,Infinity,-1,1,-1,162,0,1
165000,163,163,366.0246913580247,362.0432098765432,0.8518518518518519,0.8518518518518519,188,Infinity,-1,1,-1,163,0,1
170000,162,162,364.55828220858893,360.57055214723925,0.8466257668711656,0.8466257668711656,188,Infinity,-1,0.9938271604938271,-1,162,0,1
175000,163,163,364.15337423312883,360.16564417177915,0.901840490797546,0.901840490797546,188,Infinity,-1,1,-1,163,0,1
180000,162,162,366.1111111111111,362.12345679012344,0.9012345679012346,0.9012345679012346,188,Infinity,-1,1,-1,162,0,1
185000,163,163,363.2621951219512,359.2743902439024,0.8902439024390244,0.8902439024390244,188,Infinity,-1,1,-1,163,0,1
190000,162,162,358.320987654321,354.32716049382714,0.8827160493827161,0.8827160493827161,188,Infinity,-1,1,-1,162,0,1
195000,163,163,363.11728395061726,359.11728395061726,0.8888888888888888,0.8888888888888888,188,Infinity,-1,1,-1,163,0,1
200000,162,162,365.98765432098764,361.98148148148147,0.8888888888888888,0.8888888888888888,188,Infinity,-1,1,-1,162,0,1
205000,163,163,364.97546012269936,360.9815950920245,0.8957055214723927,0.8957055214723927,188,Infinity,-1,1,-1,163,0,1
210000,162,162,356.4223602484472,352.4223602484472,0.8757763975155279,0.8757763975155279,188,Infinity,-1,1,-1,162,0,1
215000,163,163,364.62576687116564,360.6319018404908,0.8466257668711656,0.8466257668711656,188,Infinity,-1,1,-1,163,0,1
220000,162,162,366.3454545454546,362,0.8424242424242424,0.8433734939759037,188,Infinity,-1,1,-1,162,0,1
225000,163,163,369.2654320987654,365.6521739130435,0.8827160493827161,0.8819875776397516,188,Infinity,-1,0.9938650306748467,-1,163,0,1
230000,162,162,367.3105590062112,363.30434782608694,0.84472049689441,0.84472049689441,188,Infinity,-1,1,-1,162,0,1
235000,163,163,366.0121951219512,361.9939024390244,0.8902439024390244,0.8902439024390244,188,Infinity,-1,1,-1,163,0,1
240000,162,162,358.99378881987576,355.0124223602484,0.8819875776397516,0.8819875776397516,188,Infinity,-1,1,-1,162,0,1
245000,163,163,361.609756097561,357.609756097561,0.8536585365853658,0.8536585365853658,188,Infinity,-1,1,-1,163,0,1
250000,162,162,362.96932515337426,358.97546012269936,0.8895705521472392,0.8895705521472392,188,Infinity,-1,1,-1,162,0,1
255000,163,163,364.1604938271605,360.179012345679,0.8827160493827161,0.8827160493827161,188,Infinity,-1,1,-1,163,0,1
260000,162,162,365.23926380368096,361.2453987730061,0.9141104294478528,0.9141104294478528,188,Infinity,-1,1,-1,162,0,1
265000,163,163,363.175,359.175,0.85,0.85,188,Infinity,-1,1,-1,163,0,1
270000,162,162,372.0060975609756,368.0243902439024,0.8658536585365854,0.8658536585365854,188,Infinity,-1,1,-1,162,0,1
275000,163,163,366.0432098765432,362.05555555555554,0.8703703703703703,0.8703703703703703,188,Infinity,-1,1,-1,163,0,1
280000,162,162,367.5092024539877,363.4907975460123,0.8404907975460123,0.8404907975460123,188,Infinity,-1,1,-1,162,0,1
285000,163,163,365.3416149068323,361.3478260869565,0.8757763975155279,0.8757763975155279,188,Infinity,-1,1,-1,163,0,1
290000,162,162,369.0731707317073,365.0853658536585,0.8841463414634146,0.8841463414634146,188,Infinity,-1,1,-1,162,0,1
295000,163,163,358.77777777777777,354.77777777777777,0.8950617283950617,0.8950617283950617,188,Infinity,-1,1,-1,163,0,1
300000,162,162,363.5092024539877,359.5153374233129,0.8588957055214724,0.8588957055214724,188,Infinity,-1,1,-1,162,0,1
305000,163,163,361.3888888888889,357.39506172839504,0.8580246913580247,0.8580246913580247,188,Infinity,-1,1,-1,163,0,1
