tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,217,215,574.5492227979274,603.9736842105264,0.15025906735751296,0.6421052631578947,215,Infinity,-1,0.11162790697674418,-1,215,0,1
10000,216,209,563.3440366972477,607.8483412322275,0.22935779816513763,0.6682464454976303,215,Infinity,-1,0.0861244019138756,-1,209,0,1
15000,217,204,549.7981220657277,608.505,0.28169014084507044,0.665,215,Infinity,-1,0.10784313725490197,-1,204,0,1
20000,216,193,519.1780821917808,603.3775510204082,0.2968036529680365,0.6785714285714286,215,Infinity,-1,0.06217616580310881,-1,193,0,1
25000,216,194,523.3348623853211,605.1472081218274,0.2889908256880734,0.6649746192893401,215,Infinity,-1,0.0979381443298969,-1,194,0,1
30000,217,181,485.972602739726,606.5737704918033,0.3744292237442922,0.7158469945355191,215,Infinity,-1,0.08287292817679558,-1,181,0,1
35000,216,177,477.2325581395349,602.8514285714285,0.37209302325581395,0.7142857142857143,215,Infinity,-1,0.0847457627118644,-1,177,0,1
40000,217,166,444.75586854460096,605.7423312883435,0.4084507042253521,0.6625766871165644,215,Infinity,-1,0.04216867469879518,-1,166,0,1
45000,216,173,468.95433789954336,607.2613636363636,0.3561643835616438,0.6875,215,Infinity,-1,0.06358381502890173,-1,173,0,1
50000,216,161,438.2818181818182,611.5670731707318,0.4,0.6646341463414634,215,Infinity,-1,0.07453416149068323,-1,161,0,1
55000,217,157,421.6261682242991,609.2857142857143,0.38317757009345793,0.6233766233766234,215,Infinity,-1,0.044585987261146494,-1,157,0,1
60000,216,139,377.5662100456621,606.1118881118881,0.502283105022831,0.6923076923076923,215,Infinity,-1,0.02158273381294964,-1,139,0,1
65000,217,140,376.9769585253456,608.9714285714285,0.47465437788018433,0.6785714285714286,215,Infinity,-1,0.03571428571428571,-1,140,0,1
70000,216,143,385.9490740740741,609.1347517730496,0.5046296296296297,0.7021276595744681,215,Infinity,-1,0.03496503496503497,-1,143,0,1
75000,217,131,356.8812785388128,607.3823529411765,0.4931506849315068,0.6617647058823529,215,Infinity,-1,0.030534351145038167,-1,131,0,1
80000,216,134,352.90995260663504,598.488188976378,0.5308056872037915,0.6850393700787402,215,Infinity,-1,0.04477611940298507,-1,134,0,1
85000,216,145,402.15909090909093,691.1931034482759,0.34545454545454546,0.7103448275862069,215,Infinity,-1,0.06896551724137931,-1,145,0,1
90000,217,137,376.6605504587156,700.6785714285714,0.3669724770642202,0.6571428571428571,215,Infinity,-1,0.043795620437956206,-1,137,0,1
95000,216,129,352.7581395348837,707.1395348837209,0.4046511627906977,0.7131782945736435,215,Infinity,-1,0.03875968992248062,-1,129,0,1
100000,217,116,314.56542056074767,704.9391304347826,0.4672897196261682,0.6695652173913044,215,Infinity,-1,0.034482758620689655,-1,116,0,1
105000,216,145,397.0229357798165,707.2377622377622,0.3302752293577982,0.6853146853146853,215,Infinity,-1,0.027586206896551724,-1,145,0,1
110000,216,138,381.9403669724771,703.0851063829788,0.3577981651376147,0.7375886524822695,215,Infinity,-1,0.043478260869565216,-1,138,0,1
115000,217,142,385.50467289719626,705.5434782608696,0.35046728971962615,0.7318840579710145,215,Infinity,-1,0.04225352112676056,-1,142,0,1
120000,216,152,417.27314814814815,703.6092715231788,0.30092592592592593,0.7152317880794702,215,Infinity,-1,0.019736842105263157,-1,152,0,1
125000,217,160,436.24766355140184,705.725,0.2616822429906542,0.71875,215,Infinity,-1,0.05,-1,160,0,1
130000,216,170,466.08715596330273,706.452380952381,0.21559633027522937,0.625,215,Infinity,-1,0.07058823529411765,-1,170,0,1
135000,216,170,464.1267605633803,707.9289940828403,0.215962441314554,0.621301775147929,215,Infinity,-1,0.058823529411764705,-1,170,0,1
140000,217,176,480.7889908256881,700.28,0.18807339449541285,0.6857142857142857,215,Infinity,-1,0.0625,-1,176,0,1
145000,216,177,485.7860465116279,703.2247191011236,0.19069767441860466,0.6797752808988764,215,Infinity,-1,0.05084745762711865,-1,177,0,1
150000,217,191,521.8256880733945,704.8534031413612,0.11926605504587157,0.6335078534031413,215,Infinity,-1,0.06282722513089005,-1,191,0,1
155000,216,189,517.8224299065421,709.7945945945946,0.1308411214953271,0.6810810810810811,215,Infinity,-1,0.042328042328042326,-1,189,0,1
160000,216,200,550.2837209302326,701.7227722772277,0.07906976744186046,0.7376237623762376,215,Infinity,-1,0.07,-1,200,0,1
165000,217,204,556.8372093023256,704.78,0.06976744186046512,0.655,215,Infinity,-1,0.11274509803921569,-1,204,0,1
170000,216,200,547.4292237442922,706.592039800995,0.0730593607305936,0.681592039800995,215,Infinity,-1,0.075,-1,200,0,1
175000,217,213,581.1898148148148,703.1737089201878,0.018518518518518517,0.6948356807511737,215,Infinity,-1,0.07042253521126761,-1,213,0,1
180000,216,208,566.2232558139535,701.6105769230769,0.037209302325581395,0.6586538461538461,215,Infinity,-1,0.08173076923076923,-1,208,0,1
185000,216,214,587.059633027523,704.3317757009346,0.009174311926605505,0.6355140186915887,215,Infinity,-1,0.09345794392523364,-1,214,0,1
190000,217,214,584.6448598130842,705.1495327102804,0.018691588785046728,0.6728971962616822,215,Infinity,-1,0.08878504672897196,-1,214,0,1
195000,216,214,586.1520737327189,708.2028301886793,0.009216589861751152,0.7169811320754716,215,Infinity,-1,0.0794392523364486,-1,214,0,1
200000,217,217,588.6851851851852,706.6438356164383,0.004629629629629629,0.6438356164383562,215,Infinity,-1,0.12442396313364056,-1,217,0,1
205000,216,215,585.5760368663595,702.2604651162791,0.009216589861751152,0.6372093023255814,215,Infinity,-1,0.06976744186046512,-1,215,0,1
210000,216,214,585.4511627906977,708.8504672897196,0.013953488372093023,0.719626168224299,215,Infinity,-1,0.09813084112149532,-1,214,0,1
215000,217,217,588.7798165137615,709.4583333333334,0.0045871559633027525,0.6898148148148148,215,Infinity,-1,0.07834101382488479,-1,217,0,1
220000,216,212,581.7314814814815,706.1813953488372,0.018518518518518517,0.6837209302325581,215,Infinity,-1,0.12735849056603774,-1,212,0,1
225000,217,215,587.7222222222222,710.2452830188679,0.009259259259259259,0.6839622641509434,215,Infinity,-1,0.09302325581395349,-1,215,0,1
230000,216,215,587.4700460829494,708.3179723502304,0.004608294930875576,0.7096774193548387,215,Infinity,-1,0.046511627906976744,-1,215,0,1
