tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,346,338,456.6751592356688,461.64495114006513,0.34394904458598724,0.3289902280130293,243,Infinity,-1,0.029498525073746312,-1,339,0,1
10000,345,314,420.87784090909093,457.05625,0.3778409090909091,0.315625,243,Infinity,-1,0.03194888178913738,-1,313,0,1
15000,345,299,405.2906976744186,461.69127516778525,0.3808139534883721,0.28523489932885904,243,Infinity,-1,0.043478260869565216,-1,299,0,1
20000,346,277,374.3333333333333,459.7039711191336,0.4144927536231884,0.27075812274368233,243,Infinity,-1,0.02527075812274368,-1,277,0,1
25000,345,263,352.06051873198845,455.90909090909093,0.47262247838616717,0.3068181818181818,243,Infinity,-1,0.019011406844106463,-1,263,0,1
30000,345,266,360.164265129683,459.5970149253731,0.4610951008645533,0.30223880597014924,243,Infinity,-1,0.007518796992481203,-1,266,0,1
35000,346,241,324.86416184971097,457.24793388429754,0.4913294797687861,0.2768595041322314,243,Infinity,-1,0.02074688796680498,-1,241,0,1
40000,345,227,303.33815028901734,454.7533039647577,0.5520231213872833,0.31718061674008813,243,Infinity,-1,0.004405286343612335,-1,227,0,1
45000,345,209,285.13832853025934,460.77251184834125,0.5504322766570605,0.26066350710900477,243,Infinity,-1,0.023923444976076555,-1,209,0,1
50000,345,215,290.6994219653179,457.7083333333333,0.5751445086705202,0.3194444444444444,243,Infinity,-1,0.013953488372093023,-1,215,0,1
55000,346,204,278.4971264367816,462.1747572815534,0.5948275862068966,0.3155339805825243,243,Infinity,-1,0.004901960784313725,-1,204,0,1
60000,345,179,241.65395894428153,461.6114285714286,0.624633431085044,0.26857142857142857,243,Infinity,-1,0.027932960893854747,-1,179,0,1
65000,345,178,245.46109510086455,463.8888888888889,0.6426512968299711,0.3111111111111111,243,Infinity,-1,0,-1,178,0,1
70000,346,161,218.2816091954023,456.00613496932516,0.6695402298850575,0.3006134969325153,243,Infinity,-1,0.018633540372670808,-1,161,0,1
75000,345,139,192.4092219020173,462.21985815602835,0.7377521613832853,0.3546099290780142,243,Infinity,-1,0.007194244604316547,-1,139,0,1
80000,345,168,227.8150289017341,456.7751479289941,0.6878612716763006,0.3668639053254438,243,Infinity,-1,0.005952380952380952,-1,168,0,1
85000,346,153,96.23579545454545,201.30625,0.6732954545454546,0.28125,243,Infinity,-1,0.012987012987012988,-1,154,0,1
90000,345,163,87.36676217765043,173.65662650602408,0.673352435530086,0.3132530120481928,243,Infinity,-1,0,-1,162,0,1
95000,345,144,76.71511627906976,173.27272727272728,0.7325581395348837,0.35664335664335667,243,Infinity,-1,0.020833333333333332,-1,144,0,1
100000,346,161,83.8600583090379,170.66666666666666,0.7113702623906706,0.37735849056603776,243,Infinity,-1,0,-1,161,0,1
105000,345,167,89.11239193083574,174.24404761904762,0.6801152737752162,0.3392857142857143,243,Infinity,-1,0.011976047904191617,-1,167,0,1
110000,345,162,86.07826086956521,173.179012345679,0.6550724637681159,0.2654320987654321,243,Infinity,-1,0,-1,162,0,1
115000,346,174,93.15204678362574,176.68421052631578,0.6345029239766082,0.26900584795321636,243,Infinity,-1,0.017241379310344827,-1,174,0,1
120000,345,183,98.07183908045977,175.5483870967742,0.6522988505747126,0.34408602150537637,243,Infinity,-1,0.00546448087431694,-1,183,0,1
125000,345,164,88.97982708933718,175.9090909090909,0.6426512968299711,0.2545454545454545,243,Infinity,-1,0,-1,164,0,1
130000,345,171,92.2420749279539,175.364161849711,0.6426512968299711,0.2832369942196532,243,Infinity,-1,0.005847953216374269,-1,171,0,1
135000,346,188,97.42011834319527,173.8111111111111,0.6479289940828402,0.3388888888888889,243,Infinity,-1,0.02127659574468085,-1,188,0,1
140000,345,170,93.34472934472934,176.63636363636363,0.7008547008547008,0.4034090909090909,243,Infinity,-1,0,-1,170,0,1
