tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,240,240,3.9583333333333335,541.6807511737089,0.0625,0.7887323943661971,176,Infinity,-1,0.016666666666666666,-1,240,0,1
10000,240,240,3.9916666666666667,539.2708333333334,0.1375,0.8375,176,Infinity,-1,0.008333333333333333,-1,240,0,1
15000,240,240,3.975,543.4421487603306,0.2,0.7768595041322314,176,Infinity,-1,0,-1,240,0,1
20000,240,240,3.9791666666666665,539.1680672268908,0.2916666666666667,0.7857142857142857,176,Infinity,-1,0.008333333333333333,-1,240,0,1
25000,240,240,3.9707112970711296,537.9668049792531,0.37656903765690375,0.8257261410788381,176,Infinity,-1,0.004166666666666667,-1,240,0,1
30000,239,239,3.9541666666666666,535.6569037656903,0.425,0.8242677824267782,176,Infinity,-1,0.008368200836820083,-1,239,0,1
35000,240,240,3.9625,544.075,0.4583333333333333,0.7958333333333333,176,Infinity,-1,0.016666666666666666,-1,240,0,1
40000,240,240,4.004166666666666,543.6375,0.5166666666666667,0.8,176,Infinity,-1,0.0125,-1,240,0,1
45000,240,240,3.9458333333333333,542.0207468879668,0.48333333333333334,0.8049792531120332,176,Infinity,-1,0.025,-1,240,0,1
50000,240,240,3.9583333333333335,541.4853556485356,0.5666666666666667,0.7949790794979079,176,Infinity,-1,0.0125,-1,240,0,1
55000,240,240,3.95,541.0373443983402,0.6166666666666667,0.8215767634854771,176,Infinity,-1,0.0125,-1,240,0,1
60000,240,239,3.9748953974895396,542.0966386554621,0.5188284518828452,0.8487394957983193,176,Infinity,-1,0.008368200836820083,-1,239,0,1
65000,239,240,3.941666666666667,539.7416666666667,0.5375,0.7708333333333334,176,Infinity,-1,0.008333333333333333,-1,240,0,1
70000,240,240,3.9625,539.3692946058092,0.5708333333333333,0.7634854771784232,176,Infinity,-1,0.008333333333333333,-1,240,0,1
75000,240,240,3.966666666666667,543.6302521008404,0.5208333333333334,0.7773109243697479,176,Infinity,-1,0.008333333333333333,-1,240,0,1
80000,240,240,3.9375,544.4813278008298,0.5458333333333333,0.8174273858921162,176,Infinity,-1,0.016666666666666666,-1,240,0,1
85000,240,240,4.075,649.0386266094421,0.5666666666666667,0.8111587982832618,176,Infinity,-1,0.004166666666666667,-1,240,0,1
90000,240,239,4.046025104602511,664.9668049792531,0.5104602510460251,0.8174273858921162,176,Infinity,-1,0.0041841004184100415,-1,239,0,1
95000,239,240,4.041666666666667,663.3319502074689,0.475,0.8174273858921162,176,Infinity,-1,0,-1,240,0,1
100000,240,240,4.070833333333334,665.6919831223629,0.5291666666666667,0.7848101265822784,176,Infinity,-1,0.004166666666666667,-1,240,0,1
105000,240,240,4.041666666666667,664.1900826446281,0.5541666666666667,0.7851239669421488,176,Infinity,-1,0,-1,240,0,1
110000,240,240,4.054166666666666,660.0962343096235,0.49583333333333335,0.8075313807531381,176,Infinity,-1,0,-1,240,0,1
115000,240,240,4.054166666666666,662.1541666666667,0.5625,0.7666666666666667,176,Infinity,-1,0,-1,240,0,1
120000,240,240,4.054166666666666,664.7322175732218,0.5291666666666667,0.7740585774058577,176,Infinity,-1,0,-1,240,0,1
125000,239,239,4.041841004184101,662.6694560669456,0.5439330543933054,0.803347280334728,176,Infinity,-1,0,-1,239,0,1
130000,240,240,4.045833333333333,660.6058091286307,0.5,0.8174273858921162,176,Infinity,-1,0.008333333333333333,-1,240,0,1
135000,240,240,4.075,657.3875,0.5166666666666667,0.8208333333333333,176,Infinity,-1,0,-1,240,0,1
140000,240,240,4.041666666666667,658.9497907949791,0.5833333333333334,0.7907949790794979,176,Infinity,-1,0.004166666666666667,-1,240,0,1
145000,240,240,4.041666666666667,664.5330578512396,0.55,0.7851239669421488,176,Infinity,-1,0,-1,240,0,1
150000,240,240,4.058333333333334,661.5481171548117,0.575,0.803347280334728,176,Infinity,-1,0.004166666666666667,-1,240,0,1
155000,240,239,4.075313807531381,661.3625,0.5481171548117155,0.7666666666666667,176,Infinity,-1,0.0041841004184100415,-1,239,0,1
160000,239,240,4.033333333333333,658.8375,0.49583333333333335,0.8333333333333334,176,Infinity,-1,0.004166666666666667,-1,240,0,1
165000,240,240,4.05,658.0916666666667,0.5541666666666667,0.8375,176,Infinity,-1,0,-1,240,0,1
170000,240,240,4.091666666666667,658.2458333333333,0.5208333333333334,0.7958333333333333,176,Infinity,-1,0,-1,240,0,1
175000,240,240,4.075,658.8033472803347,0.5583333333333333,0.8075313807531381,176,Infinity,-1,0.008333333333333333,-1,240,0,1
180000,240,240,4.058333333333334,659.0708333333333,0.5833333333333334,0.7958333333333333,176,Infinity,-1,0.004166666666666667,-1,240,0,1
185000,240,240,4.041666666666667,663.2190082644628,0.5791666666666667,0.8388429752066116,176,Infinity,-1,0.004166666666666667,-1,240,0,1
190000,239,239,4.058577405857741,658.6666666666666,0.5941422594142259,0.8059071729957806,176,Infinity,-1,0.0041841004184100415,-1,239,0,1
195000,240,240,4.029166666666667,660.954356846473,0.5583333333333333,0.8008298755186722,176,Infinity,-1,0.004166666666666667,-1,240,0,1
200000,240,240,4.0375,659.3723849372385,0.5833333333333334,0.8158995815899581,176,Infinity,-1,0.004166666666666667,-1,240,0,1
205000,240,240,4.0375,663.4435146443515,0.5875,0.7907949790794979,176,Infinity,-1,0,-1,240,0,1
