tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,257,256,3.99609375,406.25,0.03515625,0.4915254237288136,469,Infinity,-1,0,-1,257,0,1
10000,256,257,3.9844357976653697,404.1875,0.07782101167315175,0.39453125,469,Infinity,-1,0,-1,256,0,1
15000,256,256,3.9921875,402.52156862745096,0.125,0.4549019607843137,469,Infinity,-1,0,-1,256,0,1
20000,256,256,3.9921875,402.6216216216216,0.1953125,0.37065637065637064,469,Infinity,-1,0,-1,256,0,1
25000,257,256,3.98828125,404.09055118110234,0.20703125,0.4251968503937008,469,Infinity,-1,0,-1,257,0,1
30000,256,257,3.9883268482490273,404.80859375,0.2918287937743191,0.48828125,469,Infinity,-1,0,-1,256,0,1
35000,256,256,3.9921875,406.26171875,0.30859375,0.3984375,469,Infinity,-1,0,-1,256,0,1
40000,256,256,3.9921875,405.8599221789883,0.35546875,0.4357976653696498,469,Infinity,-1,0,-1,256,0,1
45000,257,256,3.984375,404.87109375,0.3984375,0.41796875,469,Infinity,-1,0,-1,257,0,1
50000,256,257,3.9844357976653697,402.1085271317829,0.45136186770428016,0.41472868217054265,469,Infinity,-1,0,-1,256,0,1
55000,256,256,3.99609375,409.81960784313725,0.4296875,0.44313725490196076,469,Infinity,-1,0,-1,256,0,1
60000,256,256,3.99609375,407.6953125,0.4921875,0.375,469,Infinity,-1,0,-1,256,0,1
65000,257,256,3.9921875,403.12451361867704,0.546875,0.48638132295719844,469,Infinity,-1,0,-1,257,0,1
70000,256,257,3.980544747081712,408.5387596899225,0.490272373540856,0.4069767441860465,469,Infinity,-1,0,-1,256,0,1
75000,256,256,3.99609375,403.15354330708664,0.51171875,0.42913385826771655,469,Infinity,-1,0,-1,256,0,1
80000,256,256,4,404.97254901960787,0.51171875,0.3607843137254902,469,Infinity,-1,0,-1,256,0,1
85000,257,257,3.980544747081712,644.9224489795919,0.5330739299610895,0.4326530612244898,469,Infinity,-1,0.023346303501945526,-1,257,0,1
90000,256,256,3.97265625,662.4901960784314,0.5859375,0.4588235294117647,469,Infinity,-1,0.0390625,-1,256,0,1
95000,256,256,3.96484375,668.2627450980392,0.48828125,0.43137254901960786,469,Infinity,-1,0.03125,-1,256,0,1
100000,256,256,3.96484375,664.3914728682171,0.55078125,0.4496124031007752,469,Infinity,-1,0.046875,-1,256,0,1
105000,257,257,3.984375,664.6420233463035,0.546875,0.39299610894941633,469,Infinity,-1,0.05058365758754864,-1,257,0,1
110000,256,256,3.9844357976653697,665.390625,0.5291828793774319,0.46484375,469,Infinity,-1,0.03515625,-1,256,0,1
115000,256,256,3.95703125,665.1529411764706,0.53515625,0.4,469,Infinity,-1,0.05078125,-1,256,0,1
120000,256,256,3.95703125,667.8599221789883,0.53125,0.46303501945525294,469,Infinity,-1,0.0703125,-1,256,0,1
125000,257,256,3.93359375,668.1162790697674,0.546875,0.46511627906976744,469,Infinity,-1,0.0622568093385214,-1,257,0,1
130000,256,257,3.9844357976653697,665.07421875,0.5369649805447471,0.45703125,469,Infinity,-1,0.05078125,-1,256,0,1
135000,256,256,3.98046875,666.828793774319,0.51171875,0.4669260700389105,469,Infinity,-1,0.0546875,-1,256,0,1
140000,256,256,3.99609375,664.0826771653543,0.52734375,0.41338582677165353,469,Infinity,-1,0.03125,-1,256,0,1
145000,257,256,3.96875,667.30859375,0.56640625,0.40234375,469,Infinity,-1,0.0311284046692607,-1,257,0,1
150000,256,257,3.9844357976653697,668.5642023346303,0.5330739299610895,0.45525291828793774,469,Infinity,-1,0.0234375,-1,256,0,1
155000,256,256,3.99609375,670.4863813229572,0.53125,0.4396887159533074,469,Infinity,-1,0.0234375,-1,256,0,1
160000,256,256,3.984375,662.4274509803921,0.50390625,0.47843137254901963,469,Infinity,-1,0.03515625,-1,256,0,1
165000,257,256,3.98046875,669.0116279069767,0.515625,0.4069767441860465,469,Infinity,-1,0.0311284046692607,-1,257,0,1
170000,256,257,3.9571984435797667,667.0588235294117,0.5291828793774319,0.44313725490196076,469,Infinity,-1,0.05859375,-1,256,0,1
175000,256,256,4.01171875,665.5803921568628,0.5625,0.39215686274509803,469,Infinity,-1,0.03125,-1,256,0,1
180000,256,256,3.95703125,667.6899224806201,0.52734375,0.3875968992248062,469,Infinity,-1,0.0546875,-1,256,0,1
185000,257,256,3.953125,667.71875,0.5078125,0.43359375,469,Infinity,-1,0.04669260700389105,-1,257,0,1
190000,256,257,3.9571984435797667,666.33984375,0.5175097276264592,0.41796875,469,Infinity,-1,0.0390625,-1,256,0,1
195000,256,256,3.94140625,666.9455252918287,0.58203125,0.42412451361867703,469,Infinity,-1,0.06640625,-1,256,0,1
