tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,334,334,598.078231292517,592.578231292517,0.11904761904761904,0.24829931972789115,450,Infinity,-1,0.08982035928143713,-1,334,0,1
10000,334,333,605.5903614457832,598.244776119403,0.1686746987951807,0.25970149253731345,450,Infinity,-1,0.16216216216216217,-1,333,0,1
15000,333,334,606.6875,596.644578313253,0.2113095238095238,0.25301204819277107,450,Infinity,-1,0.16467065868263472,-1,334,0,1
20000,334,334,605.3825301204819,599.5611940298508,0.2469879518072289,0.20597014925373133,450,Infinity,-1,0.1317365269461078,-1,334,0,1
25000,333,333,600.6298507462686,594.996996996997,0.2716417910447761,0.23123123123123124,450,Infinity,-1,0.13513513513513514,-1,333,0,1
30000,334,334,602.5240963855422,597.5761194029851,0.3253012048192771,0.24477611940298508,450,Infinity,-1,0.11077844311377245,-1,334,0,1
35000,334,333,606.1261261261261,597.4818181818182,0.34234234234234234,0.24848484848484848,450,Infinity,-1,0.12312312312312312,-1,333,0,1
40000,333,334,604.8776119402985,597.063063063063,0.3522388059701492,0.22822822822822822,450,Infinity,-1,0.15568862275449102,-1,334,0,1
45000,334,334,604.1646706586827,595.0179104477612,0.38622754491017963,0.208955223880597,450,Infinity,-1,0.16167664670658682,-1,334,0,1
50000,333,333,600.8982035928144,593.3083832335329,0.39820359281437123,0.2694610778443114,450,Infinity,-1,0.0960960960960961,-1,333,0,1
55000,334,334,605.7129909365559,594.4520958083832,0.42900302114803623,0.2634730538922156,450,Infinity,-1,0.11377245508982035,-1,334,0,1
60000,333,333,606.6597014925374,592.2372372372372,0.43582089552238806,0.22522522522522523,450,Infinity,-1,0.14414414414414414,-1,333,0,1
65000,334,334,605.9373134328358,596.8358208955224,0.5104477611940299,0.26865671641791045,450,Infinity,-1,0.15568862275449102,-1,334,0,1
70000,334,333,603.7250755287009,591.685628742515,0.5105740181268882,0.24850299401197604,450,Infinity,-1,0.1317365269461078,-1,334,0,1
75000,333,334,606.2814371257485,592.4024024024025,0.5209580838323353,0.24024024024024024,450,Infinity,-1,0.12312312312312312,-1,333,0,1
80000,334,334,599.9134328358209,595.1141141141142,0.48656716417910445,0.22522522522522523,450,Infinity,-1,0.1407185628742515,-1,334,0,1
85000,333,333,603.4131736526946,533.3952802359883,0.592814371257485,0.2359882005899705,450,Infinity,-1,0.12312312312312312,-1,333,0,1
90000,334,334,604.3313253012049,527.5361445783133,0.6385542168674698,0.2319277108433735,450,Infinity,-1,0.12275449101796407,-1,334,0,1
95000,334,334,605.9820895522388,530.3044776119403,0.6358208955223881,0.22388059701492538,450,Infinity,-1,0.1467065868263473,-1,334,0,1
100000,333,333,605.3802395209581,531.0843373493976,0.6467065868263473,0.25,450,Infinity,-1,0.13813813813813813,-1,333,0,1
105000,334,334,604.8132530120482,532.4730538922156,0.6475903614457831,0.27245508982035926,450,Infinity,-1,0.1317365269461078,-1,334,0,1
110000,333,333,601.9491017964071,530.6906906906906,0.6197604790419161,0.1981981981981982,450,Infinity,-1,0.13513513513513514,-1,333,0,1
115000,334,334,602.4221556886228,529.0597014925373,0.6616766467065869,0.23283582089552238,450,Infinity,-1,0.12574850299401197,-1,334,0,1
120000,334,333,605.6526946107784,526.3791044776119,0.6227544910179641,0.22388059701492538,450,Infinity,-1,0.12912912912912913,-1,334,0,1
125000,333,334,602.990990990991,529.5602409638554,0.6426426426426426,0.24397590361445784,450,Infinity,-1,0.12874251497005987,-1,333,0,1
130000,334,334,599.7409638554217,532.0598802395209,0.641566265060241,0.24850299401197604,450,Infinity,-1,0.15269461077844312,-1,334,0,1
135000,333,333,603.0238095238095,526.5089820359282,0.6309523809523809,0.2634730538922156,450,Infinity,-1,0.15615615615615616,-1,333,0,1
140000,334,334,603.2582582582583,527.5795795795796,0.6366366366366366,0.24024024024024024,450,Infinity,-1,0.12275449101796407,-1,334,0,1
145000,334,333,605.7190332326284,531.2477341389728,0.6555891238670695,0.2537764350453172,450,Infinity,-1,0.14414414414414414,-1,333,0,1
150000,325,326,604.1097922848664,529.8165680473372,0.6023738872403561,0.23668639053254437,450,Infinity,-1,0.12576687116564417,-1,326,0,1
