tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,129,129,497.33620689655174,493.57758620689657,0.5258620689655172,0.5344827586206896,500,Infinity,-1,0.7751937984496124,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,490.46875,509.10869565217394,497.10526315789474,0.625,0.5652173913043478,0.39473684210526316
10000,128,128,497.015503875969,493.93023255813955,0.46511627906976744,0.4728682170542636,500,Infinity,-1,0.7890625,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,504.42105263157896,505.45454545454544,488.0769230769231,0.47368421052631576,0.3939393939393939,0.5128205128205128
15000,129,129,489.31007751937983,485.62015503875966,0.46511627906976744,0.46511627906976744,500,Infinity,-1,0.7674418604651163,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,491,497.8863636363636,486.5128205128205,0.41304347826086957,0.45454545454545453,0.5384615384615384
20000,129,128,495.5891472868217,491.83720930232556,0.4883720930232558,0.4883720930232558,500,Infinity,-1,0.765625,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,503.1224489795918,494.86486486486484,495.74418604651163,0.4897959183673469,0.5405405405405406,0.4418604651162791
25000,128,129,492.93700787401576,489.12598425196853,0.5196850393700787,0.5354330708661418,500,Infinity,-1,0.7751937984496124,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,489.63829787234044,501.7142857142857,497.1777777777778,0.46808510638297873,0.5142857142857142,0.5777777777777777
30000,129,128,492.3953488372093,488.6511627906977,0.4573643410852713,0.4728682170542636,500,Infinity,-1,0.71875,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,493.6857142857143,504.1914893617021,486.9148936170213,0.45714285714285713,0.44680851063829785,0.46808510638297873
35000,128,129,486.4418604651163,482.52713178294573,0.4728682170542636,0.4806201550387597,500,Infinity,-1,0.7674418604651163,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,489.2631578947368,490.2708333333333,487.7906976744186,0.42105263157894735,0.4791666666666667,0.5116279069767442
40000,129,129,492.59055118110234,488.8976377952756,0.4330708661417323,0.44881889763779526,500,Infinity,-1,0.7751937984496124,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,492.44897959183675,491.61764705882354,501.47727272727275,0.3877551020408163,0.4117647058823529,0.5
45000,128,128,500.5,496.67692307692306,0.47692307692307695,0.4846153846153846,500,Infinity,-1,0.703125,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,504.42857142857144,501.475,503.4375,0.38095238095238093,0.45,0.5833333333333334
50000,129,129,490.3410852713178,486.4573643410853,0.4883720930232558,0.5038759689922481,500,Infinity,-1,0.7131782945736435,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,485.3333333333333,491.24444444444447,500.375,0.5,0.5111111111111111,0.4583333333333333
55000,128,128,500.9921875,497.1328125,0.5390625,0.546875,500,Infinity,-1,0.71875,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,504.2325581395349,501.5833333333333,504.6734693877551,0.4418604651162791,0.5833333333333334,0.5918367346938775
60000,129,129,496.1875,492.5234375,0.4609375,0.4609375,500,Infinity,-1,0.7286821705426356,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,492.94594594594594,499.6170212765957,503.02272727272725,0.5405405405405406,0.3617021276595745,0.5
65000,128,128,495,491.04651162790697,0.5581395348837209,0.5658914728682171,500,Infinity,-1,0.7109375,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,490.6363636363636,506.8611111111111,497.2040816326531,0.45454545454545453,0.6388888888888888,0.5918367346938775
70000,129,129,489.4573643410853,485.69767441860466,0.46511627906976744,0.46511627906976744,500,Infinity,-1,0.7441860465116279,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,478.4418604651163,494.1363636363636,504.1190476190476,0.3953488372093023,0.5,0.5
75000,128,128,493.2265625,489.71875,0.5078125,0.515625,500,Infinity,-1,0.8046875,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,499.52830188679246,489.42857142857144,496.975,0.5283018867924528,0.5428571428571428,0.45
80000,129,129,490.9922480620155,486.76153846153846,0.5581395348837209,0.5692307692307692,500,Infinity,-1,0.751937984496124,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,486.77777777777777,494.7111111111111,500.53846153846155,0.4888888888888889,0.6,0.5897435897435898
85000,128,128,282.8872180451128,277.780303030303,0.43609022556390975,0.4393939393939394,500,Infinity,-1,0.734375,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,275.73333333333335,286.7083333333333,295.475,0.4,0.4375,0.475
90000,129,129,256.38461538461536,252.4923076923077,0.5461538461538461,0.5461538461538461,500,Infinity,-1,0.689922480620155,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,259.10869565217394,256.7826086956522,261.8421052631579,0.5,0.6086956521739131,0.5263157894736842
95000,128,128,259.6062992125984,255.71653543307087,0.4881889763779528,0.4881889763779528,500,Infinity,-1,0.71875,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,265.5652173913044,261.3777777777778,259.5833333333333,0.391304347826087,0.4444444444444444,0.6666666666666666
100000,129,129,265.84615384615387,261.94615384615383,0.5,0.5,500,Infinity,-1,0.6434108527131783,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,275.325,258.7173913043478,272.75,0.425,0.5434782608695652,0.5227272727272727
105000,128,128,267.13178294573646,263.2480620155039,0.5736434108527132,0.5736434108527132,500,Infinity,-1,0.625,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,271.90909090909093,271.8292682926829,265.9318181818182,0.5909090909090909,0.6097560975609756,0.5227272727272727
110000,129,129,261.9212598425197,257.99212598425197,0.49606299212598426,0.49606299212598426,500,Infinity,-1,0.6356589147286822,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,261.5,260.5,269.27272727272725,0.5263157894736842,0.47058823529411764,0.4909090909090909
115000,128,128,263.7890625,259.8984375,0.484375,0.484375,500,Infinity,-1,0.734375,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,263.9047619047619,267.5652173913044,268.15,0.5238095238095238,0.45652173913043476,0.475
120000,129,129,263.17054263565893,259.27906976744185,0.4573643410852713,0.4573643410852713,500,Infinity,-1,0.6201550387596899,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,263.15909090909093,264.6046511627907,270.04761904761904,0.45454545454545453,0.6046511627906976,0.30952380952380953
125000,128,128,262.71317829457365,258.83720930232556,0.4883720930232558,0.4883720930232558,500,Infinity,-1,0.6328125,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,260.2173913043478,273.45714285714286,264.5625,0.4782608695652174,0.5428571428571428,0.4583333333333333
130000,129,129,258.8984375,255,0.46875,0.46875,500,Infinity,-1,0.6356589147286822,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,260.45454545454544,257.06976744186045,266.03846153846155,0.5151515151515151,0.4418604651162791,0.46153846153846156
135000,128,128,262.8992248062016,258.968992248062,0.4573643410852713,0.4573643410852713,500,Infinity,-1,0.6875,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,263.09302325581393,265.9782608695652,268.025,0.4883720930232558,0.41304347826086957,0.475
140000,129,129,255.11111111111111,251.17460317460316,0.48412698412698413,0.48412698412698413,500,Infinity,-1,0.6666666666666666,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,261.69444444444446,259.0444444444444,253.42222222222222,0.4722222222222222,0.4888888888888889,0.4888888888888889
145000,128,128,268.5496183206107,264.62595419847327,0.5114503816793893,0.5114503816793893,500,Infinity,-1,0.6796875,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,266.6875,269.3488372093023,278.85,0.625,0.5116279069767442,0.375
150000,129,129,262.7829457364341,258.92248062015506,0.4573643410852713,0.4573643410852713,500,Infinity,-1,0.5968992248062015,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,265.1470588235294,268.9024390243902,263.1111111111111,0.4411764705882353,0.4878048780487805,0.4444444444444444
155000,128,128,260.5581395348837,256.6744186046512,0.4806201550387597,0.4806201550387597,500,Infinity,-1,0.671875,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,258.75925925925924,266.13513513513516,266.9736842105263,0.46296296296296297,0.32432432432432434,0.6578947368421053
160000,129,129,262.55555555555554,258.62698412698415,0.5079365079365079,0.5079365079365079,500,Infinity,-1,0.6589147286821705,-1,129,0,1,NaN,NaN,NaN,NaN,NaN,NaN,257.1136363636364,278.6388888888889,262.45652173913044,0.5681818181818182,0.5555555555555556,0.41304347826086957
