tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,299,299,591.3471698113208,669.3899613899614,0.007547169811320755,0.5521235521235521,500,Infinity,-1,0.13712374581939799,-1,299,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.9777777777778,608.9659090909091,608.6666666666666,0,0,0.022988505747126436
10000,298,296,587.993265993266,665.9326599326599,0.016835016835016835,0.49158249158249157,500,Infinity,-1,0.14527027027027026,-1,296,0,1,NaN,NaN,NaN,NaN,NaN,NaN,558.1875,600.797619047619,608.6752136752136,0.010416666666666666,0.047619047619047616,0
15000,299,298,591.9832775919732,667.8080808080808,0.023411371237458192,0.569023569023569,500,Infinity,-1,0.13758389261744966,-1,298,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.9638554216867,608.2264150943396,603.3363636363637,0.012048192771084338,0.02830188679245283,0.02727272727272727
20000,298,295,583.9295302013422,670.8907849829352,0.02348993288590604,0.5460750853242321,500,Infinity,-1,0.14576271186440679,-1,295,0,1,NaN,NaN,NaN,NaN,NaN,NaN,553.8545454545455,608.8933333333333,602.2566371681415,0.01818181818181818,0.013333333333333334,0.035398230088495575
25000,299,296,585.8528428093646,671.5317725752508,0.010033444816053512,0.5551839464882943,500,Infinity,-1,0.14189189189189189,-1,296,0,1,NaN,NaN,NaN,NaN,NaN,NaN,558.8807339449542,601.8421052631579,607.578947368421,0.009174311926605505,0.010526315789473684,0.010526315789473684
30000,298,295,583.4798657718121,671.3515358361775,0.030201342281879196,0.5767918088737202,500,Infinity,-1,0.12203389830508475,-1,295,0,1,NaN,NaN,NaN,NaN,NaN,NaN,558.295918367347,608.5,590.9166666666666,0.01020408163265306,0.021739130434782608,0.05555555555555555
35000,298,292,579.3120805369127,668.2457337883959,0.03691275167785235,0.5460750853242321,500,Infinity,-1,0.11301369863013698,-1,292,0,1,NaN,NaN,NaN,NaN,NaN,NaN,547.6213592233009,596.7156862745098,602.1720430107526,0.038834951456310676,0.0392156862745098,0.03225806451612903
40000,299,292,576.4750830564784,669.832191780822,0.036544850498338874,0.5102739726027398,500,Infinity,-1,0.1506849315068493,-1,292,0,1,NaN,NaN,NaN,NaN,NaN,NaN,544.0714285714286,608.6063829787234,589.6526315789474,0.03571428571428571,0.02127659574468085,0.05263157894736842
45000,298,289,573.8187919463087,670.9620689655172,0.04697986577181208,0.5689655172413793,500,Infinity,-1,0.17993079584775087,-1,289,0,1,NaN,NaN,NaN,NaN,NaN,NaN,541.4343434343434,592.8421052631579,593.5764705882353,0.050505050505050504,0.03508771929824561,0.058823529411764705
50000,299,288,571.1279461279461,665.9337979094076,0.04377104377104377,0.6097560975609756,500,Infinity,-1,0.12152777777777778,-1,288,0,1,NaN,NaN,NaN,NaN,NaN,NaN,533.6847826086956,602.28125,581.1651376146789,0.05434782608695652,0.020833333333333332,0.05504587155963303
55000,298,284,564.2919463087248,670.7132867132867,0.06040268456375839,0.5244755244755245,500,Infinity,-1,0.13732394366197184,-1,284,0,1,NaN,NaN,NaN,NaN,NaN,NaN,535.2371134020618,581.2555555555556,581.6666666666666,0.05154639175257732,0.07777777777777778,0.05405405405405406
60000,299,290,574.7533333333333,666.9513888888889,0.04666666666666667,0.5381944444444444,500,Infinity,-1,0.14482758620689656,-1,290,0,1,NaN,NaN,NaN,NaN,NaN,NaN,552,595.9278350515464,581.2,0.021505376344086023,0.061855670103092786,0.05454545454545454
65000,298,286,567.4713804713805,665.4459930313589,0.06397306397306397,0.5156794425087108,500,Infinity,-1,0.13636363636363635,-1,286,0,1,NaN,NaN,NaN,NaN,NaN,NaN,547.0909090909091,595.7021276595744,567.4230769230769,0.030303030303030304,0.0425531914893617,0.11538461538461539
70000,299,285,564.4247491638796,666.6048951048951,0.06020066889632107,0.534965034965035,500,Infinity,-1,0.1368421052631579,-1,285,0,1,NaN,NaN,NaN,NaN,NaN,NaN,542.9433962264151,571.5151515151515,588,0.03773584905660377,0.08080808080808081,0.06382978723404255
75000,298,283,558.7566666666667,665.4063604240283,0.06333333333333334,0.5618374558303887,500,Infinity,-1,0.1166077738515901,-1,283,0,1,NaN,NaN,NaN,NaN,NaN,NaN,533,581.7204301075269,571.7474747474747,0.05555555555555555,0.06451612903225806,0.0707070707070707
80000,298,280,556.5585284280936,670.6418439716313,0.06688963210702341,0.5319148936170213,500,Infinity,-1,0.1392857142857143,-1,280,0,1,NaN,NaN,NaN,NaN,NaN,NaN,503.23762376237624,584.8349514563107,589.3473684210526,0.10891089108910891,0.04854368932038835,0.042105263157894736
85000,299,275,366.53333333333336,403.1694915254237,0.5015873015873016,0.5050847457627119,500,Infinity,-1,0.12363636363636364,-1,275,0,1,NaN,NaN,NaN,NaN,NaN,NaN,375.6068376068376,359.8709677419355,367.95238095238096,0.47863247863247865,0.5376344086021505,0.49523809523809526
90000,298,239,300.7684563758389,367.6150627615063,0.6912751677852349,0.6150627615062761,500,Infinity,-1,0.05439330543933055,-1,239,0,1,NaN,NaN,NaN,NaN,NaN,NaN,301.01063829787233,292.9158878504673,314.9072164948454,0.723404255319149,0.7289719626168224,0.6185567010309279
95000,299,222,277.09797297297297,366.7762557077626,0.6351351351351351,0.5068493150684932,500,Infinity,-1,0.036036036036036036,-1,222,0,1,NaN,NaN,NaN,NaN,NaN,NaN,280.6203703703704,295.735632183908,263.1980198019802,0.6481481481481481,0.6206896551724138,0.6336633663366337
100000,298,211,264.22185430463577,363.0883720930233,0.6920529801324503,0.5674418604651162,500,Infinity,-1,0.08530805687203792,-1,211,0,1,NaN,NaN,NaN,NaN,NaN,NaN,232.16666666666666,286.17,275.5982142857143,0.7333333333333333,0.72,0.6339285714285714
105000,299,187,237.71333333333334,368.4708994708995,0.6433333333333333,0.43386243386243384,500,Infinity,-1,0.0374331550802139,-1,188,0,1,NaN,NaN,NaN,NaN,NaN,NaN,253.60416666666666,222.25233644859813,245.2577319587629,0.6354166666666666,0.6915887850467289,0.5979381443298969
110000,298,189,236.78073089700996,364.4502617801047,0.6810631229235881,0.4973821989528796,500,Infinity,-1,0.05291005291005291,-1,188,0,1,NaN,NaN,NaN,NaN,NaN,NaN,238.4,235.0695652173913,243.97802197802199,0.6736842105263158,0.6956521739130435,0.6703296703296703
115000,298,166,209.15824915824916,366.8545454545455,0.7239057239057239,0.503030303030303,500,Infinity,-1,0.04216867469879518,-1,166,0,1,NaN,NaN,NaN,NaN,NaN,NaN,179.20652173913044,199.63,250.35238095238094,0.7717391304347826,0.75,0.6571428571428571
120000,299,165,209.03703703703704,371.1226993865031,0.7205387205387206,0.49079754601226994,500,Infinity,-1,0.03636363636363636,-1,165,0,1,NaN,NaN,NaN,NaN,NaN,NaN,200.63725490196077,212.6638655462185,222.73684210526315,0.7156862745098039,0.7478991596638656,0.6842105263157895
125000,298,147,189.19607843137254,363.0516129032258,0.7516339869281046,0.5096774193548387,500,Infinity,-1,0.034013605442176874,-1,147,0,1,NaN,NaN,NaN,NaN,NaN,NaN,185.48979591836735,178.01941747572815,209.6,0.7959183673469388,0.7184466019417476,0.7428571428571429
130000,299,151,186.27739726027397,367.125,0.7773972602739726,0.5486111111111112,500,Infinity,-1,0.033112582781456956,-1,151,0,1,NaN,NaN,NaN,NaN,NaN,NaN,169.38709677419354,186.0091743119266,211.05555555555554,0.8387096774193549,0.7431192660550459,0.7555555555555555
135000,298,138,174.9560810810811,369.69117647058823,0.8074324324324325,0.5808823529411765,500,Infinity,-1,0.028985507246376812,-1,138,0,1,NaN,NaN,NaN,NaN,NaN,NaN,168.37894736842105,180.37383177570092,182.39361702127658,0.8315789473684211,0.794392523364486,0.7978723404255319
140000,299,130,165.15181518151815,361.86567164179104,0.7953795379537953,0.5373134328358209,500,Infinity,-1,0.038461538461538464,-1,130,0,1,NaN,NaN,NaN,NaN,NaN,NaN,174.81632653061226,143.7319587628866,181.84259259259258,0.7755102040816326,0.8556701030927835,0.7592592592592593
145000,298,127,163.04697986577182,370.68503937007875,0.7919463087248322,0.5118110236220472,500,Infinity,-1,0.023622047244094488,-1,127,0,1,NaN,NaN,NaN,NaN,NaN,NaN,150.16304347826087,140.375,204.09803921568627,0.7717391304347826,0.8653846153846154,0.7352941176470589
150000,299,128,165.11881188118812,364.6390977443609,0.8085808580858086,0.5639097744360902,500,Infinity,-1,0.0390625,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,186.79611650485438,141.34444444444443,170.44545454545454,0.7669902912621359,0.8888888888888888,0.7818181818181819
155000,298,145,182.34121621621622,369.22535211267603,0.8243243243243243,0.6338028169014085,500,Infinity,-1,0.07586206896551724,-1,145,0,1,NaN,NaN,NaN,NaN,NaN,NaN,187.56382978723406,199.95959595959596,166.7766990291262,0.8404255319148937,0.8080808080808081,0.8252427184466019
160000,298,121,155.2890365448505,364.75,0.8471760797342193,0.6290322580645161,500,Infinity,-1,0.008264462809917356,-1,121,0,1,NaN,NaN,NaN,NaN,NaN,NaN,175.84761904761905,164.77894736842106,131.59405940594058,0.8,0.8315789473684211,0.9108910891089109
165000,299,128,161.19727891156464,373.1544715447154,0.8197278911564626,0.5691056910569106,500,Infinity,-1,0.015625,-1,128,0,1,NaN,NaN,NaN,NaN,NaN,NaN,158.91397849462365,159.6138613861386,171.25,0.8064516129032258,0.8118811881188119,0.84
