tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,135,135,3.9407407407407407,772.359649122807,0.007407407407407408,0.5175438596491229,500,Infinity,-1,0.014814814814814815,-1,135,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.8936170212765955,6.9361702127659575,6.878048780487805,0.02127659574468085,0,0
10000,134,134,3.9029850746268657,763.437037037037,0.05970149253731343,0.48148148148148145,500,Infinity,-1,0,-1,134,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.833333333333333,6.840909090909091,6.880952380952381,0.041666666666666664,0.06818181818181818,0.07142857142857142
15000,135,134,3.9477611940298507,768.7089552238806,0.1044776119402985,0.5373134328358209,500,Infinity,-1,0.007407407407407408,-1,135,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.869565217391305,6.826086956521739,6.928571428571429,0.13043478260869565,0.13043478260869565,0.047619047619047616
20000,134,135,3.911111111111111,769.762962962963,0.16296296296296298,0.5333333333333333,500,Infinity,-1,0.007462686567164179,-1,134,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.785714285714286,6.82051282051282,6.875,0.16071428571428573,0.20512820512820512,0.125
25000,134,134,3.955223880597015,768.9621212121212,0.13432835820895522,0.5454545454545454,500,Infinity,-1,0,-1,134,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.954545454545454,6.96,6.85,0.18181818181818182,0.16,0.05
30000,135,135,3.9555555555555557,765.5912408759124,0.15555555555555556,0.48905109489051096,500,Infinity,-1,0,-1,135,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.828571428571428,6.918367346938775,6.8431372549019605,0.2,0.10204081632653061,0.17647058823529413
35000,134,134,3.9029850746268657,770.3308270676691,0.23134328358208955,0.5789473684210527,500,Infinity,-1,0,-1,134,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.781818181818182,6.813953488372093,6.833333333333333,0.2545454545454545,0.2558139534883721,0.16666666666666666
40000,134,134,3.970149253731343,766.2611940298508,0.22388059701492538,0.5373134328358209,500,Infinity,-1,0,-1,134,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.822222222222222,6.760869565217392,6.976744186046512,0.24444444444444444,0.30434782608695654,0.11627906976744186
45000,135,135,3.9703703703703703,766.8358208955224,0.2814814814814815,0.5149253731343284,500,Infinity,-1,0.007407407407407408,-1,135,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.82,6.846153846153846,6.826086956521739,0.26,0.28205128205128205,0.30434782608695654
50000,134,134,3.9328358208955225,765.8805970149253,0.2537313432835821,0.6119402985074627,500,Infinity,-1,0.007462686567164179,-1,134,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.8125,6.826086956521739,6.675,0.22916666666666666,0.21739130434782608,0.325
55000,135,134,3.962686567164179,774.674074074074,0.40298507462686567,0.5407407407407407,500,Infinity,-1,0,-1,135,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.723404255319149,6.7631578947368425,6.816326530612245,0.40425531914893614,0.3684210526315789,0.42857142857142855
60000,134,135,3.962962962962963,772.6222222222223,0.32592592592592595,0.5777777777777777,500,Infinity,-1,0,-1,134,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.833333333333333,6.8478260869565215,6.808510638297872,0.3333333333333333,0.34782608695652173,0.2978723404255319
