tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,322,322,599.7304964539007,341.0797342192691,0.6205673758865248,0.6112956810631229,500,Infinity,-1,0.10248447204968944,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.4444444444445,606.3522727272727,656.3837209302326,0.5555555555555556,0.7045454545454546,0.6162790697674418
10000,322,322,602.5815384615385,336.6426332288401,0.64,0.5799373040752351,500,Infinity,-1,0.16149068322981366,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.4380165289256,606.3777777777777,656.359649122807,0.5950413223140496,0.6333333333333333,0.6929824561403509
15000,322,322,601.753125,336.0987654320988,0.68125,0.5802469135802469,500,Infinity,-1,0.12111801242236025,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.3603603603603,606.4090909090909,656.3737373737374,0.6756756756756757,0.7,0.6666666666666666
20000,322,322,605.3571428571429,337.39252336448595,0.7329192546583851,0.5919003115264797,500,Infinity,-1,0.10869565217391304,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.3269230769231,606.4271844660194,656.3652173913043,0.7019230769230769,0.7475728155339806,0.7478260869565218
25000,322,322,602.6346749226007,338.7391304347826,0.7739938080495357,0.6242236024844721,500,Infinity,-1,0.12732919254658384,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.3,606.348623853211,656.3942307692307,0.7636363636363637,0.7981651376146789,0.7596153846153846
30000,322,321,603.009375,337.8030769230769,0.746875,0.6,500,Infinity,-1,0.11838006230529595,-1,321,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.3725490196078,606.4166666666666,656.4489795918367,0.7254901960784313,0.7666666666666667,0.7448979591836735
35000,321,322,605.8297213622291,336.8181818181818,0.7987616099071208,0.6018808777429467,500,Infinity,-1,0.15217391304347827,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.4455445544554,606.4485981308411,656.3739130434783,0.8217821782178217,0.7663551401869159,0.808695652173913
40000,322,322,608.0155763239875,337.8018575851393,0.8068535825545171,0.6222910216718266,500,Infinity,-1,0.11180124223602485,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.4065934065934,606.4504504504505,656.5042016806723,0.7912087912087912,0.7657657657657657,0.8571428571428571
45000,322,322,602.8629283489097,338.9065420560748,0.8660436137071651,0.6417445482866043,500,Infinity,-1,0.10869565217391304,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.3942307692307,606.3898305084746,656.4242424242424,0.8365384615384616,0.8559322033898306,0.9090909090909091
50000,322,322,603.3034055727554,341.80124223602485,0.8544891640866873,0.5745341614906833,500,Infinity,-1,0.13354037267080746,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.4414414414415,606.2912621359224,656.3853211009174,0.8378378378378378,0.883495145631068,0.8440366972477065
55000,322,322,605.803738317757,340.103125,0.8255451713395638,0.596875,500,Infinity,-1,0.12732919254658384,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.3365384615385,606.3434343434343,656.3728813559322,0.7980769230769231,0.8383838383838383,0.8389830508474576
60000,322,322,598.3405572755418,340.22910216718265,0.7925696594427245,0.5727554179566563,500,Infinity,-1,0.14906832298136646,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.3951612903226,606.3761467889908,656.4444444444445,0.8064516129032258,0.8073394495412844,0.7555555555555555
65000,322,322,607.6863354037267,338.59627329192546,0.7577639751552795,0.5807453416149069,500,Infinity,-1,0.14596273291925466,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.447619047619,606.3953488372093,656.3435114503817,0.8,0.6976744186046512,0.7633587786259542
70000,322,321,605.3509316770186,338.978125,0.8509316770186336,0.615625,500,Infinity,-1,0.11214953271028037,-1,322,0,1,NaN,NaN,NaN,NaN,NaN,NaN,556.4150943396227,606.4545454545455,656.3504273504274,0.8018867924528302,0.8585858585858586,0.8888888888888888
