tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,212,212,720.7653631284916,718.7486033519554,0.7262569832402235,0.7262569832402235,316,Infinity,-1,0.018867924528301886,-1,212,0,1
10000,212,212,723.2824074074074,721.2777777777778,0.6851851851851852,0.6851851851851852,316,Infinity,-1,0.018867924528301886,-1,212,0,1
15000,212,212,719.0622009569378,717.0574162679426,0.7655502392344498,0.7655502392344498,316,Infinity,-1,0.02830188679245283,-1,212,0,1
20000,211,211,722.5539906103286,720.5446009389672,0.784037558685446,0.784037558685446,316,Infinity,-1,0.023696682464454975,-1,211,0,1
25000,212,212,719.5165876777252,717.4881516587677,0.7867298578199052,0.7867298578199052,316,Infinity,-1,0.02830188679245283,-1,212,0,1
30000,212,212,721.2971698113207,719.2594339622641,0.7452830188679245,0.7452830188679245,316,Infinity,-1,0.04716981132075472,-1,212,0,1
35000,211,211,716.3224299065421,714.2850467289719,0.7102803738317757,0.7102803738317757,316,Infinity,-1,0.06635071090047394,-1,211,0,1
40000,212,212,721.0571428571428,719.0428571428571,0.8047619047619048,0.8047619047619048,316,Infinity,-1,0.0330188679245283,-1,212,0,1
45000,212,212,725.9142857142857,723.9,0.7428571428571429,0.7428571428571429,316,Infinity,-1,0.03773584905660377,-1,212,0,1
50000,212,212,716.6478873239437,714.6291079812206,0.755868544600939,0.755868544600939,316,Infinity,-1,0.0330188679245283,-1,212,0,1
55000,211,211,724.1596244131456,722.1502347417841,0.7464788732394366,0.7464788732394366,316,Infinity,-1,0.02843601895734597,-1,211,0,1
60000,212,212,714.3018867924528,712.2783018867924,0.7358490566037735,0.7358490566037735,316,Infinity,-1,0.04245283018867924,-1,212,0,1
65000,212,212,719.4761904761905,717.4666666666667,0.7714285714285715,0.7714285714285715,316,Infinity,-1,0.018867924528301886,-1,212,0,1
70000,212,211,720.8779342723004,718.8591549295775,0.7887323943661971,0.7887323943661971,316,Infinity,-1,0.03317535545023697,-1,211,0,1
75000,211,212,720.7488151658767,718.7203791469194,0.8151658767772512,0.8151658767772512,316,Infinity,-1,0.04245283018867924,-1,212,0,1
80000,212,212,724.9952606635071,722.9905213270142,0.7725118483412322,0.7725118483412322,316,Infinity,-1,0.0330188679245283,-1,212,0,1
85000,53,53,716.3421052631579,714.3157894736842,0.7631578947368421,0.7631578947368421,316,Infinity,-1,0.03773584905660377,-1,53,0,1
90000,52,52,718.9622641509434,716.9622641509434,0.7547169811320755,0.7547169811320755,316,Infinity,-1,0,-1,52,0,1
95000,52,52,728.3921568627451,726.3333333333334,0.8235294117647058,0.8235294117647058,316,Infinity,-1,0.057692307692307696,-1,52,0,1
100000,53,53,729.7358490566038,727.7169811320755,0.7169811320754716,0.7169811320754716,316,Infinity,-1,0.03773584905660377,-1,53,0,1
105000,52,52,712.2452830188679,710.1698113207547,0.8301886792452831,0.8301886792452831,316,Infinity,-1,0.057692307692307696,-1,52,0,1
110000,52,52,719.6346153846154,717.6153846153846,0.8269230769230769,0.8269230769230769,316,Infinity,-1,0.019230769230769232,-1,52,0,1
115000,53,53,716.1509433962265,714.1320754716982,0.8679245283018868,0.8679245283018868,316,Infinity,-1,0.05660377358490566,-1,53,0,1
120000,52,52,714.3076923076923,712.2307692307693,0.7307692307692307,0.7307692307692307,316,Infinity,-1,0.038461538461538464,-1,52,0,1
125000,52,52,728.5,726.4615384615385,0.7115384615384616,0.7115384615384616,316,Infinity,-1,0.057692307692307696,-1,52,0,1
