tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,65,65,589.9107142857143,586.9285714285714,0.6607142857142857,0.6607142857142857,398,28,-1,1,0,65,0,1
10000,64,64,586.2461538461539,583.276923076923,0.46153846153846156,0.46153846153846156,398,28,-1,1,0,64,0,1
15000,64,64,593.953125,590.96875,0.515625,0.515625,398,28,-1,1,0,64,0,1
20000,64,64,592.515625,589.5625,0.5,0.5,398,28,-1,1,0,64,0,1
25000,64,64,587.21875,584.25,0.703125,0.703125,398,28,-1,1,0,64,0,1
30000,64,64,586.2923076923076,583.3076923076923,0.4461538461538462,0.4461538461538462,398,28,-1,1,0,64,0,1
35000,64,64,588.3492063492064,585.3809523809524,0.5873015873015873,0.5873015873015873,398,28,-1,1,0,64,0,1
40000,64,64,591.2,588.2307692307693,0.6153846153846154,0.6153846153846154,398,28,-1,1,0,64,0,1
45000,64,64,593.8888888888889,590.936507936508,0.5396825396825397,0.5396825396825397,398,28,-1,1,0,64,0,1
50000,64,64,589.984375,587.0625,0.4375,0.4375,398,28,-1,1,0,64,0,1
55000,64,64,597.2,594.2307692307693,0.5076923076923077,0.5076923076923077,398,28,-1,1,0,64,0,1
60000,64,64,598.7777777777778,595.8571428571429,0.47619047619047616,0.47619047619047616,398,28,-1,0.984375,0,64,0,1
65000,64,64,589.1212121212121,586.1666666666666,0.5909090909090909,0.5909090909090909,398,28,-1,1,0,64,0,1
70000,64,64,597.2063492063492,594.2698412698413,0.5396825396825397,0.5396825396825397,398,28,-1,1,0,64,0,1
75000,64,64,586.265625,583.3125,0.421875,0.421875,398,28,-1,1,0,64,0,1
80000,64,64,593.8888888888889,590.936507936508,0.5714285714285714,0.5714285714285714,398,28,-1,1,0,64,0,1
85000,93,93,585.7111111111111,582.7222222222222,0.5222222222222223,0.5222222222222223,398,28,-1,0.978494623655914,0,93,0,1
