tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,154,154,604.5597014925373,601.5820895522388,0.43283582089552236,0.43283582089552236,359,28,-1,0.961038961038961,0,154,0,1
10000,153,153,596.1688311688312,593.2142857142857,0.42207792207792205,0.42207792207792205,359,28,-1,0.9607843137254902,0,153,0,1
15000,153,153,602.3116883116883,599.3441558441558,0.35064935064935066,0.35064935064935066,359,28,-1,0.9738562091503268,0,153,0,1
20000,153,153,594.1907894736842,591.2565789473684,0.40131578947368424,0.40131578947368424,359,28,-1,0.9477124183006536,0,153,0,1
25000,153,153,603.1363636363636,600.2012987012987,0.42207792207792205,0.42207792207792205,359,28,-1,0.9215686274509803,0,153,0,1
30000,153,153,597.7922077922078,594.8636363636364,0.4935064935064935,0.4935064935064935,359,28,-1,0.934640522875817,0,153,0,1
35000,153,153,604.9934210526316,602.0328947368421,0.45394736842105265,0.45394736842105265,359,28,-1,0.9869281045751634,0,153,0,1
40000,153,153,597.2012987012987,594.2532467532468,0.45454545454545453,0.45454545454545453,359,28,-1,0.9738562091503268,0,153,0,1
45000,154,154,609.8627450980392,606.9215686274509,0.39869281045751637,0.39869281045751637,359,28,-1,0.9675324675324676,0,154,0,1
50000,153,153,598.4802631578947,595.5328947368421,0.4144736842105263,0.4144736842105263,359,28,-1,0.9607843137254902,0,153,0,1
55000,153,153,603.3116883116883,600.3571428571429,0.36363636363636365,0.36363636363636365,359,28,-1,0.9738562091503268,0,153,0,1
60000,153,153,599.9536423841059,596.9801324503311,0.40397350993377484,0.40397350993377484,359,28,-1,0.9738562091503268,0,153,0,1
65000,153,153,605.2451612903226,602.2709677419355,0.3548387096774194,0.3548387096774194,359,28,-1,0.9803921568627451,0,153,0,1
70000,153,153,599.6993464052288,596.7320261437909,0.46405228758169936,0.46405228758169936,359,28,-1,0.9803921568627451,0,153,0,1
75000,153,153,600.0196078431372,597.0457516339869,0.4117647058823529,0.4117647058823529,359,28,-1,0.9803921568627451,0,153,0,1
80000,153,153,601.8376623376623,598.8636363636364,0.38961038961038963,0.38961038961038963,359,28,-1,0.9673202614379085,0,153,0,1
85000,172,172,605.7058823529412,602.8,0.34705882352941175,0.34705882352941175,359,28,-1,0.936046511627907,0,172,0,1
90000,172,172,601.6842105263158,598.7602339181286,0.43859649122807015,0.43859649122807015,359,28,-1,0.936046511627907,0,172,0,1
95000,172,172,601.8430232558139,598.9011627906976,0.4476744186046512,0.4476744186046512,359,28,-1,0.9302325581395349,0,172,0,1
100000,172,172,598.8720930232558,595.9186046511628,0.4069767441860465,0.4069767441860465,359,28,-1,0.9418604651162791,0,172,0,1
105000,172,172,598.8235294117648,595.8941176470588,0.3176470588235294,0.3176470588235294,359,28,-1,0.9302325581395349,0,172,0,1
110000,172,172,601.5172413793103,598.6034482758621,0.3850574712643678,0.3850574712643678,359,28,-1,0.936046511627907,0,172,0,1
115000,172,171,598.6315789473684,595.6900584795321,0.4678362573099415,0.4678362573099415,359,28,-1,0.9415204678362573,0,172,0,1
120000,171,172,598.8538011695906,595.9181286549708,0.39766081871345027,0.39766081871345027,359,28,-1,0.9418604651162791,0,171,0,1
125000,172,172,603.3583815028902,600.4104046242775,0.3699421965317919,0.3699421965317919,359,28,-1,0.9593023255813954,0,172,0,1
130000,172,172,600.9360465116279,598.0116279069767,0.3953488372093023,0.3953488372093023,359,28,-1,0.9244186046511628,0,172,0,1
135000,172,172,597.1286549707602,594.1988304093567,0.47368421052631576,0.47368421052631576,359,28,-1,0.9418604651162791,0,172,0,1
140000,172,172,601.8546511627907,598.9651162790698,0.436046511627907,0.436046511627907,359,28,-1,0.9186046511627907,0,172,0,1
145000,172,172,602.693641618497,599.7572254335261,0.41040462427745666,0.41040462427745666,359,28,-1,0.9418604651162791,0,172,0,1
150000,172,172,600.1395348837209,597.2151162790698,0.3953488372093023,0.3953488372093023,359,28,-1,0.9476744186046512,0,172,0,1
155000,172,171,596.2865497076024,593.3859649122807,0.4327485380116959,0.4327485380116959,359,28,-1,0.935672514619883,0,172,0,1
160000,171,172,599.878612716763,596.9595375722544,0.3699421965317919,0.3699421965317919,359,28,-1,0.9302325581395349,0,171,0,1
165000,172,172,601.0877192982456,598.1111111111111,0.4678362573099415,0.4678362573099415,359,28,-1,0.9476744186046512,0,172,0,1
170000,172,172,598.9186046511628,596.0116279069767,0.3546511627906977,0.3546511627906977,359,28,-1,0.9476744186046512,0,172,0,1
175000,172,172,600.2397660818714,597.3040935672515,0.43859649122807015,0.43859649122807015,359,28,-1,0.9418604651162791,0,172,0,1
180000,172,172,599.0635838150289,596.1387283236994,0.44508670520231214,0.44508670520231214,359,28,-1,0.936046511627907,0,172,0,1
185000,172,172,594.464705882353,591.5823529411765,0.38235294117647056,0.38235294117647056,359,28,-1,0.8953488372093024,0,172,0,1
190000,172,172,601.6473988439307,598.7167630057803,0.3930635838150289,0.3930635838150289,359,28,-1,0.936046511627907,0,172,0,1
195000,172,171,604.9826589595376,602.0173410404624,0.4277456647398844,0.4277456647398844,359,28,-1,0.9590643274853801,0,172,0,1
200000,171,172,598.8888888888889,595.953216374269,0.38011695906432746,0.38011695906432746,359,28,-1,0.9418604651162791,0,171,0,1
205000,172,172,601.2209302325581,598.2093023255813,0.38953488372093026,0.38953488372093026,359,28,-1,0.9941860465116279,0,172,0,1
210000,172,172,600.1228070175439,597.1520467836257,0.38596491228070173,0.38596491228070173,359,28,-1,0.9825581395348837,0,172,0,1
215000,172,172,595.7906976744187,592.8662790697674,0.37790697674418605,0.37790697674418605,359,28,-1,0.9186046511627907,0,172,0,1
220000,172,172,596.121387283237,593.1965317919075,0.37572254335260113,0.37572254335260113,359,28,-1,0.9476744186046512,0,172,0,1
225000,172,172,594.6842105263158,591.7602339181286,0.40350877192982454,0.40350877192982454,359,28,-1,0.936046511627907,0,172,0,1
230000,172,172,601.2267441860465,598.2848837209302,0.3953488372093023,0.3953488372093023,359,28,-1,0.9476744186046512,0,172,0,1
235000,172,171,599.5380116959064,596.6140350877193,0.4619883040935672,0.4619883040935672,359,28,-1,0.9415204678362573,0,172,0,1
240000,171,172,599.0581395348837,596.1453488372093,0.43023255813953487,0.43023255813953487,359,28,-1,0.9069767441860465,0,171,0,1
245000,172,172,604.3236994219653,601.3872832369942,0.42196531791907516,0.42196531791907516,359,28,-1,0.9534883720930233,0,172,0,1
250000,172,172,606.8176470588236,603.8705882352941,0.43529411764705883,0.43529411764705883,359,28,-1,0.936046511627907,0,172,0,1
255000,172,172,600.051724137931,597.0977011494252,0.3505747126436782,0.3505747126436782,359,28,-1,0.9534883720930233,0,172,0,1
260000,172,172,593.0988372093024,590.2209302325581,0.46511627906976744,0.46511627906976744,359,28,-1,0.9127906976744186,0,172,0,1
265000,172,172,597.9239766081871,595,0.4327485380116959,0.4327485380116959,359,28,-1,0.9302325581395349,0,172,0,1
270000,172,172,601.6724137931035,598.7471264367816,0.46551724137931033,0.46551724137931033,359,28,-1,0.9186046511627907,0,172,0,1
275000,172,171,593.3976608187135,590.5029239766081,0.42105263157894735,0.42105263157894735,359,28,-1,0.9181286549707602,0,172,0,1
280000,171,172,601.1560693641618,598.2196531791908,0.3930635838150289,0.3930635838150289,359,28,-1,0.936046511627907,0,171,0,1
285000,172,172,597.1705882352941,594.2411764705882,0.37058823529411766,0.37058823529411766,359,28,-1,0.936046511627907,0,172,0,1
290000,172,172,602.514619883041,599.578947368421,0.39766081871345027,0.39766081871345027,359,28,-1,0.9651162790697675,0,172,0,1
295000,172,172,598.0058139534884,595.0813953488372,0.3313953488372093,0.3313953488372093,359,28,-1,0.9593023255813954,0,172,0,1
300000,159,159,605.1849710982659,602.1965317919075,0.3930635838150289,0.3930635838150289,359,28,-1,0.9622641509433962,0,159,0,1
