tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,200,200,453.20765027322403,450.1584699453552,0.44808743169398907,0.44808743169398907,250,28,-1,1,0,200,0,1
10000,200,200,455.4170854271357,452.37688442211055,0.5226130653266332,0.5226130653266332,250,28,-1,1,0,200,0,1
15000,200,200,449.43,446.39,0.49,0.49,250,28,-1,1,0,200,0,1
20000,200,200,447.99497487437185,444.9497487437186,0.49246231155778897,0.49246231155778897,250,28,-1,1,0,200,0,1
25000,200,200,450.2985074626866,447.25373134328356,0.472636815920398,0.472636815920398,250,28,-1,1,0,200,0,1
30000,200,200,451.1442786069652,448.09452736318406,0.48258706467661694,0.48258706467661694,250,28,-1,1,0,200,0,1
35000,200,200,451.165,448.125,0.535,0.535,250,28,-1,1,0,200,0,1
40000,200,200,444.37,441.32,0.5,0.5,250,28,-1,1,0,200,0,1
45000,200,200,450.33830845771143,447.29353233830847,0.47761194029850745,0.47761194029850745,250,28,-1,1,0,200,0,1
50000,200,200,451.2814070351759,448.2562814070352,0.45226130653266333,0.45226130653266333,250,28,-1,1,0,200,0,1
55000,200,200,450.04020100502515,447.00502512562815,0.49246231155778897,0.49246231155778897,250,28,-1,1,0,200,0,1
60000,200,200,450.28855721393035,447.23383084577114,0.527363184079602,0.527363184079602,250,28,-1,1,0,200,0,1
65000,200,200,448.14646464646466,445.1212121212121,0.5303030303030303,0.5303030303030303,250,28,-1,1,0,200,0,1
70000,200,200,452.04477611940297,449,0.5074626865671642,0.5074626865671642,250,28,-1,1,0,200,0,1
75000,200,200,450.695,447.65,0.525,0.525,250,28,-1,1,0,200,0,1
80000,200,200,451.95,448.89,0.5,0.5,250,28,-1,1,0,200,0,1
85000,200,200,451.32,448.265,0.425,0.425,250,28,-1,1,0,200,0,1
90000,200,200,455.4676616915423,452.44278606965173,0.472636815920398,0.472636815920398,250,28,-1,1,0,200,0,1
95000,200,200,450.565,447.535,0.475,0.475,250,28,-1,1,0,200,0,1
100000,200,200,452.82828282828285,449.7929292929293,0.5252525252525253,0.5252525252525253,250,28,-1,1,0,200,0,1
105000,200,200,451.81773399014776,448.7881773399015,0.5172413793103449,0.5172413793103449,250,28,-1,1,0,200,0,1
110000,200,200,444.43718592964825,441.3969849246231,0.5276381909547738,0.5276381909547738,250,28,-1,1,0,200,0,1
115000,200,200,446.01522842639594,442.9492385786802,0.49746192893401014,0.49746192893401014,250,28,-1,1,0,200,0,1
120000,200,200,452.4852941176471,449.45588235294116,0.5098039215686274,0.5098039215686274,250,28,-1,1,0,200,0,1
125000,200,200,454.44162436548226,451.4162436548223,0.5025380710659898,0.5025380710659898,250,28,-1,1,0,200,0,1
130000,200,200,450.3134328358209,447.2686567164179,0.5223880597014925,0.5223880597014925,250,28,-1,1,0,200,0,1
135000,200,200,452.26,449.23,0.45,0.45,250,28,-1,1,0,200,0,1
140000,200,200,451.755,448.695,0.5,0.5,250,28,-1,1,0,200,0,1
145000,200,200,452.1758793969849,449.1356783919598,0.4623115577889447,0.4623115577889447,250,28,-1,1,0,200,0,1
150000,200,200,450.8960396039604,447.8910891089109,0.4752475247524752,0.4752475247524752,250,28,-1,1,0,200,0,1
155000,200,200,451.735,448.7,0.45,0.45,250,28,-1,1,0,200,0,1
160000,200,200,451.6180904522613,448.57286432160805,0.4824120603015075,0.4824120603015075,250,28,-1,1,0,200,0,1
165000,200,200,449.83663366336634,446.7821782178218,0.5148514851485149,0.5148514851485149,250,28,-1,1,0,200,0,1
170000,200,200,455.65656565656565,452.6161616161616,0.4696969696969697,0.4696969696969697,250,28,-1,1,0,200,0,1
175000,200,200,452.85074626865674,449.81094527363183,0.5124378109452736,0.5124378109452736,250,28,-1,1,0,200,0,1
180000,200,200,449.84422110552765,446.80904522613065,0.4371859296482412,0.4371859296482412,250,28,-1,1,0,200,0,1
185000,200,200,450.585,447.525,0.475,0.475,250,28,-1,1,0,200,0,1
190000,200,200,453.92039800995025,450.85074626865674,0.5174129353233831,0.5174129353233831,250,28,-1,1,0,200,0,1
195000,200,200,458.64,455.62,0.45,0.45,250,28,-1,1,0,200,0,1
200000,200,200,453.20603015075375,450.1708542713568,0.5678391959798995,0.5678391959798995,250,28,-1,1,0,200,0,1
205000,200,200,458.435,455.405,0.575,0.575,250,28,-1,1,0,200,0,1
210000,200,200,457.27638190954775,454.25125628140705,0.48743718592964824,0.48743718592964824,250,28,-1,1,0,200,0,1
215000,200,200,452.681592039801,449.6268656716418,0.48756218905472637,0.48756218905472637,250,28,-1,1,0,200,0,1
220000,200,200,450.535,447.495,0.44,0.44,250,28,-1,1,0,200,0,1
225000,200,200,448.2089552238806,445.1641791044776,0.5074626865671642,0.5074626865671642,250,28,-1,1,0,200,0,1
230000,200,200,446.46231155778895,443.40201005025125,0.46733668341708545,0.46733668341708545,250,28,-1,1,0,200,0,1
235000,200,200,453.385,450.36,0.49,0.49,250,28,-1,1,0,200,0,1
240000,200,200,443.23383084577114,440.18407960199005,0.5174129353233831,0.5174129353233831,250,28,-1,1,0,200,0,1
245000,200,200,455.2676767676768,452.2171717171717,0.5151515151515151,0.5151515151515151,250,28,-1,1,0,200,0,1
250000,200,200,450.23383084577114,447.1940298507463,0.48756218905472637,0.48756218905472637,250,28,-1,1,0,200,0,1
