tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,165,165,464.4503311258278,461.44370860927154,0.08609271523178808,0.08609271523178808,51,28,-1,1,0,165,0,1
10000,165,165,455.4969696969697,452.4848484848485,0.04242424242424243,0.04242424242424243,51,28,-1,1,0,165,0,1
15000,165,165,461.9390243902439,458.9268292682927,0.03048780487804878,0.03048780487804878,51,28,-1,1,0,165,0,1
20000,165,165,453.530487804878,450.5182926829268,0.024390243902439025,0.024390243902439025,51,28,-1,1,0,165,0,1
25000,165,165,457.1818181818182,454.1454545454545,0.06060606060606061,0.06060606060606061,51,28,-1,1,0,165,0,1
30000,165,164,459.4787878787879,456.4909090909091,0.06666666666666667,0.06666666666666667,51,28,-1,1,0,164,0,1
35000,164,165,462.6727272727273,459.7030303030303,0.07878787878787878,0.07878787878787878,51,28,-1,0.9939393939393939,0,165,0,1
40000,165,165,455.6545454545454,452.6363636363636,0.06666666666666667,0.06666666666666667,51,28,-1,1,0,165,0,1
45000,165,165,459.0903614457831,456.1024096385542,0.06626506024096386,0.06626506024096386,51,28,-1,1,0,165,0,1
50000,165,165,461.7361963190184,458.74233128834356,0.049079754601226995,0.049079754601226995,51,28,-1,1,0,165,0,1
55000,165,165,464.95180722891564,461.90361445783134,0.04216867469879518,0.04216867469879518,51,28,-1,1,0,165,0,1
60000,165,164,464.0243902439024,460.9939024390244,0.024390243902439025,0.024390243902439025,51,28,-1,1,0,165,0,1
65000,164,165,463.3515151515152,460.3515151515152,0.07878787878787878,0.07878787878787878,51,28,-1,0.9939393939393939,0,164,0,1
70000,165,165,462.1575757575758,459.1515151515151,0.06060606060606061,0.06060606060606061,51,28,-1,1,0,165,0,1
75000,165,165,460.4024390243902,457.4024390243902,0.04878048780487805,0.04878048780487805,51,28,-1,1,0,165,0,1
80000,165,165,467.5903614457831,464.578313253012,0.04819277108433735,0.04819277108433735,51,28,-1,1,0,165,0,1
85000,188,188,460.8225806451613,457.85483870967744,0.0913978494623656,0.0913978494623656,51,28,-1,0.9840425531914894,0,188,0,1
90000,188,188,462.5585106382979,459.5585106382979,0.05851063829787234,0.05851063829787234,51,28,-1,1,0,188,0,1
95000,189,189,460.25396825396825,457.26984126984127,0.037037037037037035,0.037037037037037035,51,28,-1,0.9841269841269841,0,189,0,1
100000,188,188,458.2245989304813,455.2513368983957,0.026737967914438502,0.026737967914438502,51,28,-1,0.973404255319149,0,188,0,1
105000,188,188,462.2842105263158,459.3315789473684,0.02631578947368421,0.02631578947368421,51,28,-1,0.9893617021276596,0,188,0,1
110000,189,188,457.80213903743316,454.8181818181818,0.03208556149732621,0.03208556149732621,51,28,-1,0.9946808510638298,0,189,0,1
115000,188,189,467.20212765957444,464.22340425531917,0.026595744680851064,0.026595744680851064,51,28,-1,0.9947089947089947,0,188,0,1
120000,188,188,459.3333333333333,456.34391534391534,0.05291005291005291,0.05291005291005291,51,28,-1,0.9946808510638298,0,188,0,1
125000,188,188,460.17021276595744,457.17021276595744,0.06382978723404255,0.06382978723404255,51,28,-1,0.9893617021276596,0,188,0,1
130000,189,189,458.63492063492066,455.6666666666667,0.05291005291005291,0.05291005291005291,51,28,-1,0.9682539682539683,0,189,0,1
135000,188,188,461.8510638297872,458.8829787234043,0.05851063829787234,0.05851063829787234,51,28,-1,0.9840425531914894,0,188,0,1
140000,188,188,463.29100529100526,460.3174603174603,0.05291005291005291,0.05291005291005291,51,28,-1,0.9840425531914894,0,188,0,1
145000,189,188,460.4756756756757,457.4810810810811,0.05405405405405406,0.05405405405405406,51,28,-1,1,0,189,0,1
150000,188,189,457.8157894736842,454.88421052631577,0.08421052631578947,0.08421052631578947,51,28,-1,0.9682539682539683,0,188,0,1
155000,188,188,461.59685863874347,458.6282722513089,0.06806282722513089,0.06806282722513089,51,28,-1,0.9893617021276596,0,188,0,1
160000,188,188,460.68108108108106,457.7081081081081,0.032432432432432434,0.032432432432432434,51,28,-1,0.9893617021276596,0,188,0,1
165000,189,189,455.3315789473684,452.3421052631579,0.07894736842105263,0.07894736842105263,51,28,-1,0.9841269841269841,0,189,0,1
170000,188,188,463.0691489361702,460.1010638297872,0.06382978723404255,0.06382978723404255,51,28,-1,0.9840425531914894,0,188,0,1
175000,188,188,469.52941176470586,466.572192513369,0.0427807486631016,0.0427807486631016,51,28,-1,0.9893617021276596,0,188,0,1
180000,189,188,462.8421052631579,459.89473684210526,0.02631578947368421,0.02631578947368421,51,28,-1,0.9893617021276596,0,188,0,1
185000,188,189,465.4652406417112,462.4812834224599,0.053475935828877004,0.053475935828877004,51,28,-1,0.9894179894179894,0,189,0,1
190000,188,188,465.42021276595744,462.4414893617021,0.03723404255319149,0.03723404255319149,51,28,-1,0.9787234042553191,0,188,0,1
