tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,97,97,462.7977528089888,459.8426966292135,0.8314606741573034,0.8314606741573034,78,28,-1,0.979381443298969,-1,97,0,1
10000,97,97,469.9791666666667,467.0416666666667,0.8645833333333334,0.8645833333333334,78,28,-1,0.9690721649484536,-1,97,0,1
15000,97,97,464.0515463917526,461.1340206185567,0.9072164948453608,0.9072164948453608,78,28,-1,0.9484536082474226,-1,97,0,1
20000,97,97,476.5257731958763,473.6082474226804,0.8350515463917526,0.8350515463917526,78,28,-1,0.9587628865979382,-1,97,0,1
25000,97,97,468.5625,465.6875,0.8229166666666666,0.8229166666666666,78,28,-1,0.9587628865979382,-1,97,0,1
30000,97,97,464.7755102040816,461.85714285714283,0.8571428571428571,0.8571428571428571,78,28,-1,0.9484536082474226,-1,97,0,1
35000,97,97,475.1979166666667,472.2708333333333,0.875,0.875,78,28,-1,0.9690721649484536,-1,97,0,1
40000,96,96,468.1958762886598,465.2680412371134,0.845360824742268,0.845360824742268,78,28,-1,0.9791666666666666,-1,96,0,1
45000,97,97,470.29896907216494,467.4226804123711,0.8969072164948454,0.8969072164948454,78,28,-1,0.9690721649484536,-1,97,0,1
50000,97,97,468.03092783505156,465.0618556701031,0.8144329896907216,0.8144329896907216,78,28,-1,0.9896907216494846,-1,97,0,1
55000,97,97,468.4020618556701,465.4639175257732,0.8762886597938144,0.8762886597938144,78,28,-1,0.979381443298969,-1,97,0,1
60000,97,97,457.83505154639175,454.9381443298969,0.8041237113402062,0.8041237113402062,78,28,-1,0.9587628865979382,-1,97,0,1
65000,97,97,477.8041237113402,474.8453608247423,0.8247422680412371,0.8247422680412371,78,28,-1,0.9690721649484536,-1,97,0,1
70000,97,97,464.1354166666667,461.21875,0.8333333333333334,0.8333333333333334,78,28,-1,0.979381443298969,-1,97,0,1
75000,97,97,474.7216494845361,471.7628865979381,0.8144329896907216,0.8144329896907216,78,28,-1,0.9896907216494846,-1,97,0,1
80000,96,96,468.9183673469388,465.94897959183675,0.8367346938775511,0.8367346938775511,78,28,-1,0.9791666666666666,-1,96,0,1
85000,304,299,499.0035842293907,467.3763440860215,0.8279569892473119,0.8279569892473119,78,28,-1,35.147157190635454,-1,304,0,1
90000,303,298,589.3322147651006,469.59395973154363,0.8422818791946308,0.8422818791946308,78,28,-1,125.41610738255034,-1,303,0,1
95000,303,298,670.1476510067114,467.751677852349,0.8288590604026845,0.8288590604026845,78,28,-1,209.51677852348993,-1,303,0,1
100000,303,299,742.989966555184,467.0200668896321,0.8127090301003345,0.8127090301003345,78,28,-1,276.03678929765886,-1,303,0,1
105000,303,296,766.3299663299663,467.4074074074074,0.8518518518518519,0.8518518518518519,78,28,-1,328.52702702702703,-1,303,0,1
110000,303,300,878.6521739130435,469.26421404682276,0.8193979933110368,0.8193979933110368,78,28,-1,404.49333333333334,-1,303,0,1
115000,303,297,980.6801346801346,470.45117845117846,0.8653198653198653,0.8653198653198653,78,28,-1,488.27946127946126,-1,303,0,1
120000,303,302,1042.7251655629138,466.3079470198675,0.8708609271523179,0.8708609271523179,78,28,-1,604.1490066225166,-1,303,0,1
125000,304,301,1116.936877076412,466.7707641196013,0.8637873754152824,0.8637873754152824,78,28,-1,641.2657807308971,-1,304,0,1
130000,303,296,1208.1182432432433,470.90202702702703,0.8614864864864865,0.8614864864864865,78,28,-1,772.418918918919,-1,303,0,1
135000,303,297,1231.1043771043771,465.2121212121212,0.835016835016835,0.835016835016835,78,28,-1,713.3569023569023,-1,303,0,1
140000,303,297,1300.2188552188552,466.63973063973066,0.8619528619528619,0.8619528619528619,78,28,-1,861.7542087542088,-1,303,0,1
145000,303,299,1399.8795986622074,470.7692307692308,0.7926421404682275,0.7926421404682275,78,28,-1,917.8795986622074,-1,303,0,1
150000,303,300,1511.0666666666666,469.18,0.8533333333333334,0.8533333333333334,78,28,-1,1042.31,-1,303,0,1
155000,303,299,1620.6555183946489,465.428093645485,0.8561872909698997,0.8561872909698997,78,28,-1,1186.7692307692307,-1,303,0,1
160000,303,298,1530.8758389261745,467.69127516778525,0.7986577181208053,0.7986577181208053,78,28,-1,1113.6107382550335,-1,303,0,1
165000,304,297,1664.4612794612794,469.61279461279463,0.8316498316498316,0.8316498316498316,78,28,-1,1164.5589225589226,-1,304,0,1
170000,303,301,1866.8803986710964,468.80398671096344,0.8338870431893688,0.8338870431893688,78,28,-1,1431.8870431893688,-1,303,0,1
175000,303,293,1934.3412969283277,472.9658703071672,0.825938566552901,0.825938566552901,78,28,-1,1377.4709897610921,-1,303,0,1
180000,303,296,1835.695945945946,469.2060810810811,0.7871621621621622,0.7871621621621622,78,28,-1,1412.2972972972973,-1,303,0,1
185000,303,303,1960.6798679867986,466.45874587458746,0.8547854785478548,0.8547854785478548,78,28,-1,1514.1848184818482,-1,303,0,1
190000,303,296,2348.7432432432433,468.0033783783784,0.8175675675675675,0.8175675675675675,78,28,-1,1851.412162162162,-1,303,0,1
195000,303,301,2248.2225913621264,468.93355481727576,0.8272425249169435,0.8272425249169435,78,28,-1,1786.485049833887,-1,303,0,1
200000,303,301,2073.920265780731,465.578073089701,0.8372093023255814,0.8372093023255814,78,28,-1,1733.8504983388705,-1,303,0,1
205000,304,297,2564.16835016835,466.3838383838384,0.8047138047138047,0.8047138047138047,78,28,-1,1966.3838383838383,-1,304,0,1
210000,303,298,2362.591973244147,465.8595317725752,0.8561872909698997,0.8561872909698997,78,28,-1,1840.8758389261745,-1,303,0,1
215000,303,300,2024.7959866220735,469.2140468227425,0.8963210702341137,0.8963210702341137,78,28,-1,1662.1533333333334,-1,303,0,1
220000,265,293,2371.873720136519,471.4129692832764,0.8122866894197952,0.8122866894197952,78,28,-1,2443.518771331058,-1,265,0,1
