tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest
5000,275,275,272.02702702702703,269.17760617760615,0.7799227799227799,0.7799227799227799,125,28,-1,0.92,-1,275,0,1
10000,275,275,271.1326164874552,268.2652329749104,0.7598566308243727,0.7598566308243727,125,28,-1,0.8872727272727273,-1,275,0,1
15000,275,275,271.2930402930403,268.4175824175824,0.7875457875457875,0.7875457875457875,125,28,-1,0.9381818181818182,-1,275,0,1
20000,275,275,273.1904761904762,270.31868131868134,0.6886446886446886,0.6886446886446886,125,28,-1,0.9381818181818182,-1,275,0,1
25000,275,275,272.66425992779784,269.7906137184116,0.7184115523465704,0.7184115523465704,125,28,-1,0.9309090909090909,-1,275,0,1
30000,275,275,265.6043956043956,262.7106227106227,0.6886446886446886,0.6886446886446886,125,28,-1,0.9381818181818182,-1,275,0,1
35000,275,275,272.56159420289856,269.6666666666667,0.7753623188405797,0.7753623188405797,125,28,-1,0.9381818181818182,-1,275,0,1
40000,275,275,272.0289855072464,269.1123188405797,0.7753623188405797,0.7753623188405797,125,28,-1,0.9563636363636364,-1,275,0,1
45000,275,275,273.481884057971,270.5869565217391,0.7753623188405797,0.7753623188405797,125,28,-1,0.9563636363636364,-1,275,0,1
50000,275,275,269.4522058823529,266.5367647058824,0.7720588235294118,0.7720588235294118,125,28,-1,0.9309090909090909,-1,275,0,1
55000,275,275,270.231884057971,267.34057971014494,0.7463768115942029,0.7463768115942029,125,28,-1,0.9418181818181818,-1,275,0,1
60000,275,275,268.068345323741,265.17625899280574,0.7266187050359713,0.7266187050359713,125,28,-1,0.9381818181818182,-1,275,0,1
65000,275,275,269.64835164835165,266.76556776556777,0.7582417582417582,0.7582417582417582,125,28,-1,0.9418181818181818,-1,275,0,1
70000,275,275,274.6240875912409,271.7299270072993,0.7226277372262774,0.7226277372262774,125,28,-1,0.9272727272727272,-1,275,0,1
75000,275,275,272.0833333333333,269.19202898550725,0.8079710144927537,0.8079710144927537,125,28,-1,0.9381818181818182,-1,275,0,1
80000,275,275,269.5163636363636,266.61454545454546,0.7490909090909091,0.7490909090909091,125,28,-1,0.9454545454545454,-1,275,0,1
85000,275,275,272.34065934065933,269.43589743589746,0.7252747252747253,0.7252747252747253,125,28,-1,0.9272727272727272,-1,275,0,1
90000,275,275,268.73818181818183,265.8218181818182,0.7636363636363637,0.7636363636363637,125,28,-1,0.9563636363636364,-1,275,0,1
95000,275,275,268.18772563176896,265.2996389891697,0.7292418772563177,0.7292418772563177,125,28,-1,0.9454545454545454,-1,275,0,1
100000,275,275,268.01824817518246,265.1094890510949,0.7591240875912408,0.7591240875912408,125,28,-1,0.9454545454545454,-1,275,0,1
105000,275,275,267.88,264.9927272727273,0.7345454545454545,0.7345454545454545,125,28,-1,0.9309090909090909,-1,275,0,1
110000,275,275,271.28727272727275,268.3818181818182,0.7854545454545454,0.7854545454545454,125,28,-1,0.9636363636363636,-1,275,0,1
115000,275,275,270.07971014492756,267.19202898550725,0.7681159420289855,0.7681159420289855,125,28,-1,0.9454545454545454,-1,275,0,1
120000,275,275,272.53818181818184,269.6909090909091,0.7563636363636363,0.7563636363636363,125,28,-1,0.9418181818181818,-1,275,0,1
125000,275,275,272.24,269.32363636363635,0.7563636363636363,0.7563636363636363,125,28,-1,0.9272727272727272,-1,275,0,1
130000,275,275,271.5978260869565,268.69565217391306,0.75,0.75,125,28,-1,0.9272727272727272,-1,275,0,1
135000,275,275,265.4963503649635,262.6021897810219,0.7153284671532847,0.7153284671532847,125,28,-1,0.9381818181818182,-1,275,0,1
140000,275,275,269.34798534798534,266.42857142857144,0.7619047619047619,0.7619047619047619,125,28,-1,0.9527272727272728,-1,275,0,1
145000,275,275,272.56317689530687,269.64981949458485,0.7328519855595668,0.7328519855595668,125,28,-1,0.9527272727272728,-1,275,0,1
150000,275,275,269.33941605839414,266.43430656934305,0.7372262773722628,0.7372262773722628,125,28,-1,0.9454545454545454,-1,275,0,1
155000,275,275,269.02181818181816,266.14181818181817,0.7090909090909091,0.7090909090909091,125,28,-1,0.9345454545454546,-1,275,0,1
160000,275,275,272.23741007194246,269.3776978417266,0.7194244604316546,0.7194244604316546,125,28,-1,0.9090909090909091,-1,275,0,1
165000,275,275,266.28205128205127,263.42490842490844,0.7692307692307693,0.7692307692307693,125,28,-1,0.9236363636363636,-1,275,0,1
170000,275,275,267.6472727272727,264.7309090909091,0.7927272727272727,0.7927272727272727,125,28,-1,0.9490909090909091,-1,275,0,1
175000,275,275,274.7309090909091,271.84727272727275,0.7418181818181818,0.7418181818181818,125,28,-1,0.9381818181818182,-1,275,0,1
180000,275,275,271.8321167883212,268.94890510948903,0.7773722627737226,0.7773722627737226,125,28,-1,0.9381818181818182,-1,275,0,1
